Syndicate,Reporting_Date,Asset_ID,Instrument_Type,Asset_Category,Issuer_Name,Issuer_Country,Currency,Total_Solvency_II_Value,Book_Value,Credit_Rating
1221,2024-12-31,1221-INV-0001,Deposits with credit institutions,Investment funds,Issuer_348,NL,GBP,126443865.59211875,127721886.42829116,AA
1221,2024-12-31,1221-INV-0002,Corporate bonds - Investment grade,Property,Issuer_223,AU,JPY,253963200.0849116,250777305.05953324,AAA
1221,2024-12-31,1221-INV-0003,Equities - Listed,Equities,Issuer_23,CA,CHF,40873273.59551238,39412438.862154536,B
1221,2024-12-31,1221-INV-0004,Mortgage loans,Government bonds,Issuer_486,AU,AUD,183066478.79156232,176740795.05590507,B
1221,2024-12-31,1221-INV-0005,Equities - Unlisted,Loans and mortgages,Issuer_210,AU,AUD,8999969.913848482,9123181.587671364,AA
1221,2024-12-31,1221-INV-0006,Other investments,Investment funds,Issuer_347,DE,JPY,28075872.715772223,27822147.951361712,A
1221,2024-12-31,1221-INV-0007,Mortgage loans,Cash and deposits,Issuer_297,IT,JPY,110634494.07041144,111804777.44504608,B
1221,2024-12-31,1221-INV-0008,Policy loans,Cash and deposits,Issuer_462,DE,EUR,54072775.77250605,56711721.709191024,B
1221,2024-12-31,1221-INV-0009,Equities - Listed,Loans and mortgages,Issuer_159,FR,USD,163511417.94863984,157634048.55377054,AA
1221,2024-12-31,1221-INV-0010,Corporate bonds - Investment grade,Investment funds,Issuer_213,IT,AUD,30328776.214497644,30345320.91953061,BBB
1221,2024-12-31,1221-INV-0011,Corporate bonds - Non-investment grade,Loans and mortgages,Issuer_353,GB,CAD,214880772.2871143,204974683.00258005,AA
1221,2024-12-31,1221-INV-0012,Deposits with credit institutions,Corporate bonds,Issuer_470,US,USD,7170127.760913094,6926361.296804749,B
1221,2024-12-31,1221-INV-0013,Real estate,Cash and deposits,Issuer_369,NL,CAD,9495414.63089208,9456030.508061253,BBB
1221,2024-12-31,1221-INV-0014,Policy loans,Investment funds,Issuer_133,FR,CAD,131940618.59523924,126875932.2906638,BBB
1221,2024-12-31,1221-INV-0015,Policy loans,Government bonds,Issuer_366,JP,EUR,182861387.07841232,189963790.5048838,BB
1221,2024-12-31,1221-INV-0016,Corporate bonds - Non-investment grade,Corporate bonds,Issuer_197,DE,GBP,254620500.2711357,266944467.646582,A
1221,2024-12-31,1221-INV-0017,Sovereign bonds,Corporate bonds,Issuer_427,CA,CAD,139502139.28471664,137960388.0756361,AAA
1221,2024-12-31,1221-INV-0018,Sovereign bonds,Equities,Issuer_153,CA,CHF,78450919.77118266,78775766.25937687,BB
1221,2024-12-31,1221-INV-0019,Equities - Listed,Equities,Issuer_224,CH,JPY,46368653.0973287,46562032.69524156,B
1221,2024-12-31,1221-INV-0020,Corporate bonds - Non-investment grade,Cash and deposits,Issuer_240,DE,JPY,324018053.97000223,322088246.1931173,B
1221,2024-12-31,1221-INV-0021,Other investments,Investment funds,Issuer_70,CH,GBP,50515466.98517147,48972845.03567213,A
1221,2024-12-31,1221-INV-0022,Collective investment undertakings,Equities,Issuer_390,CA,CAD,11958298.8411568,11683554.165462246,A
1221,2024-12-31,1221-INV-0023,Sovereign bonds,Loans and mortgages,Issuer_277,GB,USD,290871754.2908023,286429474.7330341,Not rated
1221,2024-12-31,1221-INV-0024,Equities - Listed,Corporate bonds,Issuer_430,GB,USD,65430264.43972465,65064141.2110491,B
1221,2024-12-31,1221-INV-0025,Equities - Listed,Investment funds,Issuer_359,JP,USD,169186705.17996603,167524933.07035407,B
1221,2024-12-31,1221-INV-0026,Equities - Unlisted,Government bonds,Issuer_297,GB,CHF,443399897.57371753,448871716.4945057,BBB
1221,2024-12-31,1221-INV-0027,Real estate,Loans and mortgages,Issuer_426,FR,AUD,187636182.6818824,182031717.09173277,Not rated
1221,2024-12-31,1221-INV-0028,Sovereign bonds,Equities,Issuer_273,CA,GBP,26814248.537552424,26748677.0746968,A
1221,2024-12-31,1221-INV-0029,Policy loans,Government bonds,Issuer_222,AU,AUD,82874079.7446303,86719676.11301067,AA
1221,2024-12-31,1221-INV-0030,Deposits with credit institutions,Cash and deposits,Issuer_248,CH,CAD,341047104.7085417,342185746.01618224,A
1221,2024-12-31,1221-INV-0031,Corporate bonds - Investment grade,Equities,Issuer_452,CH,CAD,94661183.89267378,97411183.99852154,BB
1221,2024-12-31,1221-INV-0032,Sovereign bonds,Investment funds,Issuer_436,AU,JPY,51207893.75843405,50059646.70421606,Not rated
1221,2024-12-31,1221-INV-0033,Equities - Unlisted,Property,Issuer_360,JP,CHF,416517581.631745,401889316.28347474,AA
1221,2024-12-31,1221-INV-0034,Deposits with credit institutions,Cash and deposits,Issuer_124,CH,JPY,227643363.21407127,227265644.5061295,AAA
1221,2024-12-31,1221-INV-0035,Mortgage loans,Loans and mortgages,Issuer_125,JP,JPY,271999290.3064707,268608272.64963967,A
1221,2024-12-31,1221-INV-0036,Deposits with credit institutions,Equities,Issuer_181,CH,EUR,40525221.86260788,41586164.84148895,AAA
1221,2024-12-31,1221-INV-0037,Corporate bonds - Investment grade,Loans and mortgages,Issuer_275,DE,USD,108431743.69783752,108348527.53928594,A
1221,2024-12-31,1221-INV-0038,Equities - Listed,Equities,Issuer_117,AU,EUR,253905531.8939041,266111769.7673918,BB
1221,2024-12-31,1221-INV-0039,Sovereign bonds,Government bonds,Issuer_284,JP,AUD,172407077.31893405,176967723.71353838,AAA
1221,2024-12-31,1221-INV-0040,Equities - Unlisted,Investment funds,Issuer_246,CH,USD,275625570.13574475,267369881.89297783,Not rated
1003,2024-12-31,1003-INV-0001,Corporate bonds - Investment grade,Investment funds,Issuer_252,US,USD,47838407.80334216,47547310.21466386,A
1003,2024-12-31,1003-INV-0002,Corporate bonds - Investment grade,Property,Issuer_392,CA,CAD,382806410.5545307,366057006.7493232,BBB
1003,2024-12-31,1003-INV-0003,Real estate,Investment funds,Issuer_157,IT,CHF,222435914.7438092,222667970.7672803,Not rated
1003,2024-12-31,1003-INV-0004,Equities - Listed,Equities,Issuer_339,US,USD,292712940.8232671,278636846.6038629,AAA
1003,2024-12-31,1003-INV-0005,Mortgage loans,Investment funds,Issuer_353,IT,EUR,171601328.84583136,175423009.8342542,A
1003,2024-12-31,1003-INV-0006,Policy loans,Government bonds,Issuer_352,FR,CAD,76555904.62819391,75020159.40773267,BB
1003,2024-12-31,1003-INV-0007,Corporate bonds - Investment grade,Property,Issuer_116,DE,CAD,148053835.41399455,144778290.47034386,AAA
1003,2024-12-31,1003-INV-0008,Real estate,Loans and mortgages,Issuer_423,IT,JPY,101697354.59638496,96702624.13147303,B
1003,2024-12-31,1003-INV-0009,Mortgage loans,Equities,Issuer_257,NL,JPY,353797698.8487478,365418867.0775036,AAA
1003,2024-12-31,1003-INV-0010,Collective investment undertakings,Property,Issuer_129,GB,USD,16668684.130292172,17065181.317204855,BB
1003,2024-12-31,1003-INV-0011,Equities - Unlisted,Property,Issuer_21,DE,CHF,319719662.11010253,308300883.5634129,A
1003,2024-12-31,1003-INV-0012,Mortgage loans,Loans and mortgages,Issuer_417,CH,JPY,298466594.761073,303198499.5454436,A
1003,2024-12-31,1003-INV-0013,Corporate bonds - Investment grade,Cash and deposits,Issuer_83,AU,AUD,330039774.0129417,333789161.6319288,B
1003,2024-12-31,1003-INV-0014,Sovereign bonds,Investment funds,Issuer_46,AU,EUR,24118550.391617008,23099901.811151423,Not rated
1003,2024-12-31,1003-INV-0015,Deposits with credit institutions,Investment funds,Issuer_212,GB,CHF,95176346.92359072,91045787.16003756,Not rated
1003,2024-12-31,1003-INV-0016,Policy loans,Cash and deposits,Issuer_27,FR,CHF,34929398.76948365,36006045.826004416,BBB
1003,2024-12-31,1003-INV-0017,Sovereign bonds,Loans and mortgages,Issuer_312,FR,EUR,78228775.21169147,81789085.73635595,BB
1003,2024-12-31,1003-INV-0018,Equities - Listed,Cash and deposits,Issuer_468,US,GBP,96662765.95439516,92572597.73599428,BBB
1003,2024-12-31,1003-INV-0019,Equities - Unlisted,Investment funds,Issuer_428,CH,USD,204223918.3108819,208453119.49254212,AA
1003,2024-12-31,1003-INV-0020,Real estate,Property,Issuer_383,DE,EUR,4237653.181272399,4196494.246988564,A
1003,2024-12-31,1003-INV-0021,Equities - Unlisted,Loans and mortgages,Issuer_153,IT,CAD,45752850.43026385,44750883.58963081,BB
1003,2024-12-31,1003-INV-0022,Collective investment undertakings,Property,Issuer_391,NL,JPY,376244554.7905034,372674095.3456741,Not rated
1003,2024-12-31,1003-INV-0023,Equities - Listed,Property,Issuer_197,FR,GBP,176413684.18321592,175998000.3782608,BBB
1003,2024-12-31,1003-INV-0024,Other investments,Cash and deposits,Issuer_421,DE,GBP,76707988.96098994,80382156.77052514,BB
1003,2024-12-31,1003-INV-0025,Policy loans,Government bonds,Issuer_270,CH,AUD,127430572.4802997,129314218.65681458,Not rated
1003,2024-12-31,1003-INV-0026,Policy loans,Cash and deposits,Issuer_497,JP,CHF,55696188.5975763,55713365.02800224,B
1003,2024-12-31,1003-INV-0027,Other investments,Cash and deposits,Issuer_274,CA,AUD,141106378.7862457,142867158.68716294,Not rated
1003,2024-12-31,1003-INV-0028,Corporate bonds - Investment grade,Corporate bonds,Issuer_324,JP,AUD,25968261.968771286,25298103.395630594,AAA
1003,2024-12-31,1003-INV-0029,Corporate bonds - Non-investment grade,Loans and mortgages,Issuer_154,GB,EUR,300080708.5548653,309201916.98662925,A
1003,2024-12-31,1003-INV-0030,Mortgage loans,Corporate bonds,Issuer_126,NL,CHF,157079638.2308071,151469946.7511741,AA
1003,2024-12-31,1003-INV-0031,Real estate,Cash and deposits,Issuer_196,IT,JPY,133502276.37629396,133458159.5186674,AA
1003,2024-12-31,1003-INV-0032,Other investments,Equities,Issuer_236,JP,CAD,31412365.358524945,31819336.729502168,B
1003,2024-12-31,1003-INV-0033,Policy loans,Equities,Issuer_301,JP,AUD,21386410.07498765,20996293.715023804,Not rated
1003,2024-12-31,1003-INV-0034,Mortgage loans,Cash and deposits,Issuer_248,US,JPY,317685.5314967815,303289.67226816545,BB
1003,2024-12-31,1003-INV-0035,Equities - Unlisted,Government bonds,Issuer_425,CA,GBP,101935371.17842834,97477631.60441291,Not rated
1003,2024-12-31,1003-INV-0036,Policy loans,Cash and deposits,Issuer_463,JP,CHF,43418027.5210496,42318786.699583136,AA
1003,2024-12-31,1003-INV-0037,Equities - Unlisted,Loans and mortgages,Issuer_387,DE,AUD,142541659.0940456,136866967.14374173,A
1003,2024-12-31,1003-INV-0038,Real estate,Equities,Issuer_375,DE,EUR,61953703.97525799,64076931.14878325,BBB
1003,2024-12-31,1003-INV-0039,Corporate bonds - Non-investment grade,Cash and deposits,Issuer_277,AU,CAD,127190159.65530148,132174387.72159572,Not rated
1003,2024-12-31,1003-INV-0040,Collective investment undertakings,Cash and deposits,Issuer_59,CH,USD,199588151.3713196,197139565.0897074,Not rated
1003,2024-12-31,1003-INV-0041,Collective investment undertakings,Government bonds,Issuer_405,CA,EUR,86944106.77937728,88570129.08704317,BBB
1003,2024-12-31,1003-INV-0042,Other investments,Equities,Issuer_300,CA,GBP,110946201.6981332,112418589.58487125,BBB
1003,2024-12-31,1003-INV-0043,Deposits with credit institutions,Equities,Issuer_469,IT,AUD,36590246.42398605,35371619.568637304,Not rated
1003,2024-12-31,1003-INV-0044,Equities - Unlisted,Loans and mortgages,Issuer_210,US,GBP,249576269.40450165,261207709.17403072,BBB
1003,2024-12-31,1003-INV-0045,Equities - Listed,Property,Issuer_70,CA,EUR,363774359.2944455,371142263.4121455,B
1003,2024-12-31,1003-INV-0046,Corporate bonds - Non-investment grade,Investment funds,Issuer_336,US,CHF,29102901.63054352,29923090.84775026,AAA
5820,2024-12-31,5820-INV-0001,Policy loans,Corporate bonds,Issuer_438,AU,AUD,46200511.84235963,45553937.83161218,B
5820,2024-12-31,5820-INV-0002,Mortgage loans,Equities,Issuer_98,US,GBP,263304554.37090263,261533281.8846549,B
5820,2024-12-31,5820-INV-0003,Collective investment undertakings,Corporate bonds,Issuer_65,IT,GBP,65985563.14616581,65119220.01941183,AA
5820,2024-12-31,5820-INV-0004,Collective investment undertakings,Cash and deposits,Issuer_76,IT,EUR,27249730.40168816,27978844.97582139,AA
5820,2024-12-31,5820-INV-0005,Corporate bonds - Investment grade,Loans and mortgages,Issuer_444,GB,GBP,175168983.62423104,181305993.95132637,BB
5820,2024-12-31,5820-INV-0006,Corporate bonds - Non-investment grade,Equities,Issuer_27,DE,CHF,73581965.86063695,73378009.92665716,AAA
5820,2024-12-31,5820-INV-0007,Collective investment undertakings,Property,Issuer_304,US,CHF,129473989.42862923,131776207.87035058,AAA
5820,2024-12-31,5820-INV-0008,Other investments,Government bonds,Issuer_32,CH,JPY,111220887.4909572,107179130.49002436,BBB
5820,2024-12-31,5820-INV-0009,Corporate bonds - Investment grade,Equities,Issuer_312,DE,USD,249299951.9480964,244703542.5140624,B
5820,2024-12-31,5820-INV-0010,Real estate,Property,Issuer_151,CH,GBP,146979521.93607324,150113226.51390916,AAA
5820,2024-12-31,5820-INV-0011,Policy loans,Corporate bonds,Issuer_212,AU,JPY,90126586.64947404,88210581.9069749,AAA
5820,2024-12-31,5820-INV-0012,Collective investment undertakings,Loans and mortgages,Issuer_131,AU,AUD,28051869.72361609,26962088.84269815,AAA
5820,2024-12-31,5820-INV-0013,Corporate bonds - Investment grade,Investment funds,Issuer_50,AU,CHF,87993990.67064176,90946015.05605613,BB
5820,2024-12-31,5820-INV-0014,Corporate bonds - Investment grade,Investment funds,Issuer_182,CA,EUR,3458599.7931925897,3402344.1273619626,A
5820,2024-12-31,5820-INV-0015,Deposits with credit institutions,Corporate bonds,Issuer_80,CH,CAD,2151985.1891159,2133401.220661223,Not rated
5820,2024-12-31,5820-INV-0016,Equities - Unlisted,Property,Issuer_116,CA,CHF,114427893.55990036,114781906.89713328,Not rated
5820,2024-12-31,5820-INV-0017,Corporate bonds - Non-investment grade,Equities,Issuer_360,JP,EUR,32436326.32008909,32319864.2076454,Not rated
5820,2024-12-31,5820-INV-0018,Other investments,Investment funds,Issuer_36,DE,GBP,273224555.92027634,278075446.6386315,AA
5820,2024-12-31,5820-INV-0019,Policy loans,Equities,Issuer_81,AU,AUD,124488246.58469036,127885798.25809564,BB
