Syndicate,Reporting_Date,Asset_Category,Total_Solvency_II_Value,Book_Value,Number_Of_Holdings,Unrealized_Gain_Loss
1,2024-12-31,Cash and deposits,132830266.99087368,133037709.09349129,2,-207442.10261760652
1,2024-12-31,Corporate bonds,550758489.1906769,552982810.9073565,3,-2224321.716679573
1,2024-12-31,Equities,1107600234.6451573,1132569426.301109,7,-24969191.65595174
1,2024-12-31,Government bonds,348292937.4864302,336548251.673653,2,11744685.812777221
1,2024-12-31,Investment funds,371191658.61573935,360729724.2426468,3,10461934.373092532
1,2024-12-31,Loans and mortgages,132325096.3595134,128097908.3082616,2,4227188.051251799
1,2024-12-31,Property,210982885.15126085,212684618.41643202,2,-1701733.2651711702
99,2024-12-31,Cash and deposits,206433365.3156184,215292344.1337612,1,-8858978.818142802
99,2024-12-31,Corporate bonds,743866409.5915904,747844311.565283,5,-3977901.9736925364
99,2024-12-31,Equities,423424796.5594409,429882060.77176696,3,-6457264.21232605
99,2024-12-31,Government bonds,1397421042.7001603,1432290964.2835872,8,-34869921.58342695
99,2024-12-31,Investment funds,319409407.3274986,305215029.6335329,1,14194377.693965733
99,2024-12-31,Loans and mortgages,1330001741.1231425,1329578266.7226095,13,423474.4005329609
99,2024-12-31,Property,773087020.7856386,776355599.8763659,6,-3268579.0907273293
609,2024-12-31,Cash and deposits,208331861.63434884,200393219.10719818,3,7938642.527150661
609,2024-12-31,Corporate bonds,686674385.8956162,692418452.04588,4,-5744066.150263786
609,2024-12-31,Equities,670564750.9113017,669920985.2511812,5,643765.6601204872
609,2024-12-31,Government bonds,1735510191.5771453,1734666394.166903,11,843797.4102423191
609,2024-12-31,Investment funds,531746331.9998082,536436763.9743632,3,-4690431.974555016
609,2024-12-31,Loans and mortgages,882358352.9955945,876464046.0502436,5,5894306.945350885
609,2024-12-31,Property,314327129.5963394,308063101.9343657,3,6264027.661973715
727,2024-12-31,Cash and deposits,790783349.3041034,790709514.6662945,5,73834.63780891895
727,2024-12-31,Corporate bonds,1483720229.1123767,1502536945.2548916,8,-18816716.142514944
727,2024-12-31,Equities,1092517135.8668246,1093422950.3740294,8,-905814.507204771
727,2024-12-31,Government bonds,696262219.47897,684929108.2536165,4,11333111.225353599
727,2024-12-31,Investment funds,1130209010.8166647,1107187162.0947444,8,23021848.72192025
727,2024-12-31,Loans and mortgages,1542230574.3665504,1532197804.8312633,9,10032769.535287142
727,2024-12-31,Property,1379855099.325179,1395445104.4854438,8,-15590005.16026473
886,2024-12-31,Cash and deposits,614068953.7846812,610787649.6960664,6,3281304.0886148214
886,2024-12-31,Corporate bonds,210316520.8098725,204440045.43527207,2,5876475.37460044
886,2024-12-31,Equities,829376722.432852,820225946.901565,5,9150775.531287074
