Syndicate,Reporting_Date,Item_ID,Item_Type,Counterparty,Maximum_Exposure,Probability_Of_Call,Expected_Value,Maturity_Date
4242,2024-12-31,4242-OBS-001,Letters of credit,Counterparty_34,34018106.01523022,0.2540661673286858,8642849.815070456,2031-10-01
4242,2024-12-31,4242-OBS-002,Letters of credit,Counterparty_30,16892139.490224384,0.2029451248561813,3428177.3579316186,2030-05-01
4242,2024-12-31,4242-OBS-003,Guarantees provided,Counterparty_74,30117849.538121264,0.180945036036884,5449675.370028805,2032-10-01
4242,2024-12-31,4242-OBS-004,Letters of credit,Counterparty_94,34444090.51734836,0.1726077519387295,5945317.031773613,2027-12-01
5820,2024-12-31,5820-OBS-001,Unfunded pension obligations,Counterparty_23,22024056.09583063,0.082776808314164,1823081.0697449683,2033-12-01
5820,2024-12-31,5820-OBS-002,Operating lease commitments,Counterparty_74,38660485.2147469,0.0678817290009558,2624340.58039291,2027-10-01
5820,2024-12-31,5820-OBS-003,Operating lease commitments,Counterparty_39,34925361.0015663,0.069999846794798,2444769.919362653,2026-12-01
5820,2024-12-31,5820-OBS-004,Legal contingencies,Counterparty_49,31641178.32776824,0.2241234801387086,7091531.002508905,2027-01-01
5820,2024-12-31,5820-OBS-005,Committed undrawn credit facilities,Counterparty_45,11716980.55642042,0.0179829902583924,210706.34720388256,2032-07-01
3210,2024-12-31,3210-OBS-001,Letters of credit,Counterparty_96,7417713.40671453,0.1817990901813076,1348533.5485663894,2035-01-01
3210,2024-12-31,3210-OBS-002,Operating lease commitments,Counterparty_100,42622873.90506104,0.0134990463706273,575368.1512938198,2032-01-01
3210,2024-12-31,3210-OBS-003,Committed undrawn credit facilities,Counterparty_68,36973411.69304067,0.1023955937850156,3785914.4445667393,2026-06-01
6117,2024-12-31,6117-OBS-001,Legal contingencies,Counterparty_20,24447890.126056604,0.2786578649536697,6812596.865148836,2031-09-01
6117,2024-12-31,6117-OBS-002,Operating lease commitments,Counterparty_29,17266603.732056428,0.1396010801818458,2410436.532066968,2028-01-01
6117,2024-12-31,6117-OBS-003,Operating lease commitments,Counterparty_94,1670438.3232733742,0.0244796160014515,40891.68870784072,2032-08-01
6117,2024-12-31,6117-OBS-004,Legal contingencies,Counterparty_74,13670987.965604415,0.0083556722463223,114230.29472400728,2034-02-01
6117,2024-12-31,6117-OBS-005,Letters of credit,Counterparty_56,31937390.976364296,0.1279195070404867,4085415.3098558094,2030-07-01
6117,2024-12-31,6117-OBS-006,Letters of credit,Counterparty_17,27859114.93367308,0.0523941557688988,1459654.807418524,2031-02-01
6117,2024-12-31,6117-OBS-007,Unfunded pension obligations,Counterparty_74,15500669.44239419,0.1991473424558175,3086917.1257389016,2026-09-01
886,2024-12-31,0886-OBS-001,Committed undrawn credit facilities,Counterparty_11,48299833.4578896,0.0151250320806627,730536.5305412485,2032-09-01
886,2024-12-31,0886-OBS-002,Unfunded pension obligations,Counterparty_100,44628831.72190804,0.1730643603933625,7723660.217055024,2028-03-01
886,2024-12-31,0886-OBS-003,Unfunded pension obligations,Counterparty_72,28632058.77102556,0.1500835605623281,4297201.326585352,2029-08-01
886,2024-12-31,0886-OBS-004,Unfunded pension obligations,Counterparty_84,4400310.2093049865,0.0269630555208482,118645.80848244551,2035-04-01
886,2024-12-31,0886-OBS-005,Legal contingencies,Counterparty_79,30444688.277295217,0.1022875714306674,3114113.2268482395,2034-04-01
886,2024-12-31,0886-OBS-006,Letters of credit,Counterparty_10,45946135.26230636,0.1219771612078416,5604379.147767642,2030-07-01
2121,2024-12-31,2121-OBS-001,Operating lease commitments,Counterparty_74,8020791.476429413,0.2144156500506108,1719783.218339011,2027-02-01
2121,2024-12-31,2121-OBS-002,Operating lease commitments,Counterparty_53,15374317.650609482,0.1576410922067679,2423624.226375869,2032-06-01
