Syndicate,Reporting_Date,Contract_ID,Derivative_Type,Underlying_Asset,Notional_Amount,Fair_Value_Asset,Fair_Value_Liability,Delta,Purpose,Maturity_Date
2001,2024-12-31,2001-DRV-0001,Interest rate swaps,Commodity,39069050.28559119,1822678.3801572612,0.0,-0.9581317643465336,Hedging,2030-01-01
2001,2024-12-31,2001-DRV-0002,Equity options,Commodity,77820095.04105458,0.0,0.0,0.4042149082275852,Trading,2029-03-01
2001,2024-12-31,2001-DRV-0003,FX options,Commodity,42614036.48861524,0.0,1512507.5828448683,-0.0916326745265878,Trading,2026-07-01
2001,2024-12-31,2001-DRV-0004,Equity options,Commodity,28833514.48961652,240894.67999313085,0.0,0.1690862265189163,Hedging,2030-12-01
2001,2024-12-31,2001-DRV-0005,FX options,Interest Rate,10893492.544734243,0.0,678610.5346191349,0.0118633086391168,Hedging,2029-10-01
2001,2024-12-31,2001-DRV-0006,Credit default swaps,Credit,99786191.95596904,903478.9519628875,709457.1134604253,-0.1985916663310667,Other,2026-03-01
2001,2024-12-31,2001-DRV-0007,Interest rate swaps,Commodity,44408437.27452844,774548.8228496826,0.0,0.3193805458609486,Trading,2025-10-01
2001,2024-12-31,2001-DRV-0008,Interest rate swaps,Commodity,10837397.562424812,1627446.6874444548,0.0,0.8810079057588052,Trading,2030-08-01
2001,2024-12-31,2001-DRV-0009,Credit default swaps,Commodity,19386069.86514651,0.0,954832.3789607072,0.2036134678908945,Hedging,2029-04-01
2001,2024-12-31,2001-DRV-0010,Currency forwards,FX,37118018.88979483,0.0,0.0,-0.7463519548991624,Trading,2029-05-01
2001,2024-12-31,2001-DRV-0011,Interest rate swaps,Interest Rate,74764739.26676075,417661.87098918,117130.6105690677,0.1047322756344686,Other,2029-10-01
2001,2024-12-31,2001-DRV-0012,Currency forwards,Commodity,59813253.179679774,0.0,0.0,-0.3090382925531085,Other,2025-07-01
2001,2024-12-31,2001-DRV-0013,Interest rate swaps,Equity,12531627.039963216,0.0,0.0,0.1317011206264933,Hedging,2026-10-01
