Syndicate,Reporting_Date,Fund_ID,Fund_Name,Fund_Type,Fund_Manager,Total_Value,Look_Through_Available,Underlying_Equities_Pct,Underlying_Bonds_Pct
308,2024-12-31,0308-FUND-001,Investment Fund 1,Equity fund,Manager_26,22144466.894032087,Partial,19.56680594959567,54.99176804628995
308,2024-12-31,0308-FUND-002,Investment Fund 2,Real estate fund,Manager_40,10290465.152778814,No,40.592546202602094,25.39210655354936
308,2024-12-31,0308-FUND-003,Investment Fund 3,Mixed fund,Manager_4,16585584.117760023,Yes,26.357644077708315,51.56561989568951
308,2024-12-31,0308-FUND-004,Investment Fund 4,Bond fund,Manager_24,37686145.30041867,Partial,28.720232677409363,34.177396872708826
308,2024-12-31,0308-FUND-005,Investment Fund 5,Hedge fund,Manager_2,19283102.21011877,Yes,4.549085362507141,35.66223373154576
308,2024-12-31,0308-FUND-006,Investment Fund 6,Real estate fund,Manager_23,17642797.674386628,No,30.300346112713036,53.87650926432259
308,2024-12-31,0308-FUND-007,Investment Fund 7,Equity fund,Manager_43,22222678.983828276,Yes,16.396188941382096,23.45451251371879
308,2024-12-31,0308-FUND-008,Investment Fund 8,Private equity fund,Manager_20,7180741.400062029,Partial,36.64556978920694,27.09288158543761
308,2024-12-31,0308-FUND-009,Investment Fund 9,Equity fund,Manager_20,11417951.00447547,Yes,42.15191215309938,24.646923662957025
308,2024-12-31,0308-FUND-010,Investment Fund 10,Equity fund,Manager_35,6517942.577916564,No,37.366778572856,62.34766105673437
308,2024-12-31,0308-FUND-011,Investment Fund 11,Private equity fund,Manager_28,2393661.3218437894,No,13.890341660450394,38.01721437276632
308,2024-12-31,0308-FUND-012,Investment Fund 12,Mixed fund,Manager_2,6601613.452483511,Yes,35.35200619360334,29.14381612533549
308,2024-12-31,0308-FUND-013,Investment Fund 13,Mixed fund,Manager_25,37748159.61133991,No,36.68060814068063,21.84868560408278
1003,2024-12-31,1003-FUND-001,Investment Fund 1,Equity fund,Manager_32,3528804.8771996554,Partial,9.452408539863043,25.958101760303386
1003,2024-12-31,1003-FUND-002,Investment Fund 2,Bond fund,Manager_22,13658578.33745278,Partial,28.38364656761827,51.23224392507581
1003,2024-12-31,1003-FUND-003,Investment Fund 3,Mixed fund,Manager_11,7809009.30310486,No,43.00819617144525,46.925293771249095
1003,2024-12-31,1003-FUND-004,Investment Fund 4,Real estate fund,Manager_13,5427641.655550152,Yes,37.63987893311687,28.51727629392325
1003,2024-12-31,1003-FUND-005,Investment Fund 5,Infrastructure fund,Manager_35,2971412.3373761093,No,4.494411085271962,34.88186003804879
1003,2024-12-31,1003-FUND-006,Investment Fund 6,Equity fund,Manager_20,30087529.424124576,Yes,20.656810308803,45.219539868433245
1003,2024-12-31,1003-FUND-007,Investment Fund 7,Hedge fund,Manager_48,26754376.392152708,Partial,24.94703507495331,5.090179367209111
1003,2024-12-31,1003-FUND-008,Investment Fund 8,Equity fund,Manager_38,2422910.144138864,Yes,31.368489022475405,33.250446692446346
1003,2024-12-31,1003-FUND-009,Investment Fund 9,Hedge fund,Manager_34,3856437.247756872,Yes,26.66475561401959,41.899262629404014
1003,2024-12-31,1003-FUND-010,Investment Fund 10,Mixed fund,Manager_5,36288322.04657417,No,40.79608149634191,13.239101510223852
1003,2024-12-31,1003-FUND-011,Investment Fund 11,Real estate fund,Manager_43,20138348.490988985,Yes,36.20306739417274,39.07624109533872
1003,2024-12-31,1003-FUND-012,Investment Fund 12,Real estate fund,Manager_26,7280029.025575914,Partial,74.83606234973132,17.266837855939855
1003,2024-12-31,1003-FUND-013,Investment Fund 13,Real estate fund,Manager_43,15299703.583437352,Yes,34.39433686101934,21.74642211538828
1003,2024-12-31,1003-FUND-014,Investment Fund 14,Private equity fund,Manager_46,16608610.770354014,Yes,52.63532646906817,28.65945271705717
3210,2024-12-31,3210-FUND-001,Investment Fund 1,Real estate fund,Manager_14,4920951.767749532,Partial,27.417489656531373,19.422378180282017
3210,2024-12-31,3210-FUND-002,Investment Fund 2,Hedge fund,Manager_40,653791.0670091773,Partial,56.49243243119986,36.99364541275278
3210,2024-12-31,3210-FUND-003,Investment Fund 3,Private equity fund,Manager_4,27538634.746415038,No,46.03079926186783,17.732955617199433
3210,2024-12-31,3210-FUND-004,Investment Fund 4,Real estate fund,Manager_10,3639897.4979717545,Partial,8.970391660015915,70.76517979117075
3210,2024-12-31,3210-FUND-005,Investment Fund 5,Private equity fund,Manager_49,5627606.969074417,No,54.6178525109596,4.401168703313314
3210,2024-12-31,3210-FUND-006,Investment Fund 6,Real estate fund,Manager_21,850137.4335164153,Yes,5.248778322678378,83.01127066198862
3210,2024-12-31,3210-FUND-007,Investment Fund 7,Infrastructure fund,Manager_27,1351386.8853560365,No,55.23103738261711,17.172036672326364
3210,2024-12-31,3210-FUND-008,Investment Fund 8,Private equity fund,Manager_11,1248409.9315197358,Partial,39.00295880152662,38.5501385675585
3210,2024-12-31,3210-FUND-009,Investment Fund 9,Bond fund,Manager_26,3158678.425235943,Yes,29.75112440886411,8.070043140990661
3210,2024-12-31,3210-FUND-010,Investment Fund 10,Bond fund,Manager_2,47028890.81994133,No,39.92521081092374,27.728071407369164
3210,2024-12-31,3210-FUND-011,Investment Fund 11,Real estate fund,Manager_32,9760132.969206896,No,26.87494823549177,28.43016320555762
3210,2024-12-31,3210-FUND-012,Investment Fund 12,Private equity fund,Manager_3,5583020.3389810985,No,63.050906837053965,3.833909315628719
3210,2024-12-31,3210-FUND-013,Investment Fund 13,Bond fund,Manager_2,29663607.28001236,No,47.95455941383486,21.91840597668386
3210,2024-12-31,3210-FUND-014,Investment Fund 14,Private equity fund,Manager_36,25746512.948876742,Yes,81.65973533705417,15.797525734718976
1458,2024-12-31,1458-FUND-001,Investment Fund 1,Infrastructure fund,Manager_2,21174721.624630805,Yes,44.157710831087066,5.8354756749322805
