Syndicate,Reporting_Date,Product_ID,Product_Name,Product_Type,Issuer,Notional_Amount,Solvency_II_Value,Capital_Protection,Maturity_Date
3456,2024-12-31,3456-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_26,29065975.98265366,51818775.66614266,89.49067125244882,2032-05-01
3456,2024-12-31,3456-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_27,24443027.8279978,42226754.68574603,91.90829603240216,2030-11-01
3456,2024-12-31,3456-STRUCT-003,Structured Product 3,Equity-linked notes,Issuer_23,23492414.855754945,33006612.151430987,92.60037361237654,2026-10-01
3210,2024-12-31,3210-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_72,11494041.965936668,8490851.531792106,80.33343101199266,2025-09-01
3210,2024-12-31,3210-STRUCT-002,Structured Product 2,Structured bonds,Issuer_20,15641371.050741255,14152323.965524867,94.72070800852131,2032-02-01
3210,2024-12-31,3210-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_79,27772011.15853265,11800531.134277904,99.1949144292394,2033-02-01
1458,2024-12-31,1458-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_27,43870533.033425145,23525139.93145625,95.24722427414346,2032-12-01
1458,2024-12-31,1458-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_20,5387855.116630113,4958700.76374535,91.7320347480912,2032-07-01
1458,2024-12-31,1458-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_32,28310690.70088339,4358230.740026532,88.45373239314851,2026-05-01
1729,2024-12-31,1729-STRUCT-001,Structured Product 1,Capital protected notes,Issuer_47,24921216.58853461,39146521.90298667,84.66037928793669,2031-07-01
1729,2024-12-31,1729-STRUCT-002,Structured Product 2,Capital protected notes,Issuer_59,31479405.820405357,14116628.7726355,84.73440951707666,2027-01-01
1729,2024-12-31,1729-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_9,42347281.694559954,23950133.53739945,85.16600858255184,2031-01-01
1729,2024-12-31,1729-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_98,35117073.12878757,25508103.389587674,89.75800390558604,2035-12-01
3000,2024-12-31,3000-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_38,33206118.352917977,21219640.506058656,99.91290353348698,2025-05-01
3000,2024-12-31,3000-STRUCT-002,Structured Product 2,Reverse convertibles,Issuer_79,26864852.278532594,31160885.79571225,98.33512006237493,2028-09-01
3000,2024-12-31,3000-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_80,25300853.140902866,38497564.76669421,91.72470997561524,2029-02-01
3000,2024-12-31,3000-STRUCT-004,Structured Product 4,Credit-linked notes,Issuer_69,13654209.775295774,26268940.645834763,84.9163717404515,2029-04-01
3000,2024-12-31,3000-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_66,20093306.60733561,49708672.69760187,90.66110580189422,2025-09-01
3000,2024-12-31,3000-STRUCT-006,Structured Product 6,Reverse convertibles,Issuer_34,29432320.002019748,10210269.614401642,87.51642438015882,2026-12-01
3000,2024-12-31,3000-STRUCT-007,Structured Product 7,Credit-linked notes,Issuer_48,33032931.988252178,25449961.36962107,95.55969943141874,2035-02-01
3000,2024-12-31,3000-STRUCT-008,Structured Product 8,Capital protected notes,Issuer_39,12405472.62932007,23503947.08626085,98.53170766436762,2028-12-01
2791,2024-12-31,2791-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_92,23851563.11568134,28829064.14820691,81.68426022354197,2029-11-01
