Syndicate,Reporting_Date,Transaction_ID,Transaction_Type,Security_Type,Security_Value,Collateral_Received,Collateral_Type,Fee_Rate,Income_Generated
6104,2024-12-31,6104-SECLEND-001,Repo,Equities,5951742.050723733,25946648.899197303,Cash,1.574143623885295,104982.98058257844
6104,2024-12-31,6104-SECLEND-002,Securities lending,Loans and mortgages,20242983.00984941,33186855.07226997,Government bonds,0.4894605423692305,105596.35675051816
6104,2024-12-31,6104-SECLEND-003,Securities lending,Investment funds,38389792.60067776,7613955.163437981,Government bonds,1.7198310252634508,162798.79652402023
6104,2024-12-31,6104-SECLEND-004,Securities lending,Loans and mortgages,13918837.388975069,48719901.58541654,Equities,0.7698055584709829,126229.1317117617
6104,2024-12-31,6104-SECLEND-005,Securities lending,Loans and mortgages,37520760.8513519,20961264.88930942,Cash,1.8212321753458305,331373.1778726323
6104,2024-12-31,6104-SECLEND-006,Reverse repo,Equities,10698670.648326846,13925989.463629937,Corporate bonds,1.0367572378017242,98155.93222278469
6104,2024-12-31,6104-SECLEND-007,Securities lending,Cash and deposits,8687229.756716575,14799009.235088095,Corporate bonds,1.8931561262028276,271701.5941615525
6104,2024-12-31,6104-SECLEND-008,Repo,Cash and deposits,48942034.75165492,23812966.46652109,Cash,1.8542434399264776,300843.9471743587
6104,2024-12-31,6104-SECLEND-009,Securities lending,Investment funds,29517110.40530443,18487123.293688357,Corporate bonds,1.4345575700531374,600936.6844990761
3000,2024-12-31,3000-SECLEND-001,Reverse repo,Loans and mortgages,34650581.295868576,54456265.95543667,Equities,0.6035898460776382,174193.99083248485
3000,2024-12-31,3000-SECLEND-002,Repo,Cash and deposits,35242677.6197781,7601187.751472345,Equities,0.3159274735237669,78091.43303454929
3000,2024-12-31,3000-SECLEND-003,Reverse repo,Cash and deposits,5176326.872799197,54973034.05298366,Cash,1.624320024580208,75556.9243010796
3000,2024-12-31,3000-SECLEND-004,Reverse repo,Government bonds,40402535.66300934,30486303.764408983,Corporate bonds,0.6701274575203359,226983.6614075481
3000,2024-12-31,3000-SECLEND-005,Securities lending,Government bonds,11806892.800820418,19233736.942323186,Cash,0.8143453216653642,46098.77767826578
3000,2024-12-31,3000-SECLEND-006,Securities lending,Loans and mortgages,39033954.364113234,31983089.44515762,Corporate bonds,0.2472188904554171,110247.155624359
3000,2024-12-31,3000-SECLEND-007,Securities lending,Corporate bonds,5811305.403151051,10116608.976703158,Government bonds,0.8799475560250207,70049.91762764062
1,2024-12-31,0001-SECLEND-001,Reverse repo,Loans and mortgages,46993681.26720583,36870124.06046108,Corporate bonds,1.6234692097634786,898791.8266855176
1,2024-12-31,0001-SECLEND-002,Repo,Equities,25986856.752704684,23083304.159752134,Corporate bonds,0.3059607081615831,136800.02892135122
