Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Gross_Claims_Reported,Gross_Claims_Paid,Gross_Claims_Outstanding,Gross_Ultimate_Estimate
1729,2024-12-31,General liability insurance,2015,0,10982491.614747204,3284366.6717362995,7698124.943010904,
1729,2024-12-31,General liability insurance,2015,1,10653820.4315844,4261528.17263376,6392292.25895064,
1729,2024-12-31,General liability insurance,2015,2,11547759.104712494,5773879.552356247,5773879.552356247,
1729,2024-12-31,General liability insurance,2015,3,12764223.43910567,7658534.063463404,5105689.375642267,
1729,2024-12-31,General liability insurance,2015,4,14108913.65536657,9876239.558756595,4232674.096609972,
1729,2024-12-31,General liability insurance,2015,5,15692738.109389082,12554190.487511266,3138547.621877816,
1729,2024-12-31,General liability insurance,2015,6,17239121.84185538,15515209.657669844,1723912.1841855366,
1729,2024-12-31,General liability insurance,2015,7,18474962.088288944,17551213.983874496,923748.104414448,
1729,2024-12-31,General liability insurance,2015,8,20065108.14648738,19061852.73916301,1003255.40732437,
1729,2024-12-31,General liability insurance,2015,9,21052513.60519697,19999887.924937125,1052625.68025985,29825958.551290777
1729,2024-12-31,General liability insurance,2016,0,8668507.724567844,26127.69986471833,8642380.024703125,
1729,2024-12-31,General liability insurance,2016,1,9576722.835913504,3830689.134365402,5746033.701548103,
1729,2024-12-31,General liability insurance,2016,2,10589803.279253446,5294901.639626723,5294901.639626723,
1729,2024-12-31,General liability insurance,2016,3,11548332.98432451,6928999.790594706,4619333.193729803,
1729,2024-12-31,General liability insurance,2016,4,12525853.19524141,8768097.236668987,3757755.958572423,
1729,2024-12-31,General liability insurance,2016,5,13800942.201764032,11040753.761411227,2760188.440352805,
1729,2024-12-31,General liability insurance,2016,6,14889424.245823044,13400481.821240742,1488942.4245823026,
1729,2024-12-31,General liability insurance,2016,7,16095241.317136584,15290479.251279756,804762.0658568293,
1729,2024-12-31,General liability insurance,2016,8,17962721.880733676,17064585.786696993,898136.0940366834,26712187.723744832
1729,2024-12-31,General liability insurance,2017,0,2622562.6788106747,665221.5291124218,1957341.1496982528,
1729,2024-12-31,General liability insurance,2017,1,2478532.571939857,991413.028775943,1487119.5431639142,
1729,2024-12-31,General liability insurance,2017,2,2974521.2897971976,1487260.6448985988,1487260.6448985988,
1729,2024-12-31,General liability insurance,2017,3,3135824.1286430485,1881494.4771858293,1254329.6514572192,
1729,2024-12-31,General liability insurance,2017,4,3434773.487628336,2404341.4413398346,1030432.046288501,
1729,2024-12-31,General liability insurance,2017,5,3935335.140159594,3148268.112127675,787067.0280319187,
1729,2024-12-31,General liability insurance,2017,6,4204389.766046205,3783950.7894415846,420438.97660462,
1729,2024-12-31,General liability insurance,2017,7,4414994.654970606,4194244.922222076,220749.73274853037,7354978.578529827
1729,2024-12-31,General liability insurance,2018,0,13262919.419253008,1830051.911263746,11432867.507989263,
1729,2024-12-31,General liability insurance,2018,1,12437427.518710995,4974971.007484398,7462456.511226597,
1729,2024-12-31,General liability insurance,2018,2,13691034.3049352,6845517.1524676,6845517.1524676,
1729,2024-12-31,General liability insurance,2018,3,15279781.842319569,9167869.10539174,6111912.736927826,
1729,2024-12-31,General liability insurance,2018,4,16682429.66755166,11677700.767286165,5004728.900265498,
1729,2024-12-31,General liability insurance,2018,5,17919739.54167263,14335791.633338103,3583947.9083345253,
1729,2024-12-31,General liability insurance,2018,6,19877063.000483766,17889356.700435393,1987706.3000483736,35119193.73635757
1729,2024-12-31,General liability insurance,2019,0,11901209.593749871,1155100.271046437,10746109.322703434,
1729,2024-12-31,General liability insurance,2019,1,16057243.22517179,6422897.290068716,9634345.935103074,
1729,2024-12-31,General liability insurance,2019,2,18799860.21036227,9399930.105181135,9399930.105181135,
1729,2024-12-31,General liability insurance,2019,3,20961961.541326985,12577176.924796192,8384784.616530793,
1729,2024-12-31,General liability insurance,2019,4,23580599.29517192,16506419.506620344,7074179.788551576,
1729,2024-12-31,General liability insurance,2019,5,25795652.41900548,20636521.935204383,5159130.483801093,47982882.22151596
1729,2024-12-31,General liability insurance,2020,0,11516609.58121515,3254267.6732530314,8262341.907962119,
1729,2024-12-31,General liability insurance,2020,1,10712795.766030788,4285118.306412315,6427677.459618472,
1729,2024-12-31,General liability insurance,2020,2,11520669.103477111,5760334.551738556,5760334.551738556,
1729,2024-12-31,General liability insurance,2020,3,13269368.707038157,7961621.224222895,5307747.482815262,
1729,2024-12-31,General liability insurance,2020,4,15014056.67686983,10509839.67380888,4504217.00306095,30601463.263012238
1729,2024-12-31,General liability insurance,2021,0,2576007.076516247,711562.5400994938,1864444.5364167527,
1729,2024-12-31,General liability insurance,2021,1,3578965.783471519,1431586.3133886077,2147379.470082912,
1729,2024-12-31,General liability insurance,2021,2,4019344.0722671608,2009672.0361335804,2009672.0361335804,
1729,2024-12-31,General liability insurance,2021,3,4486474.267815266,2691884.56068916,1794589.707126106,10287582.8095568
1729,2024-12-31,General liability insurance,2022,0,15569679.231577562,1157508.0736962503,14412171.157881312,
1729,2024-12-31,General liability insurance,2022,1,15527125.327741653,6210850.131096661,9316275.196644992,
1729,2024-12-31,General liability insurance,2022,2,17212697.006353915,8606348.503176957,8606348.503176957,44129352.59866482
1729,2024-12-31,General liability insurance,2023,0,6916426.56611203,1122177.201877538,5794249.364234492,
1729,2024-12-31,General liability insurance,2023,1,8248887.846395254,3299555.138558102,4949332.707837152,23286488.237485766
1729,2024-12-31,General liability insurance,2024,0,10301729.59604722,427720.3522167954,9874009.243830424,36478754.168115735
1729,2024-12-31,Fire and other damage to property insurance,2015,0,9037343.1147476,2458699.3256150656,6578643.789132534,
1729,2024-12-31,Fire and other damage to property insurance,2015,1,11600437.391399862,4640174.956559945,6960262.434839917,
1729,2024-12-31,Fire and other damage to property insurance,2015,2,13165553.721219728,6582776.860609864,6582776.860609864,
1729,2024-12-31,Fire and other damage to property insurance,2015,3,14600184.25604648,8760110.55362789,5840073.70241859,
1729,2024-12-31,Fire and other damage to property insurance,2015,4,16398651.694157114,11479056.18590998,4919595.508247135,
1729,2024-12-31,Fire and other damage to property insurance,2015,5,18100026.505905382,14480021.204724306,3620005.301181076,
1729,2024-12-31,Fire and other damage to property insurance,2015,6,18985904.62485278,17087314.162367504,1898590.462485276,
1729,2024-12-31,Fire and other damage to property insurance,2015,7,20587904.58165661,19558509.352573782,1029395.2290828304,
1729,2024-12-31,Fire and other damage to property insurance,2015,8,22362666.35513384,21244533.037377145,1118133.3177566938,
1729,2024-12-31,Fire and other damage to property insurance,2015,9,24058859.99553545,22855916.995758675,1202942.9997767732,33771866.024424896
1729,2024-12-31,Fire and other damage to property insurance,2016,0,6956846.388569342,317190.8350736138,6639655.553495728,
1729,2024-12-31,Fire and other damage to property insurance,2016,1,7063378.749197542,2825351.499679017,4238027.249518525,
1729,2024-12-31,Fire and other damage to property insurance,2016,2,7556300.617038328,3778150.308519164,3778150.308519164,
1729,2024-12-31,Fire and other damage to property insurance,2016,3,8526278.445951024,5115767.067570616,3410511.3783804085,
1729,2024-12-31,Fire and other damage to property insurance,2016,4,9664197.115376445,6764937.980763511,2899259.1346129337,
1729,2024-12-31,Fire and other damage to property insurance,2016,5,10354480.680674735,8283584.544539789,2070896.1361349467,
1729,2024-12-31,Fire and other damage to property insurance,2016,6,11289641.38371808,10160677.245346272,1128964.1383718066,
1729,2024-12-31,Fire and other damage to property insurance,2016,7,12007529.857916169,11407153.36502036,600376.4928958081,
1729,2024-12-31,Fire and other damage to property insurance,2016,8,13266325.041564353,12603008.789486134,663316.2520782184,19940031.595295563
1729,2024-12-31,Fire and other damage to property insurance,2017,0,12743059.887355683,1359161.2490542354,11383898.63830145,
1729,2024-12-31,Fire and other damage to property insurance,2017,1,13309120.336087646,5323648.134435059,7985472.201652587,
1729,2024-12-31,Fire and other damage to property insurance,2017,2,14725645.09320736,7362822.546603681,7362822.546603681,
1729,2024-12-31,Fire and other damage to property insurance,2017,3,17172281.48565527,10303368.891393164,6868912.594262106,
1729,2024-12-31,Fire and other damage to property insurance,2017,4,18866919.492012247,13206843.644408572,5660075.847603675,
1729,2024-12-31,Fire and other damage to property insurance,2017,5,20368640.94354113,16294912.754832909,4073728.188708225,
1729,2024-12-31,Fire and other damage to property insurance,2017,6,21756011.17844397,19580410.060599577,2175601.117844396,
1729,2024-12-31,Fire and other damage to property insurance,2017,7,23269235.73720195,22105773.95034185,1163461.7868600972,38339744.30248935
1729,2024-12-31,Fire and other damage to property insurance,2018,0,3069868.1719683423,393866.31441192416,2676001.857556418,
1729,2024-12-31,Fire and other damage to property insurance,2018,1,2856578.7492171624,1142631.499686865,1713947.2495302977,
