Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Reins_Claims_Reported,Reins_Claims_Paid,Reins_Claims_Outstanding
1729,2024-12-31,General liability insurance,2015,0,4239995.543724949,1195705.7044919597,3044289.8392329887
1729,2024-12-31,General liability insurance,2015,1,3603637.989901497,1802991.9837233769,1800646.0061781197
1729,2024-12-31,General liability insurance,2015,2,3559209.582205475,2133204.229819407,1426005.3523860676
1729,2024-12-31,General liability insurance,2015,3,5580751.189437403,3750829.0881718113,1829922.101265592
1729,2024-12-31,General liability insurance,2015,4,6522454.670562375,3072221.230429508,3450233.4401328675
1729,2024-12-31,General liability insurance,2015,5,4929246.167496743,6111462.764708173,-1182216.5972114308
1729,2024-12-31,General liability insurance,2015,6,7440232.289575394,7211147.9167214,229084.3728539944
1729,2024-12-31,General liability insurance,2015,7,9122730.827177688,7771529.938854852,1351200.8883228349
1729,2024-12-31,General liability insurance,2015,8,8094793.911784431,6164848.742000269,1929945.1697841624
1729,2024-12-31,General liability insurance,2015,9,6849952.469344709,8369927.0134379715,-1519974.5440932624
1729,2024-12-31,General liability insurance,2016,0,2938347.5787649774,10405.776771296018,2927941.8019936816
1729,2024-12-31,General liability insurance,2016,1,3607760.342140474,1474334.2021360784,2133426.1400043955
1729,2024-12-31,General liability insurance,2016,2,4455750.287995636,1905027.4043446104,2550722.8836510256
1729,2024-12-31,General liability insurance,2016,3,3967313.84886211,3417412.434783053,549901.414079057
1729,2024-12-31,General liability insurance,2016,4,4689270.553786338,2675740.895184825,2013529.658601513
1729,2024-12-31,General liability insurance,2016,5,6294530.074715109,3756451.368942613,2538078.705772496
1729,2024-12-31,General liability insurance,2016,6,5879694.209643891,4046863.0561385415,1832831.1535053493
1729,2024-12-31,General liability insurance,2016,7,7428359.048056646,6946383.209882167,481975.8381744791
1729,2024-12-31,General liability insurance,2016,8,8458701.187831841,7450997.33726528,1007703.8505665612
1729,2024-12-31,General liability insurance,2017,0,1205897.4062042984,267216.6990115694,938680.707192729
1729,2024-12-31,General liability insurance,2017,1,1162595.3473382846,441607.645356322,720987.7019819627
1729,2024-12-31,General liability insurance,2017,2,984978.57627693,513302.6041337342,471675.9721431957
1729,2024-12-31,General liability insurance,2017,3,1437800.3038361429,634781.3523590751,803018.9514770678
1729,2024-12-31,General liability insurance,2017,4,1716398.083137517,733236.2423891635,983161.840748354
1729,2024-12-31,General liability insurance,2017,5,1468168.7361685594,1474406.656564143,-6237.920395583613
1729,2024-12-31,General liability insurance,2017,6,2019478.7526138832,1836118.9732562525,183359.7793576308
1729,2024-12-31,General liability insurance,2017,7,1391087.2672767544,1468286.6427139288,-77199.37543717446
1729,2024-12-31,General liability insurance,2018,0,5588922.931935596,618008.476555414,4970914.455380183
1729,2024-12-31,General liability insurance,2018,1,6137442.909967374,1759745.6830235932,4377697.226943781
1729,2024-12-31,General liability insurance,2018,2,4343114.016110631,2819171.060218407,1523942.955892224
1729,2024-12-31,General liability insurance,2018,3,5025326.146288116,3560921.767174066,1464404.3791140504
1729,2024-12-31,General liability insurance,2018,4,6745810.275392647,4871129.44662612,1874680.828766527
1729,2024-12-31,General liability insurance,2018,5,8103327.663323907,6345062.353945838,1758265.309378069
1729,2024-12-31,General liability insurance,2018,6,6173561.085403319,8067858.507926698,-1894297.4225233784
