Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Net_Claims_Reported,Net_Claims_Paid,Net_Claims_Outstanding,Net_Ultimate_Estimate
1729,2024-12-31,General liability insurance,2015,0,6742496.071022255,2088660.96724434,4653835.103777915,
1729,2024-12-31,General liability insurance,2015,1,7050182.441682903,2458536.188910383,4591646.25277252,
1729,2024-12-31,General liability insurance,2015,2,7988549.522507019,3640675.32253684,4347874.19997018,
1729,2024-12-31,General liability insurance,2015,3,7183472.249668268,3907704.975291593,3275767.274376675,
1729,2024-12-31,General liability insurance,2015,4,7586458.984804194,6804018.32832709,782440.6564771049,
1729,2024-12-31,General liability insurance,2015,5,10763491.94189234,6442727.722803093,4320764.219089246,
1729,2024-12-31,General liability insurance,2015,6,9798889.552279986,8304061.740948444,1494827.8113315422,
1729,2024-12-31,General liability insurance,2015,7,9352231.261111258,9779684.045019643,-427452.7839083877,
1729,2024-12-31,General liability insurance,2015,8,11970314.23470295,12897003.997162744,-926689.7624597922,
1729,2024-12-31,General liability insurance,2015,9,14202561.135852266,11629960.911499154,2572600.2243531123,17895575.130774464
1729,2024-12-31,General liability insurance,2016,0,5730160.145802867,15721.923093422318,5714438.222709444,
1729,2024-12-31,General liability insurance,2016,1,5968962.493773032,2356354.932229324,3612607.561543708,
1729,2024-12-31,General liability insurance,2016,2,6134052.991257809,3389874.235282112,2744178.755975697,
1729,2024-12-31,General liability insurance,2016,3,7581019.1354624,3511587.355811653,4069431.7796507454,
1729,2024-12-31,General liability insurance,2016,4,7836582.641455072,6092356.341484162,1744226.29997091,
1729,2024-12-31,General liability insurance,2016,5,7506412.127048924,7284302.3924686145,222109.73458030916,
1729,2024-12-31,General liability insurance,2016,6,9009730.036179151,9353618.7651022,-343888.72892304696,
1729,2024-12-31,General liability insurance,2016,7,8666882.269079939,8344096.041397587,322786.22768235113,
1729,2024-12-31,General liability insurance,2016,8,9504020.692901837,9613588.449431714,-109567.75652987882,16027312.6342469
1729,2024-12-31,General liability insurance,2017,0,1416665.2726063763,398004.8301008524,1018660.442505524,
1729,2024-12-31,General liability insurance,2017,1,1315937.2246015726,549805.383419621,766131.8411819516,
1729,2024-12-31,General liability insurance,2017,2,1989542.7135202675,973958.0407648644,1015584.672755403,
1729,2024-12-31,General liability insurance,2017,3,1698023.8248069056,1246713.1248267542,451310.6999801514,
1729,2024-12-31,General liability insurance,2017,4,1718375.4044908185,1671105.1989506711,47270.20554014714,
1729,2024-12-31,General liability insurance,2017,5,2467166.4039910343,1673861.4555635322,793304.9484275021,
1729,2024-12-31,General liability insurance,2017,6,2184911.013432321,1947831.816185332,237079.197246989,
1729,2024-12-31,General liability insurance,2017,7,3023907.3876938517,2725958.2795081465,297949.1081857048,4412987.147117896
1729,2024-12-31,General liability insurance,2018,0,7673996.487317412,1212043.434708332,6461953.05260908,
1729,2024-12-31,General liability insurance,2018,1,6299984.608743621,3215225.3244608045,3084759.2842828166,
1729,2024-12-31,General liability insurance,2018,2,9347920.28882457,4026346.092249193,5321574.196575376,
