Syndicate,Reporting_Date,Line_of_Business,Gross_Claims_Outstanding,Net_Claims_Outstanding,Gross_Claims_Paid,Net_Claims_Paid
33,2024-12-31,Assistance,31578421.01317568,17887863.500995908,111275283.67844647,65849898.432987645
33,2024-12-31,Credit and suretyship insurance,27207956.416951872,19513967.92831943,104702102.80538182,62384911.46316462
33,2024-12-31,Fire and other damage to property insurance,40468736.68135708,23107661.015098695,71430116.3296378,41576050.67608806
33,2024-12-31,Income protection insurance,21407350.57157249,13108421.106053805,73499549.94899468,44230371.40539412
33,2024-12-31,Medical expense insurance,29555739.196398523,21163737.530538343,117161375.35055687,70049199.12084864
33,2024-12-31,Miscellaneous financial loss,24848963.04930896,20996073.499111615,71667609.01256642,39116686.60487736
33,2024-12-31,Motor vehicle liability insurance,29370216.15655446,21582094.695788573,91406482.59912983,52197654.88776205
33,2024-12-31,Workers compensation insurance,33474280.996446587,21725931.074939713,104772449.1927526,60934609.328198746
218,2024-12-31,Fire and other damage to property insurance,34158205.86094174,17888525.881822467,93343862.9484511,57188736.661184885
218,2024-12-31,Legal expenses insurance,50565137.96942644,33327357.66399823,126828351.8706315,76096953.50510609
218,2024-12-31,"Marine, aviation and transport insurance",39381301.46518857,27545510.219861995,87040510.18884194,48415500.012119085
218,2024-12-31,Miscellaneous financial loss,32745735.148399524,24737208.79561361,114277287.97362565,66305429.37692672
218,2024-12-31,Other motor insurance,36779064.85935105,16927061.55079133,82577623.72534274,48512756.24438938
218,2024-12-31,Workers compensation insurance,38080468.51076005,21054969.22068715,83922473.63907135,48923890.50108679
727,2024-12-31,Assistance,34418047.93704869,25940856.47712807,129892409.28795531,77034736.68580443
727,2024-12-31,Credit and suretyship insurance,31131872.26721508,16508528.289606048,104670023.88917291,64256645.23158473
727,2024-12-31,General liability insurance,27194324.636896886,15972018.384572348,115322526.04839203,67592021.06184097
727,2024-12-31,Legal expenses insurance,34976600.952687874,25605244.46152442,112652197.02731577,66821754.194360614
727,2024-12-31,Medical expense insurance,24799616.7242845,10357572.600847583,68315380.96684921,43303564.04204984
727,2024-12-31,Motor vehicle liability insurance,39023694.65148116,26916540.180580124,117133271.67052841,70280004.774263
727,2024-12-31,Workers compensation insurance,37037889.715259045,20398875.367451254,117849050.33439009,73350819.31609277
1183,2024-12-31,Assistance,32221027.063872837,17520142.01654771,119764464.81095237,74410580.00965309
1183,2024-12-31,Credit and suretyship insurance,35170351.88656915,21043397.76896844,82086629.32587324,50791262.104545295
1183,2024-12-31,General liability insurance,48033786.18947742,30450210.3817827,108776606.60715379,62180678.13803233
1183,2024-12-31,"Marine, aviation and transport insurance",40653607.03388634,20670490.020657737,93549307.32888828,60786905.090539046
1183,2024-12-31,Miscellaneous financial loss,40469197.300103135,26239827.13585457,106397184.43608443,67644945.58894798
1183,2024-12-31,Motor vehicle liability insurance,30536257.722278558,20904790.607457478,133494525.28157745,80918391.32994792
1183,2024-12-31,Other motor insurance,37409126.27227959,25235925.95827591,131461195.71863984,79737855.7426242
1221,2024-12-31,Assistance,29574278.60841115,16471685.929646676,96788387.47445694,60457322.98390259
1221,2024-12-31,Fire and other damage to property insurance,28096152.000836447,16572982.682719428,75869579.11347617,45978590.74919801
1221,2024-12-31,Legal expenses insurance,34498951.48974058,15942441.09262234,85172220.39719695,52850589.77090573
1221,2024-12-31,"Marine, aviation and transport insurance",37864898.28075545,23010418.63102521,109246434.62490582,62866752.57546979
1221,2024-12-31,Medical expense insurance,31130933.9338827,20781302.972900763,105361610.2236019,61643508.52845129
1221,2024-12-31,Miscellaneous financial loss,23628833.53112754,11554407.265715154,98487054.5740497,61276283.057892196
1458,2024-12-31,Assistance,30572468.300079197,19364428.96140886,98919958.82257402,58953539.23573778
1458,2024-12-31,General liability insurance,38729752.554478675,23021772.937090505,89114306.1366791,52211893.91416408
1458,2024-12-31,Income protection insurance,26570697.153251097,13771643.421919711,80545679.21849476,46557186.61923858
1458,2024-12-31,"Marine, aviation and transport insurance",35264868.082043976,19096548.678369895,105222301.04554617,61943203.18472551
1458,2024-12-31,Medical expense insurance,28814603.137321085,20775601.34051032,117285543.1652512,68102615.02883372
1458,2024-12-31,Miscellaneous financial loss,34149228.88769546,19448602.409632836,93535056.4884661,58668000.48283379
1458,2024-12-31,Workers compensation insurance,25345716.342207685,17816740.811242543,74542180.26095644,44560095.651211485
1729,2024-12-31,Fire and other damage to property insurance,33521643.733149394,24717434.290182568,102659544.66546836,59140080.38619036
1729,2024-12-31,General liability insurance,39046845.45592612,24440243.69205153,105319945.49794586,63237166.75903562
1729,2024-12-31,Income protection insurance,37010096.66447319,25294470.758911528,108234641.81048875,61586805.77079432
1729,2024-12-31,Medical expense insurance,29980312.450918958,15362258.362001456,100309890.27057615,62905229.73204471
1729,2024-12-31,Workers compensation insurance,29290079.694307905,14226576.574535355,117491037.74849439,74942994.33512536
2791,2024-12-31,Assistance,40849151.52100028,35474713.77653675,139129848.61895028,76527933.75916308
2791,2024-12-31,General liability insurance,36722026.86418285,23010929.892217703,102699515.32609154,58681839.18227977
2791,2024-12-31,Income protection insurance,22911146.22519289,12866596.713201266,87479232.59154268,50572690.21935793
2791,2024-12-31,Legal expenses insurance,37035040.03588452,26612654.99214626,126278933.37720674,70819931.45849794
2791,2024-12-31,"Marine, aviation and transport insurance",33926559.68992993,22052661.965619415,87061776.85537124,52170466.49251898
2791,2024-12-31,Miscellaneous financial loss,39485799.974463046,21878726.022413447,114873244.30222501,67882435.69980274
2791,2024-12-31,Motor vehicle liability insurance,30466047.77375475,17407014.967734534,95787437.51865008,58442274.09038464
3000,2024-12-31,General liability insurance,43064035.01788325,29248676.160920665,118367995.90879662,67608786.20835042
3000,2024-12-31,Legal expenses insurance,25321706.976765033,17380429.404954925,103638966.41268201,62753915.25077419
3000,2024-12-31,"Marine, aviation and transport insurance",35932142.64649166,30465248.344559975,116256949.12696008,67192159.25616673
3000,2024-12-31,Miscellaneous financial loss,33383354.501884505,12795514.381172523,118775241.49460855,74899101.0139344
3000,2024-12-31,Motor vehicle liability insurance,30199385.967402715,15697284.645910662,98802830.11856914,61410124.94608681
3210,2024-12-31,Assistance,40850069.02017409,22480092.130666483,107752187.40544699,67353898.30976474
3210,2024-12-31,Credit and suretyship insurance,30348531.295021057,16212370.87668314,110240858.58283454,66592198.526800826
3210,2024-12-31,Income protection insurance,47673403.40609449,28659526.403843697,156546187.57748747,96199904.72003649
3210,2024-12-31,"Marine, aviation and transport insurance",30473308.61047172,11887132.325175853,113004812.00650038,69866475.23758526
3210,2024-12-31,Medical expense insurance,40400528.146978214,19754505.789224107,126883459.06443176,76842825.34001063
3210,2024-12-31,Miscellaneous financial loss,40066569.97439455,18641757.84362351,123261839.68991992,74323980.81247425
3210,2024-12-31,Motor vehicle liability insurance,38451601.252130345,28016395.989482842,118275731.27469356,65546126.026836134
4242,2024-12-31,Credit and suretyship insurance,35364954.22140925,26691859.020460464,131116272.72530898,71493191.37133393
4242,2024-12-31,Fire and other damage to property insurance,28731948.779958308,18694284.85745559,103694816.77909243,58339736.07057004
4242,2024-12-31,General liability insurance,29571675.428379364,23612230.98199275,89180105.81917979,51980171.9579249
4242,2024-12-31,"Marine, aviation and transport insurance",42035284.4570107,32588623.095649216,136222452.58639893,78148521.47965558
4242,2024-12-31,Medical expense insurance,30344887.434642386,22632687.91827125,117340074.5895541,67729882.87799297
4242,2024-12-31,Other motor insurance,30214998.43367187,17611410.553292703,109045766.30431826,65038747.42721006
4242,2024-12-31,Workers compensation insurance,32561267.742751077,19553681.215765778,90610944.69249487,54268252.14467049
5000,2024-12-31,Assistance,38326773.726086155,16597161.482695736,104014207.67461286,67391265.61326459
5000,2024-12-31,General liability insurance,26094084.374708906,10418277.421398204,112352752.8214764,70037728.77393542
5000,2024-12-31,Income protection insurance,24165409.153600648,18646533.303429473,92907512.82234512,51295570.04952961
5000,2024-12-31,Legal expenses insurance,36500475.05787689,24057578.010414906,115076243.76765862,70025426.83659837
5000,2024-12-31,Medical expense insurance,29288725.720436655,13503421.65342563,110408676.9573554,67847697.68577045
5000,2024-12-31,Motor vehicle liability insurance,29559282.21779898,17089060.771245837,102178056.1635011,62578088.31973617
5000,2024-12-31,Other motor insurance,39603749.4302152,20306171.711269572,80785736.31969354,50589654.43674044
5000,2024-12-31,Workers compensation insurance,45867514.770682886,20384741.53461905,129592092.03348577,81444918.5463484
5820,2024-12-31,Fire and other damage to property insurance,31241179.542399555,24115032.569949307,83417288.54096258,48000345.202350646
5820,2024-12-31,"Marine, aviation and transport insurance",31918428.46888847,13119033.98893922,106729229.57814512,67372397.55401306
5820,2024-12-31,Motor vehicle liability insurance,30522939.32758709,22169119.34151898,95330590.57614574,53273317.477280416
5820,2024-12-31,Other motor insurance,44943716.66566252,24772184.759532005,108524824.08450255,64698317.34316263
5820,2024-12-31,Workers compensation insurance,22187225.94158981,14259974.097625852,69697632.91976123,41000992.88805674
6104,2024-12-31,Assistance,25833574.20779633,15154060.628450153,93570172.2030425,53754246.265698455
6104,2024-12-31,Credit and suretyship insurance,18516529.899964664,14345260.842900312,79200082.7897622,48876492.783840746
6104,2024-12-31,Income protection insurance,34691707.18654943,17625840.36730411,117744252.03312203,71396947.4753287
6104,2024-12-31,Miscellaneous financial loss,25201079.942235183,16309931.534339434,103076464.32142505,59732597.72303756
6104,2024-12-31,Motor vehicle liability insurance,38520311.974789515,26743227.691403914,96988734.48652814,56062630.82225443
6104,2024-12-31,Workers compensation insurance,28902428.70987498,20981920.18668546,68400235.23317274,38565991.454203494
6117,2024-12-31,Credit and suretyship insurance,41338135.73316853,28048758.733812578,139141879.70840406,81215431.13727315
6117,2024-12-31,Fire and other damage to property insurance,35093621.55784568,22075135.176331848,118851182.60304104,70476158.33093876
6117,2024-12-31,Income protection insurance,36256618.55216548,17821778.875746164,100028926.45498808,61203912.02836858
6117,2024-12-31,Legal expenses insurance,28595222.597320925,16327761.258044204,100275049.6417382,58655098.26023417
6117,2024-12-31,"Marine, aviation and transport insurance",37909953.700751826,21865669.54817442,110609070.05182531,62146984.97536633
6117,2024-12-31,Medical expense insurance,25790616.855538186,18524442.94730052,96884387.84664084,59192971.59551997
6117,2024-12-31,Miscellaneous financial loss,39185517.02951525,28955675.17851192,104878471.56109436,61452203.735976964
6117,2024-12-31,Motor vehicle liability insurance,26472245.85601362,19142158.846822113,93890925.81895614,54747459.56010333
