Syndicate,Line_of_Business,Development_Year,Avg_Dev_Factor,Median_Dev_Factor,Std_Dev_Factor
33,Assistance,0,1.2424002944249968,1.1805575043709535,0.2219196695666257
33,Assistance,1,1.116580896775892,1.1117921927887617,0.02807677740370437
33,Assistance,2,1.1291377763153745,1.131358446049138,0.021708682514389264
33,Assistance,3,1.0986964462108584,1.1000990572224851,0.01538948921273339
33,Assistance,4,1.0859406898019734,1.0992027519039205,0.02666636029029756
33,Assistance,5,1.094169468028584,1.0963561673066287,0.047864111084204936
33,Assistance,6,1.0606142427139966,1.0544349662174823,0.01914594366250636
33,Assistance,7,1.0733095239039023,1.0733095239039023,0.0224215156366402
33,Assistance,8,1.0843435753695572,1.0843435753695572,
33,Credit and suretyship insurance,0,1.1551738986913183,1.1311858583514942,0.22376084701464397
33,Credit and suretyship insurance,1,1.1387768445724191,1.1431547707922398,0.029719419150037396
33,Credit and suretyship insurance,2,1.0906467185428037,1.0866686306939266,0.022337412890370105
33,Credit and suretyship insurance,3,1.1273888203614872,1.129116039106845,0.013877916588984903
33,Credit and suretyship insurance,4,1.0983353880426487,1.0883106885413116,0.023395352969496484
33,Credit and suretyship insurance,5,1.0843696609393254,1.0854553541370875,0.015538417956626586
33,Credit and suretyship insurance,6,1.0574396194767617,1.050885000818016,0.021942383562367496
33,Credit and suretyship insurance,7,1.087754846371656,1.087754846371656,0.025847407678129784
33,Credit and suretyship insurance,8,1.041858855992298,1.041858855992298,
33,Fire and other damage to property insurance,0,1.3135752163704553,1.3590025668298422,0.254335164178006
33,Fire and other damage to property insurance,1,1.1141222142393772,1.1025377186686263,0.03805649406723657
33,Fire and other damage to property insurance,2,1.1233857334788921,1.1086237191517987,0.036480372900096314
33,Fire and other damage to property insurance,3,1.1061750458095787,1.106089520927835,0.043420226300866074
33,Fire and other damage to property insurance,4,1.094579687024504,1.0821781040128229,0.02908282658410595
33,Fire and other damage to property insurance,5,1.0751438967043256,1.0757134341628718,0.003815466601080249
33,Fire and other damage to property insurance,6,1.0922244957674034,1.0996798746440624,0.023274220514819595
