Syndicate,Reporting_Date,R0010_Goodwill,R0020_Deferred_Acquisition_Costs,R0030_Intangible_Assets,R0040_Deferred_Tax_Assets,R0050_Pension_Benefit_Surplus,R0060_Property_Plant_Equipment,R0070_Investments,R0080_Holdings_Related_Undertakings,R0090_Equities,R0100_Bonds,R0110_Government_Bonds,R0120_Corporate_Bonds,R0130_Collective_Investments,R0140_Derivatives,R0150_Deposits_Other_Than_Cash,R0160_Reinsurance_Recoverables,R0170_Insurance_Receivables,R0180_Reinsurance_Receivables,R0190_Receivables_Trade,R0200_Cash_and_Cash_Equivalents,R0210_Other_Assets,R0220_Total_Assets,R0230_Technical_Provisions_NonLife,R0240_Technical_Provisions_Life,R0250_Best_Estimate,R0260_Risk_Margin,R0270_Deposits_From_Reinsurers,R0280_Deferred_Tax_Liabilities,R0290_Derivatives_Liabilities,R0300_Debts_Credit_Institutions,R0310_Insurance_Payables,R0320_Reinsurance_Payables,R0330_Payables_Trade,R0340_Other_Liabilities,R0350_Total_Liabilities,R0360_Excess_Assets_Over_Liabilities
2791,2025-09-30,0,0,0,1872700.5942368128,1901428.6128198323,7587945.476302646,339463393.67881465,7800932.022121826,24039506.83025824,64520903.04204987,177249944.78173897,68089200.9394567,36863266.00082205,205844.94295802448,29247746.304049857,128217543.30405484,24863737.74747933,11363873.852248522,6117876.667508375,25212112.147976886,8821833.611219093,963439790.5561163,257986254.66052896,0,219288316.4614496,38697938.19907934,12280728.504951049,1835558.6841671383,697469.3032602092,5842892.970704363,23387197.41833505,13577469.668557754,12207287.498109177,6394454.296692116,334209313.0053058,629230477.5508106
218,2025-09-30,0,0,0,2571172.192068058,1184829.137724085,1418053.7144799796,343017940.7605753,8526206.184364576,15854643.368675156,287221384.3133333,194157445.6226751,84671787.8493169,18707619.61280168,976721.1400638388,22105825.66280392,77219824.18614817,18542676.43913452,22331191.853894457,3584604.858958713,55466020.1039391,5364139.76080022,1162922086.7617571,315630571.0884955,0,268285985.4252212,47344585.663274325,12792776.902235271,1560204.0635334323,2733551.396716398,3697089.1105105407,48722554.36611146,20277789.29058341,14213486.24033446,18212064.95727003,437840087.4157905,725081999.3459666
1,2025-09-30,0,0,0,2989499.8940554257,1843748.4700462336,1796432.5184672754,178393144.96765807,2261364.4455269035,39279729.76869379,147169322.4223705,76129335.4015623,86299000.73215434,21053899.70121152,2809345.096873808,18567402.07895621,38320149.24671914,66153788.652782775,7609272.528791979,19777077.922208797,48612238.46483287,4583303.859944241,763648056.1728563,151380529.2809006,0,128673449.8887655,22707079.392135087,25386535.711370856,2120572.031542851,3645035.840204937,15425406.933718914,11109875.372831795,11527780.299429726,3506297.773826686,17672758.23988509,241774791.48371145,521873264.6891449
3456,2025-09-30,0,0,0,3116490.6341377897,661796.0497052984,1572025.1525742128,224392928.68626487,16259166.101337353,75664556.05042577,209389367.8388033,180826166.2379755,57777194.01295594,10381741.067223577,7132447.87222995,24019626.21542244,92966035.68403453,63967702.59681927,22282845.87275368,11886458.099493898,31377050.91792748,2330448.6476732376,1036004047.7377578,176972856.74832612,0,150426928.2360772,26545928.51224892,5785729.642168356,1909231.233791341,1571779.9053816334,10171413.823294057,46117791.90489591,9235136.812126374,7334977.999463187,15844369.355231827,274943287.4246788,761060760.313079
886,2025-09-30,0,0,0,1143990.8274581125,153959.819657586,3607763.076223912,164488514.90160176,46484882.617128655,82730834.16079752,208350939.12760583,178148300.331912,84293766.15192915,13395652.649871612,8925589.984899778,18483556.047891267,124967220.17132813,72726390.99464452,16130121.624015236,4870882.716970505,21396758.127097085,7552401.252141332,1057851524.583174,354503691.48062325,0,301328137.7585297,53175553.722093485,26518264.581408583,20856.39159357211,2553736.5128878285,8348220.06297558,17328528.03977067,6517172.7140073385,6388997.228247164,19029464.966512825,441208931.9780268,616642592.6051472
727,2025-09-30,0,0,0,1616014.6601037765,1037581.2434867322,7327170.630056601,245451840.9517176,48589104.136048034,96620256.54479,112945573.95634104,114532246.00170553,44070264.785341576,17817822.246986043,368869.473545328,20239108.349497423,85348273.019752,13603512.587499255,14752626.2482814,18440520.061433118,21978094.53334862,3883633.3371859,868622512.7671199,272363190.0693908,0,231508711.55898216,40854478.51040862,29641261.352765016,726165.8145345013,3360677.7370293927,15232392.306574352,17980776.847680785,19292543.320849054,6781180.725350292,13749199.120090852,379127387.294265,489495125.47285485
4242,2025-09-30,0,0,0,3167648.553804473,1071549.3681495169,1812607.930489675,434120998.2356952,16039003.248586792,26786665.93598688,60193785.38869098,130451800.34200113,74205148.9473826,5746452.301753527,5120930.58299281,10662394.379948448,103872462.75322849,22205650.030349404,29182820.83358631,9574500.887109136,56836499.43683673,3787772.273897912,994838691.43049,235266587.76256463,0,199976599.59817997,35289988.16438469,7836838.031014727,2774080.854835688,4386696.766904905,5158832.554303112,35719329.933435515,21161666.204225533,9217610.55079301,12004059.83205211,333525702.49012923,661312988.9403607
308,2025-09-30,0,0,0,1209261.4545022584,186205.53561179843,9074941.82157994,460167222.8653322,31655072.8636634,40512681.19438306,137302393.65316522,153412465.4079407,91768820.79620616,44918889.09193028,7798755.458576239,21050791.153857198,30938195.449356347,21314009.986622963,36449396.59844777,13309294.01421303,10459852.580831485,3319130.0572584174,1114847379.9834783,315875442.277014,0,268494125.9354619,47381316.34155209,5126539.596155467,482424.154252496,2743668.9468329307,13837903.953853864,35382372.89910922,8709655.498671755,11258329.877517968,7033234.487445601,400449571.6908533,714397808.2926251
6117,2025-09-30,0,0,0,1626998.4907963383,1492982.8102360482,6846696.091424932,439689364.1976712,32880644.61501717,61147774.300192446,73418691.95702311,92511686.5201037,41216189.41453804,15979533.95205876,9730105.547524456,14827443.11666901,135966052.1730247,54179703.8198084,32818395.623957694,11544830.582788266,38845194.23131795,8402730.01964523,1073125017.4637976,198810746.9495111,0,168989134.90708444,29821612.042426664,23061302.881537635,842317.0873225674,121579.8321572692,12909445.918143356,15438648.535096057,23749630.2714112,14401071.501033636,18552694.633747622,307887437.6099605,765237579.853837
2121,2025-09-30,0,0,0,1850793.501277222,30913.23305773486,9354867.063289529,271273659.3269257,48332740.95218348,96725797.93803276,263252363.86684,80056311.65182957,50807818.28815402,43301150.21825856,3169220.051562777,9237318.667152312,92384164.11958551,75530834.19125468,29361042.88362405,12691039.891519204,14858824.688538428,9995093.947089206,1112213954.4801748,397513462.5260658,0,337886443.14715594,59627019.37890987,8502100.380913101,1554988.9570912102,4386865.359639777,14815372.35508409,37274661.12180126,18752165.763729297,6673384.965856818,7991061.352496387,497464062.78267765,614749891.6974971
