Syndicate,Reporting_Date,Line_of_Business,Technical_Provisions_Calculated_Whole,Best_Estimate_Gross,Best_Estimate_Recoverable,Best_Estimate_Net,Risk_Margin,Technical_Provisions_Gross,Technical_Provisions_Recoverable,Technical_Provisions_Net
4242,2025-09-30,"Marine, aviation and transport insurance",0,24994823.18094816,5714257.12166419,19280566.05928397,7080193.897326222,32075017.078274384,5714257.12166419,26360759.956610195
4242,2025-09-30,Legal expenses insurance,0,18943833.540778108,14521893.012727948,4421940.52805016,1085081.3228287145,20028914.86360682,14521893.012727948,5507021.850878874
4242,2025-09-30,Other motor insurance,0,48795153.06830556,2561078.855357489,46234074.21294807,7238001.795886498,56033154.86419205,2561078.855357489,53472076.00883456
4242,2025-09-30,Medical expense insurance,0,31108044.363451995,14908542.349550905,16199502.01390109,1516575.953147792,32624620.316599783,14908542.349550905,17716077.967048883
4242,2025-09-30,General liability insurance,0,32154171.37605283,14600932.963048289,17553238.413004544,4661684.909191042,36815856.28524387,14600932.963048289,22214923.322195586
4242,2025-09-30,Assistance,0,35175945.5254105,11044732.956800023,24131212.56861048,4181787.453374413,39357732.97878492,11044732.956800023,28313000.021984898
4242,2025-09-30,Credit and suretyship insurance,0,35102323.20336254,9596086.055000303,25506237.148362234,7308106.073436923,42410429.27679946,9596086.055000303,32814343.22179916
4242,2025-09-30,Motor vehicle liability insurance,0,11817855.213658314,5652521.4646989945,6165333.74895932,7652880.388535911,19470735.602194227,5652521.4646989945,13818214.137495233
5000,2025-09-30,Income protection insurance,0,45610551.35563666,7923537.786214268,37687013.56942239,5340928.184610757,50951479.54024741,7923537.786214268,43027941.75403314
5000,2025-09-30,Credit and suretyship insurance,0,21095247.31924531,4445575.076408897,16649672.242836412,4245888.834579876,25341136.153825182,4445575.076408897,20895561.07741629
5000,2025-09-30,Other motor insurance,0,24134089.12104211,9587529.454061337,14546559.666980771,1544142.458754894,25678231.579797003,9587529.454061337,16090702.125735668
5000,2025-09-30,"Marine, aviation and transport insurance",0,48975792.30664666,14820739.678234838,34155052.62841182,5887131.998138216,54862924.30478488,14820739.678234838,40042184.62655004
5000,2025-09-30,Motor vehicle liability insurance,0,31443854.65376481,6023859.011722261,25419995.642042555,6696565.137948641,38140419.791713454,6023859.011722261,32116560.779991195
5000,2025-09-30,Assistance,0,37389246.902155176,4114020.211483587,33275226.69067159,7376490.291456897,44765737.19361207,4114020.211483587,40651716.98212848
5000,2025-09-30,Medical expense insurance,0,42901489.71692676,14347398.872795012,28554090.84413175,6080036.55871852,48981526.27564528,14347398.872795012,34634127.40285027
5000,2025-09-30,Fire and other damage to property insurance,0,34536607.837431595,7437159.471778045,27099448.36565355,7529099.383478093,42065707.220909685,7437159.471778045,34628547.74913164
510,2025-09-30,Assistance,0,44642555.58001634,2587842.711380462,42054712.86863588,1184568.821480764,45827124.4014971,2587842.711380462,43239281.69011664
510,2025-09-30,Motor vehicle liability insurance,0,25058534.675121985,12537193.300163828,12521341.374958158,7910932.905204611,32969467.580326594,12537193.300163828,20432274.280162767
510,2025-09-30,Other motor insurance,0,16016675.644141126,9723699.299577758,6292976.344563369,3666235.9964171504,19682911.64055828,9723699.299577758,9959212.34098052
510,2025-09-30,Income protection insurance,0,48796575.912584126,12947546.000764214,35849029.91181991,6868300.932977965,55664876.84556209,12947546.000764214,42717330.84479788
510,2025-09-30,Miscellaneous financial loss,0,28747726.391798813,7392653.530389647,21355072.861409165,2913849.503514944,31661575.895313755,7392653.530389647,24268922.364924107
510,2025-09-30,Fire and other damage to property insurance,0,12255019.866037086,13241390.891315691,-986371.0252786056,6690307.063910543,18945326.92994763,13241390.891315691,5703936.038631938
510,2025-09-30,Medical expense insurance,0,49988706.931445226,14956278.88196077,35032428.049484454,4888021.939218393,54876728.87066362,14956278.88196077,39920449.98870285
510,2025-09-30,General liability insurance,0,40759496.60722042,14281954.488471564,26477542.11874885,6947531.734741881,47707028.3419623,14281954.488471564,33425073.853490736
3210,2025-09-30,Other motor insurance,0,19893924.069727905,7857073.759031216,12036850.31069669,1904115.906060465,21798039.97578837,7857073.759031216,13940966.216757154
3210,2025-09-30,General liability insurance,0,48162041.09034889,9880270.24786144,38281770.842487454,2600499.638524239,50762540.72887313,9880270.24786144,40882270.48101169
3210,2025-09-30,"Marine, aviation and transport insurance",0,36868027.37623427,10035667.125952646,26832360.250281624,3507139.0262298835,40375166.40246415,10035667.125952646,30339499.276511505
3210,2025-09-30,Workers compensation insurance,0,14542303.68798516,10730451.542706396,3811852.145278765,4642153.906326553,19184457.594311714,10730451.542706396,8454006.05160532
3210,2025-09-30,Legal expenses insurance,0,40892735.66942558,8762125.514455914,32130610.154969662,6965270.502229781,47858006.17165536,8762125.514455914,39095880.65719944
3210,2025-09-30,Credit and suretyship insurance,0,32076273.55097942,9292193.629960025,22784079.9210194,7136575.218608415,39212848.76958784,9292193.629960025,29920655.13962781
3210,2025-09-30,Income protection insurance,0,26139314.648495883,3742197.9698583297,22397116.678637557,1201478.7341933728,27340793.382689256,3742197.9698583297,23598595.412830926
3210,2025-09-30,Fire and other damage to property insurance,0,40205490.22694476,10064024.16759504,30141466.05934972,5928558.376694565,46134048.60363933,10064024.16759504,36070024.43604429
1729,2025-09-30,Miscellaneous financial loss,0,18518566.46035643,3772829.182628007,14745737.277728423,1101812.6596751737,19620379.120031603,3772829.182628007,15847549.937403595
1729,2025-09-30,Assistance,0,24023502.35226388,9668929.929110227,14354572.42315365,3745708.3156981263,27769210.667962007,9668929.929110227,18100280.73885178
1729,2025-09-30,Income protection insurance,0,27498996.88094916,13754063.02841873,13744933.852530433,3437788.2691631024,30936785.150112264,13754063.02841873,17182722.121693537
