Syndicate,Reporting_Date,Operational_Risk
3000,2025-09-30,18228916.374569666
218,2025-09-30,12067518.48399222
1221,2025-09-30,14767213.773225112
4242,2025-09-30,9189141.326816157
2121,2025-09-30,15060984.678587511
1729,2025-09-30,9383273.456928466
2623,2025-09-30,5186060.544159722
308,2025-09-30,16918674.180502854
727,2025-09-30,12761695.27632562
510,2025-09-30,12315006.029318966
2791,2025-09-30,12230615.871681238
5820,2025-09-30,18976305.79149225
1,2025-09-30,18614165.038348325
3456,2025-09-30,11843547.63433313
1183,2025-09-30,14188602.025172288
