Syndicate,Reporting_Date,Market_Risk_Total,Interest_Rate_Risk,Equity_Risk,Property_Risk,Spread_Risk,Currency_Risk,Concentration_Risk
3000,2025-09-30,21844692.74500228,8283881.020420188,17305960.50139604,2667712.6799150663,18118661.89451742,10036035.354415352,3020827.094306553
218,2025-09-30,15567338.398909155,9717068.20366059,15547992.442453526,7754828.978953268,18244128.848284837,2794065.846430295,3925985.961361449
1221,2025-09-30,31100921.93964488,8930549.367003597,21564985.04874437,4681664.378966982,6780185.490171901,9120140.203307807,4303912.850832327
4242,2025-09-30,52865139.8888142,8655446.008777976,24582098.76030309,7073137.106365895,6020235.865032043,8761775.620754339,2300416.061726796
2121,2025-09-30,38069463.891527385,6663728.120360775,9252887.52742192,2265514.8364994098,8863142.41985158,8531627.905312829,4753219.27379393
1729,2025-09-30,35117499.47128914,8524299.254423115,22291272.1904534,6373185.761502308,10086408.783526557,11768003.285106594,1442882.3733052628
2623,2025-09-30,51220804.95786474,3216078.667205454,24256207.14148052,7813367.936562586,8876017.526178133,10293946.64858847,2126084.79365972
308,2025-09-30,41926086.79339915,6566853.692503406,10998382.230139695,7945545.589852827,4770285.375653655,11028949.951919872,4409055.497564726
727,2025-09-30,59794688.22860894,13268353.126050472,15428913.78087179,2509127.274293138,17301976.23017136,7989785.081772106,1459731.9882382674
510,2025-09-30,34556818.23864203,12286555.868761877,17038468.620302632,9140186.31963877,11094080.230067004,8070895.78718754,3525230.2123679547
2791,2025-09-30,42029297.99467601,11923126.994118717,15125321.189904056,7072832.251010651,5134915.458140375,4543915.8084184695,2447412.3728205548
5820,2025-09-30,27630744.698218845,5483910.941261122,15331452.56891958,2044046.3932833665,4122624.522387605,4190688.0910185776,1146885.4500032845
1,2025-09-30,42767993.22530106,4366060.721719217,11904462.856033845,6059295.50974247,17987560.394962814,6935465.803401187,3809035.064126657
3456,2025-09-30,28921772.303825192,12885484.610655537,24101210.22969978,8569586.260401811,4025041.683063567,8364013.7018340705,1204541.525768403
1183,2025-09-30,33852650.558436394,12014136.573701017,6420153.29066511,2641440.1126552275,9676340.669375747,11417257.11618925,3674290.586891656
