Syndicate,Reporting_Date,Counterparty_Default_Risk
3000,2025-09-30,34112418.611997604
218,2025-09-30,13060122.49063472
1221,2025-09-30,10717211.9201354
4242,2025-09-30,26530834.31052463
2121,2025-09-30,31522521.02110241
1729,2025-09-30,19408807.564422503
2623,2025-09-30,31564353.668285456
308,2025-09-30,26030726.447112978
727,2025-09-30,10534146.690230615
510,2025-09-30,23975823.38227079
2791,2025-09-30,20757320.585175864
5820,2025-09-30,10916695.361528669
1,2025-09-30,34806054.6529749
3456,2025-09-30,14955394.949010491
1183,2025-09-30,26324088.83015925
