Syndicate,Reporting_Date,Linear_MCR,SCR,MCR_Cap,MCR_Floor,Combined_MCR,Absolute_Floor_MCR,MCR
5000,2025-09-30,46585865.75500447,70850257.47633213,31882615.86434946,17712564.369083032,31882615.86434946,2200000,31882615.86434946
1729,2025-09-30,33688861.53917173,65979945.99201974,29690975.696408886,16494986.498004936,29690975.696408886,2200000,29690975.696408886
6129,2025-09-30,15409731.375581644,72792341.14141119,32756553.51363504,18198085.2853528,18198085.2853528,2200000,18198085.2853528
3000,2025-09-30,25326424.767895468,97983083.41148752,44092387.535169385,24495770.85287188,25326424.767895468,2200000,25326424.767895468
3456,2025-09-30,35201996.03570928,103740044.44178426,46683019.99880292,25935011.110446066,35201996.03570928,2200000,35201996.03570928
727,2025-09-30,19305115.329331096,63936516.50780527,28771432.42851237,15984129.126951316,19305115.329331096,2200000,19305115.329331096
886,2025-09-30,27010857.36104304,110277815.68053828,49625017.05624223,27569453.92013457,27569453.92013457,2200000,27569453.92013457
510,2025-09-30,37830207.70071789,125625613.87945032,56531526.24575265,31406403.46986258,37830207.70071789,2200000,37830207.70071789
218,2025-09-30,39237248.933422886,136104392.6690916,61246976.70109123,34026098.1672729,39237248.933422886,2200000,39237248.933422886
1458,2025-09-30,38553831.78380513,98693796.96511334,44412208.63430101,24673449.24127833,38553831.78380513,2200000,38553831.78380513
33,2025-09-30,25720972.457237445,84784305.68298766,38152937.55734445,21196076.420746915,25720972.457237445,2200000,25720972.457237445
2001,2025-09-30,30624683.074055374,131008664.3928714,58953898.97679213,32752166.09821785,32752166.09821785,2200000,32752166.09821785
4242,2025-09-30,43784783.07838975,131854230.64665172,59334403.79099328,32963557.66166293,43784783.07838975,2200000,43784783.07838975
609,2025-09-30,47082233.25444226,137180610.38951552,61731274.67528199,34295152.59737888,47082233.25444226,2200000,47082233.25444226
1955,2025-09-30,26160338.64123986,98788669.84619664,44454901.430788495,24697167.461549163,26160338.64123986,2200000,26160338.64123986
