Syndicate,Reporting_Date,Market_Risk,Counterparty_Default_Risk,Life_Underwriting_Risk,Health_Underwriting_Risk,Non_Life_Underwriting_Risk,Diversification,BSCR,Operational_Risk,Loss_Absorbing_Capacity_DT,SCR
3000,2025-09-30,21844692.74500228,34112418.611997604,0,5342087.834200798,98808273.92773734,-42837285.80461899,117270187.31431904,18228916.374569666,-6580082.496635079,128919021.19225362
218,2025-09-30,15567338.398909155,13060122.49063472,0,8865416.425257312,86429763.53962421,-25794121.039081007,98128519.8153444,12067518.48399222,-3426904.818316227,106769133.4810204
1221,2025-09-30,31100921.93964488,10717211.9201354,0,3918992.9020475578,35647899.232074544,-18679898.96028538,62705127.033617005,14767213.773225112,-5032571.460172551,72439769.34666957
4242,2025-09-30,52865139.8888142,26530834.31052463,0,2557129.185299246,38116107.78819695,-19351540.99255122,100717670.1802838,9189141.326816157,-4856944.719530338,105049866.7875696
2121,2025-09-30,38069463.891527385,31522521.02110241,0,8128518.212282421,84133550.7439974,-44963397.05488079,116890656.8140288,15060984.678587511,-5516474.95215648,126435166.54045984
1729,2025-09-30,35117499.47128914,19408807.564422503,0,2336197.4013712425,80492809.05751978,-20494459.32207607,116860854.1725266,9383273.456928466,-2713838.706848678,123530288.9226064
2623,2025-09-30,51220804.95786474,31564353.668285456,0,2900643.123295496,77776448.30955967,-39189575.54001309,124272674.51899227,5186060.544159722,-6249856.276283953,123208878.78686808
308,2025-09-30,41926086.79339915,26030726.447112978,0,6745772.560859075,91922687.36047392,-30565512.32927816,136059760.83256695,16918674.180502854,-9722637.866188131,143255797.14688167
727,2025-09-30,59794688.22860894,10534146.690230615,0,9277014.55549274,75190019.72035588,-36626356.249323085,118169512.94536512,12761695.27632562,-6556580.717432078,124374627.50425863
510,2025-09-30,34556818.23864203,23975823.38227079,0,7621070.18468413,42807510.12811047,-11974161.584967058,96987060.34874035,12315006.029318966,-4782205.92363622,104519860.4544231
2791,2025-09-30,42029297.99467601,20757320.585175864,0,2365189.96401907,35501807.31649883,-17900640.228264984,82752975.63210478,12230615.871681238,-8431218.298092857,86552373.20569317
5820,2025-09-30,27630744.698218845,10916695.361528669,0,4710885.1947100125,85193925.96848597,-36298222.9748527,92154028.24809076,18976305.79149225,-6823879.670102467,104306454.36948057
1,2025-09-30,42767993.22530106,34806054.6529749,0,3051912.959183853,45604864.41396396,-22521972.205564536,103708853.04585925,18614165.038348325,-4287738.844265148,118035279.23994242
3456,2025-09-30,28921772.303825192,14955394.949010491,0,2476197.602782173,70284658.97120407,-32168183.76999996,84469840.05682197,11843547.63433313,-7047575.825912667,89265811.86524244
1183,2025-09-30,33852650.558436394,26324088.83015925,0,4895359.92670292,69524559.34064038,-20890126.752248283,113706531.90369064,14188602.025172288,-3010411.25226924,124884722.67659368
