Syndicate,Reporting_Date,Asset_ID,Instrument_Type,Asset_Category,Issuer_Name,Issuer_Country,Issuer_Sector,Currency,Quantity,Unit_Solvency_II_Value,Total_Solvency_II_Value,Book_Value,Maturity_Date,Credit_Rating,External_Rating,Internal_Rating
1221,2024-12-31,1221-INV-0001,Deposits with credit institutions,Investment funds,Issuer_348,NL,Utilities,GBP,582616.5478475197,217.0275905469324,126443865.59211877,127721886.42829117,2027-05-01,AA,Fitch,1
1221,2024-12-31,1221-INV-0002,Corporate bonds - Investment grade,Property,Issuer_223,AU,Utilities,JPY,705880.2767811808,359.7822583214616,253963200.08491158,250777305.05953324,2035-09-01,AAA,None,5
1221,2024-12-31,1221-INV-0003,Equities - Listed,Equities,Issuer_23,CA,Financial,CHF,167693.34149705406,243.7382023079934,40873273.59551238,39412438.862154536,2040-09-01,B,Moodys,3
1221,2024-12-31,1221-INV-0004,Mortgage loans,Government bonds,Issuer_486,AU,Utilities,AUD,890206.9381486245,205.64485733203583,183066478.79156232,176740795.05590507,2039-02-01,B,Fitch,5
1221,2024-12-31,1221-INV-0005,Equities - Unlisted,Loans and mortgages,Issuer_210,AU,Government,AUD,26422.312145845128,340.6200738289179,8999969.913848482,9123181.587671364,2030-09-01,AA,Moodys,4
1221,2024-12-31,1221-INV-0006,Other investments,Investment funds,Issuer_347,DE,Utilities,JPY,341263.56241471035,82.27034998144296,28075872.715772226,27822147.951361712,2034-01-01,A,Fitch,2
1221,2024-12-31,1221-INV-0007,Mortgage loans,Cash and deposits,Issuer_297,IT,Utilities,JPY,311906.2775683302,354.70428788075424,110634494.07041143,111804777.44504607,2033-08-01,B,Moodys,5
1221,2024-12-31,1221-INV-0008,Policy loans,Cash and deposits,Issuer_462,DE,Financial,EUR,365229.1344693425,148.05164941474555,54072775.77250605,56711721.709191024,2034-11-01,B,Fitch,1
1221,2024-12-31,1221-INV-0009,Equities - Listed,Loans and mortgages,Issuer_159,FR,Industrial,USD,454547.61957491876,359.72340610110666,163511417.94863984,157634048.55377054,2026-01-01,AA,None,5
1221,2024-12-31,1221-INV-0010,Corporate bonds - Investment grade,Investment funds,Issuer_213,IT,Industrial,AUD,486104.1099597384,62.39152394125947,30328776.214497644,30345320.919530615,2037-07-01,BBB,None,2
1221,2024-12-31,1221-INV-0011,Corporate bonds - Non-investment grade,Loans and mortgages,Issuer_353,GB,Financial,CAD,964053.3897105847,222.8930208436101,214880772.2871143,204974683.00258005,2032-04-01,AA,None,1
1221,2024-12-31,1221-INV-0012,Deposits with credit institutions,Corporate bonds,Issuer_470,US,Government,USD,31924.835128424183,224.59404197609126,7170127.760913094,6926361.296804749,2038-08-01,B,Fitch,4
1221,2024-12-31,1221-INV-0013,Real estate,Cash and deposits,Issuer_369,NL,Government,CAD,24328.744231857727,390.29612627757956,9495414.63089208,9456030.508061253,2040-09-01,BBB,Moodys,6
1221,2024-12-31,1221-INV-0014,Policy loans,Investment funds,Issuer_133,FR,Utilities,CAD,289955.52720068186,455.0374323574163,131940618.59523925,126875932.29066381,2038-09-01,BBB,Moodys,3
1221,2024-12-31,1221-INV-0015,Policy loans,Government bonds,Issuer_366,JP,Industrial,EUR,955962.9101263639,191.28502281980877,182861387.07841232,189963790.5048838,2031-06-01,BB,S&P,2
1221,2024-12-31,1221-INV-0016,Corporate bonds - Non-investment grade,Corporate bonds,Issuer_197,DE,Industrial,GBP,603339.9336029821,422.01831188366936,254620500.27113566,266944467.64658198,2032-07-01,A,None,4
1221,2024-12-31,1221-INV-0017,Sovereign bonds,Corporate bonds,Issuer_427,CA,Government,CAD,289117.032380927,482.51096843341685,139502139.28471664,137960388.0756361,2035-12-01,AAA,None,4
1221,2024-12-31,1221-INV-0018,Sovereign bonds,Equities,Issuer_153,CA,Government,CHF,386126.3928321854,203.17419691452756,78450919.77118266,78775766.25937687,2037-12-01,BB,Moodys,4
1221,2024-12-31,1221-INV-0019,Equities - Listed,Equities,Issuer_224,CH,Financial,JPY,154990.8981353086,299.170168411105,46368653.0973287,46562032.69524156,2031-11-01,B,None,6
