Syndicate,Reporting_Date,Contract_ID,Derivative_Type,Underlying_Asset,Notional_Amount,Currency,Counterparty,Counterparty_Rating,Cleared_Or_OTC,Fair_Value_Asset,Fair_Value_Liability,Delta,Gamma,Vega,Trade_Date,Maturity_Date,Purpose
2001,2024-12-31,2001-DRV-0001,Interest rate swaps,Commodity,39069050.285591185,JPY,Derivative_CP_3,AA,OTC,1822678.3801572614,0.0,-0.9581317643465335,0.0315773151249496,5688.139777764656,2024-07-17,2030-01-01,Hedging
2001,2024-12-31,2001-DRV-0002,Equity options,Commodity,77820095.04105458,JPY,Derivative_CP_20,A,OTC,0.0,0.0,0.4042149082275852,0.03313522187363171,67566.2902207073,2024-01-23,2029-03-01,Trading
2001,2024-12-31,2001-DRV-0003,FX options,Commodity,42614036.48861524,GBP,Derivative_CP_47,BB,Cleared,0.0,1512507.5828448685,-0.09163267452658785,0.04122797278316656,93472.9915488301,2024-12-18,2026-07-01,Trading
2001,2024-12-31,2001-DRV-0004,Equity options,Commodity,28833514.48961652,GBP,Derivative_CP_12,BBB,Cleared,240894.67999313085,0.0,0.16908622651891636,0.0969321812284179,37783.921372718665,2024-06-23,2030-12-01,Hedging
2001,2024-12-31,2001-DRV-0005,FX options,Interest Rate,10893492.544734243,GBP,Derivative_CP_8,BBB,OTC,0.0,678610.5346191349,0.011863308639116887,0.01619230066322137,65810.2218056492,2024-12-26,2029-10-01,Hedging
2001,2024-12-31,2001-DRV-0006,Credit default swaps,Credit,99786191.95596905,JPY,Derivative_CP_3,AA,OTC,903478.9519628877,709457.1134604253,-0.19859166633106673,0.011514617839520114,88327.36014262238,2024-03-06,2026-03-01,Other
2001,2024-12-31,2001-DRV-0007,Interest rate swaps,Commodity,44408437.27452844,EUR,Derivative_CP_20,BBB,OTC,774548.8228496826,0.0,0.31938054586094866,0.04420334209311236,64823.34688078461,2024-03-07,2025-10-01,Trading
2001,2024-12-31,2001-DRV-0008,Interest rate swaps,Commodity,10837397.562424812,JPY,Derivative_CP_32,BB,Cleared,1627446.6874444548,0.0,0.8810079057588052,0.0648765386159386,95456.59288588108,2024-04-19,2030-08-01,Trading
2001,2024-12-31,2001-DRV-0009,Credit default swaps,Commodity,19386069.86514651,GBP,Derivative_CP_39,BB,Cleared,0.0,954832.3789607073,0.20361346789089452,0.05817366474211867,40146.17790890433,2024-10-21,2029-04-01,Hedging
2001,2024-12-31,2001-DRV-0010,Currency forwards,FX,37118018.88979483,GBP,Derivative_CP_42,A,Cleared,0.0,0.0,-0.7463519548991624,0.039174245056227824,16266.081510548513,2024-10-27,2029-05-01,Trading
2001,2024-12-31,2001-DRV-0011,Interest rate swaps,Interest Rate,74764739.26676075,GBP,Derivative_CP_27,AA,Cleared,417661.87098917994,117130.6105690677,0.10473227563446863,0.059522973271940165,87191.30612805055,2024-12-23,2029-10-01,Other
2001,2024-12-31,2001-DRV-0012,Currency forwards,Commodity,59813253.179679774,AUD,Derivative_CP_38,A,Cleared,0.0,0.0,-0.30903829255310855,0.08030118815263206,54027.889318742105,2024-06-13,2025-07-01,Other
2001,2024-12-31,2001-DRV-0013,Interest rate swaps,Equity,12531627.039963216,JPY,Derivative_CP_9,AAA,OTC,0.0,0.0,0.1317011206264933,0.09080185454216624,39631.26254982205,2024-04-23,2026-10-01,Hedging
3210,2024-12-31,3210-DRV-0001,Commodity futures,Credit,33150951.180481005,GBP,Derivative_CP_31,BB,OTC,0.0,286938.9140360401,-0.6971089561292854,0.04327714843418189,59567.982416152954,2024-05-17,2029-10-01,Trading
3210,2024-12-31,3210-DRV-0002,Currency forwards,Credit,12658463.491112165,CHF,Derivative_CP_32,BB,OTC,0.0,0.0,0.8791371780503314,0.0755133617445196,58662.391828366264,2024-10-08,2030-05-01,Hedging
3210,2024-12-31,3210-DRV-0003,Interest rate swaps,Interest Rate,83701673.73920412,GBP,Derivative_CP_30,AAA,Cleared,160373.5136242266,953677.7554662487,0.2601862537233268,0.08286529061182893,78346.95600492677,2024-07-02,2027-06-01,Other
3210,2024-12-31,3210-DRV-0004,FX options,FX,31321578.722772967,GBP,Derivative_CP_41,AA,OTC,0.0,0.0,0.8817603391184086,0.012434584143087036,87513.36186211521,2024-05-17,2029-06-01,Hedging
3210,2024-12-31,3210-DRV-0005,Interest rate swaps,Equity,97239323.71243876,EUR,Derivative_CP_26,BB,Cleared,354307.04644525115,0.0,0.44413212840757055,0.004028551877799847,40542.282513915496,2024-06-22,2028-08-01,Hedging
3210,2024-12-31,3210-DRV-0006,FX options,FX,54046913.42377903,JPY,Derivative_CP_10,BBB,OTC,0.0,1161290.451819268,0.871874496497119,0.06722506872941947,48127.7951219237,2024-12-02,2029-05-01,Other
1183,2024-12-31,1183-DRV-0001,Equity options,Credit,81919128.44525948,CHF,Derivative_CP_2,AA,OTC,1901065.641908818,44132.29736458168,0.9650425445120774,0.008613213906368034,81438.67792687613,2024-06-03,2026-05-01,Hedging
1183,2024-12-31,1183-DRV-0002,Equity options,Commodity,31631801.492384188,AUD,Derivative_CP_35,AA,OTC,0.0,0.0,-0.7356406844922565,0.04398556397138349,64395.657944761355,2024-05-23,2027-12-01,Hedging
1183,2024-12-31,1183-DRV-0003,Equity options,Commodity,41190425.27723013,GBP,Derivative_CP_32,AA,OTC,0.0,109130.81656539791,0.19892227931743323,0.09024032761106748,38321.53659472517,2024-04-17,2027-03-01,Hedging
1183,2024-12-31,1183-DRV-0004,Equity options,Interest Rate,25551613.874928568,CAD,Derivative_CP_13,AAA,OTC,885154.6918656308,96725.42209756174,0.6409751689605496,0.08263408109501869,58800.04634296284,2024-09-05,2026-06-01,Trading
1183,2024-12-31,1183-DRV-0005,FX options,Credit,38544774.449147,EUR,Derivative_CP_50,A,Cleared,1599566.7288915666,0.0,0.10937404957673436,0.08259323085500163,63145.87925830206,2024-09-22,2026-04-01,Other
1183,2024-12-31,1183-DRV-0006,Interest rate swaps,Commodity,79518519.95521574,JPY,Derivative_CP_46,BB,Cleared,0.0,1197125.98643552,-0.17171786356866758,0.09579458599261376,54111.382487884475,2024-11-28,2029-02-01,Trading
1183,2024-12-31,1183-DRV-0007,Credit default swaps,Interest Rate,62483504.261351146,GBP,Derivative_CP_34,A,Cleared,440975.2788294985,0.0,0.25130157885455295,0.05716076494829439,18483.839794702493,2024-04-11,2026-04-01,Trading
1183,2024-12-31,1183-DRV-0008,Equity options,Credit,10660774.248548653,EUR,Derivative_CP_50,BBB,Cleared,0.0,0.0,0.20871863942954216,0.07636922693503206,52340.13709220082,2024-02-01,2029-09-01,Other
1183,2024-12-31,1183-DRV-0009,Interest rate swaps,FX,26543399.405366343,CHF,Derivative_CP_23,BB,OTC,0.0,1333043.9533860697,-0.8397885467807955,0.044183370480195466,16336.675839842019,2024-05-19,2026-03-01,Hedging
1183,2024-12-31,1183-DRV-0010,Equity options,Credit,22523609.85068892,EUR,Derivative_CP_35,BBB,Cleared,0.0,0.0,-0.5954121016835927,0.03867070570439779,5115.020562039763,2024-11-02,2025-07-01,Hedging
1183,2024-12-31,1183-DRV-0011,Interest rate swaps,Commodity,42790376.88826433,JPY,Derivative_CP_12,BB,OTC,1023414.8942294017,0.0,-0.03341143006734959,0.03827841004030406,83914.66080707524,2024-04-23,2030-09-01,Hedging
1183,2024-12-31,1183-DRV-0012,Credit default swaps,Credit,18806035.77994789,USD,Derivative_CP_6,BBB,Cleared,0.0,1011393.4875627479,-0.8759171660868914,0.007115567887790975,57386.584967709634,2024-12-25,2028-08-01,Hedging
1183,2024-12-31,1183-DRV-0013,Currency forwards,FX,58771750.36434299,CAD,Derivative_CP_40,A,OTC,0.0,1756067.025688914,0.11574735132014635,0.09597910204048503,4869.484839992977,2024-11-11,2027-08-01,Trading
1183,2024-12-31,1183-DRV-0014,Interest rate swaps,Interest Rate,14310730.054170402,JPY,Derivative_CP_8,A,OTC,0.0,0.0,-0.9118682768592372,0.018527685033354002,54127.01109416781,2024-06-20,2029-03-01,Other
1183,2024-12-31,1183-DRV-0015,Interest rate swaps,Commodity,66329357.23560566,CAD,Derivative_CP_46,AAA,OTC,91170.3158973376,0.0,0.8919417796911986,0.08421653766503812,29661.24821570931,2024-05-18,2028-07-01,Other
