Syndicate,Reporting_Date,Fund_ID,Fund_Name,Fund_Type,Fund_Manager,Domicile,Currency,Units_Held,NAV_Per_Unit,Total_Value,Look_Through_Available,Underlying_Equities_Pct,Underlying_Bonds_Pct,Underlying_Property_Pct,Underlying_Other_Pct
0308,2024-12-31,0308-FUND-001,Investment Fund 1,Equity fund,Manager_26,JP,JPY,92001.59507431879,240.69655396891554,22144466.894032087,Partial,19.56680594959567,54.99176804628995,25.441426004114387,0
0308,2024-12-31,0308-FUND-002,Investment Fund 2,Real estate fund,Manager_40,AU,CAD,49415.79164447904,208.24244255385742,10290465.152778814,No,40.592546202602094,25.39210655354936,34.015347243848545,0
0308,2024-12-31,0308-FUND-003,Investment Fund 3,Mixed fund,Manager_4,GB,CHF,81368.86511673775,203.8320688627662,16585584.117760023,Yes,26.357644077708315,51.56561989568951,22.076736026602166,0
0308,2024-12-31,0308-FUND-004,Investment Fund 4,Bond fund,Manager_24,AU,CAD,79599.57821173327,473.4465451584967,37686145.30041867,Partial,28.720232677409363,34.177396872708826,37.10237044988182,0
0308,2024-12-31,0308-FUND-005,Investment Fund 5,Hedge fund,Manager_2,AU,JPY,84658.92524076761,227.7740020355582,19283102.21011877,Yes,4.549085362507141,35.66223373154576,59.7886809059471,0
0308,2024-12-31,0308-FUND-006,Investment Fund 6,Real estate fund,Manager_23,AU,JPY,45584.68819229848,387.0334178871793,17642797.674386628,No,30.300346112713033,53.87650926432259,15.823144622964383,0
0308,2024-12-31,0308-FUND-007,Investment Fund 7,Equity fund,Manager_43,FR,USD,75187.57422785074,295.56318596586163,22222678.983828273,Yes,16.396188941382096,23.45451251371879,60.14929854489911,0
0308,2024-12-31,0308-FUND-008,Investment Fund 8,Private equity fund,Manager_20,IT,GBP,48777.522330490545,147.21414817688247,7180741.400062029,Partial,36.64556978920694,27.09288158543761,36.26154862535545,0
0308,2024-12-31,0308-FUND-009,Investment Fund 9,Equity fund,Manager_20,US,EUR,43283.399490673975,263.79515331127425,11417951.00447547,Yes,42.15191215309938,24.646923662957025,33.20116418394361,0
0308,2024-12-31,0308-FUND-010,Investment Fund 10,Equity fund,Manager_35,AU,GBP,25965.114872057467,251.02691091618826,6517942.577916564,No,37.366778572856,62.347661056734374,0.2855603704096169,0
0308,2024-12-31,0308-FUND-011,Investment Fund 11,Private equity fund,Manager_28,IT,CHF,4887.240113217364,489.77772042961817,2393661.3218437894,No,13.890341660450394,38.01721437276632,48.09244396678329,0
0308,2024-12-31,0308-FUND-012,Investment Fund 12,Mixed fund,Manager_2,CH,CHF,55515.38546441986,118.91502503778028,6601613.452483511,Yes,35.35200619360334,29.14381612533549,35.50417768106117,0
0308,2024-12-31,0308-FUND-013,Investment Fund 13,Mixed fund,Manager_25,IT,JPY,77204.91566285164,488.93466545813527,37748159.61133991,No,36.68060814068063,21.84868560408278,41.470706255236585,0
1003,2024-12-31,1003-FUND-001,Investment Fund 1,Equity fund,Manager_32,US,AUD,7775.630215019987,453.82879324471384,3528804.8771996554,Partial,9.452408539863045,25.958101760303386,64.58948969983356,0
1003,2024-12-31,1003-FUND-002,Investment Fund 2,Bond fund,Manager_22,CH,CHF,60133.92545474047,227.13598412484893,13658578.33745278,Partial,28.38364656761827,51.232243925075814,20.384109507305904,0
1003,2024-12-31,1003-FUND-003,Investment Fund 3,Mixed fund,Manager_11,IT,EUR,87095.31879640496,89.66049393951117,7809009.30310486,No,43.00819617144525,46.925293771249095,10.06651005730565,0
1003,2024-12-31,1003-FUND-004,Investment Fund 4,Real estate fund,Manager_13,CH,AUD,43604.30670484784,124.47489859864503,5427641.655550152,Yes,37.63987893311687,28.51727629392325,33.84284477295989,0
1003,2024-12-31,1003-FUND-005,Investment Fund 5,Infrastructure fund,Manager_35,FR,EUR,20452.209728664904,145.28563792358878,2971412.3373761093,No,4.494411085271962,34.88186003804879,60.62372887667924,0
1003,2024-12-31,1003-FUND-006,Investment Fund 6,Equity fund,Manager_20,IT,JPY,85935.55648573555,350.11735135640635,30087529.424124576,Yes,20.656810308802996,45.219539868433245,34.12364982276376,0
