Syndicate,Reporting_Date,Product_ID,Product_Name,Product_Type,Issuer,Issuer_Rating,Notional_Amount,Currency,Solvency_II_Value,Underlying_Type,Capital_Protection,Participation_Rate,Issue_Date,Maturity_Date
3456,2024-12-31,3456-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_26,AA,29065975.98265366,CHF,51818775.66614266,Mixed,89.49067125244882,131.60567571143235,2020-07-01,2032-05-01
3456,2024-12-31,3456-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_27,BB,24443027.827997796,GBP,42226754.68574603,Equity Index,91.90829603240216,138.65954415023984,2022-05-01,2030-11-01
3456,2024-12-31,3456-STRUCT-003,Structured Product 3,Equity-linked notes,Issuer_23,BB,23492414.855754945,GBP,33006612.151430987,Equity Index,92.60037361237654,91.73829418004733,2022-07-01,2026-10-01
3210,2024-12-31,3210-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_72,AA,11494041.965936668,JPY,8490851.531792106,Commodity,80.33343101199266,137.35342642452144,2022-06-01,2025-09-01
3210,2024-12-31,3210-STRUCT-002,Structured Product 2,Structured bonds,Issuer_20,BB,15641371.050741255,CHF,14152323.965524867,Equity Index,94.72070800852131,82.00161130873917,2020-08-01,2032-02-01
3210,2024-12-31,3210-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_79,BB,27772011.158532646,CAD,11800531.134277903,Equity Index,99.19491442923939,135.15814000172372,2024-01-01,2033-02-01
1458,2024-12-31,1458-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_27,A,43870533.033425145,USD,23525139.93145625,Commodity,95.24722427414346,64.38761553897801,2023-09-01,2032-12-01
1458,2024-12-31,1458-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_20,A,5387855.116630113,EUR,4958700.76374535,Credit Index,91.73203474809121,95.53949052479408,2020-04-01,2032-07-01
1458,2024-12-31,1458-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_32,BBB,28310690.70088339,EUR,4358230.740026532,Commodity,88.45373239314851,121.80681612008608,2024-03-01,2026-05-01
1729,2024-12-31,1729-STRUCT-001,Structured Product 1,Capital protected notes,Issuer_47,AA,24921216.588534612,USD,39146521.90298667,Mixed,84.66037928793669,131.31420044817253,2021-03-01,2031-07-01
1729,2024-12-31,1729-STRUCT-002,Structured Product 2,Capital protected notes,Issuer_59,BB,31479405.820405353,CAD,14116628.772635499,Commodity,84.73440951707666,112.8030464569537,2020-08-01,2027-01-01
1729,2024-12-31,1729-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_9,AAA,42347281.694559954,EUR,23950133.53739945,Commodity,85.16600858255184,136.70116069106004,2023-03-01,2031-01-01
1729,2024-12-31,1729-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_98,AAA,35117073.12878757,AUD,25508103.389587674,Credit Index,89.75800390558604,70.42564679363964,2024-01-01,2035-12-01
3000,2024-12-31,3000-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_38,BBB,33206118.352917977,JPY,21219640.506058656,Commodity,99.91290353348698,98.01835152618878,2022-06-01,2025-05-01
3000,2024-12-31,3000-STRUCT-002,Structured Product 2,Reverse convertibles,Issuer_79,AA,26864852.278532594,AUD,31160885.79571225,Mixed,98.33512006237493,130.08180998597504,2023-11-01,2028-09-01
3000,2024-12-31,3000-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_80,BBB,25300853.140902866,AUD,38497564.76669421,Commodity,91.72470997561524,99.2367048701249,2023-04-01,2029-02-01
3000,2024-12-31,3000-STRUCT-004,Structured Product 4,Credit-linked notes,Issuer_69,A,13654209.775295774,JPY,26268940.645834763,Credit Index,84.9163717404515,141.48421498516547,2024-09-01,2029-04-01
3000,2024-12-31,3000-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_66,BB,20093306.607335612,EUR,49708672.69760187,Commodity,90.66110580189422,113.15443786761602,2021-01-01,2025-09-01
3000,2024-12-31,3000-STRUCT-006,Structured Product 6,Reverse convertibles,Issuer_34,AA,29432320.002019748,CAD,10210269.614401642,Commodity,87.51642438015882,59.91461122776239,2023-09-01,2026-12-01
3000,2024-12-31,3000-STRUCT-007,Structured Product 7,Credit-linked notes,Issuer_48,A,33032931.988252178,AUD,25449961.36962107,Commodity,95.55969943141874,72.04704809993699,2020-01-01,2035-02-01
3000,2024-12-31,3000-STRUCT-008,Structured Product 8,Capital protected notes,Issuer_39,BB,12405472.62932007,AUD,23503947.086260855,Equity Index,98.53170766436762,121.04218150124117,2023-06-01,2028-12-01
2791,2024-12-31,2791-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_92,BB,23851563.11568134,CAD,28829064.14820691,Credit Index,81.68426022354197,148.4575896376113,2022-05-01,2029-11-01
2791,2024-12-31,2791-STRUCT-002,Structured Product 2,Reverse convertibles,Issuer_87,AA,34988328.71127135,AUD,17699395.28624428,Mixed,91.7161678843049,60.9482366068994,2024-12-01,2028-02-01
2791,2024-12-31,2791-STRUCT-003,Structured Product 3,Structured bonds,Issuer_67,BB,48462650.09634126,USD,12389679.418401565,Commodity,92.96060636110428,74.54544625389305,2023-02-01,2027-12-01
2791,2024-12-31,2791-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_53,AAA,37290262.21918411,GBP,41287425.62753349,Equity Index,93.46839457822865,111.44994602551925,2023-03-01,2032-04-01
2791,2024-12-31,2791-STRUCT-005,Structured Product 5,Capital protected notes,Issuer_10,A,45161109.22784053,AUD,7774082.127508386,Mixed,86.6182953156039,74.8287479630846,2024-09-01,2033-07-01
2791,2024-12-31,2791-STRUCT-006,Structured Product 6,Structured bonds,Issuer_75,BBB,49460628.29294397,AUD,22690709.424009927,Mixed,94.65225398480797,118.47251638810046,2023-12-01,2032-12-01
6129,2024-12-31,6129-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_19,BB,14543655.686481997,USD,15471888.650154464,Mixed,85.62569127106069,91.11272782593792,2023-03-01,2033-09-01
6129,2024-12-31,6129-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_89,AA,15544627.954273706,JPY,4943271.171848695,Mixed,97.58786113614391,146.5609831380884,2020-12-01,2027-09-01
6129,2024-12-31,6129-STRUCT-003,Structured Product 3,Structured bonds,Issuer_16,BB,20370667.416420557,CAD,20248330.2124227,Mixed,80.14183625548742,118.02506883303741,2020-02-01,2030-10-01
6129,2024-12-31,6129-STRUCT-004,Structured Product 4,Structured bonds,Issuer_6,BB,42144795.30868829,USD,11037198.417280152,Equity Index,83.19332698734301,129.00832499714377,2022-05-01,2030-05-01
6129,2024-12-31,6129-STRUCT-005,Structured Product 5,Structured bonds,Issuer_63,AAA,32733083.67593651,CAD,6153306.766130417,Credit Index,92.45093980924564,80.8917722843766,2021-10-01,2031-01-01
1221,2024-12-31,1221-STRUCT-001,Structured Product 1,Structured bonds,Issuer_28,AA,21592631.996188067,CAD,40947108.07825025,Mixed,96.21870385345221,90.03566268398306,2020-02-01,2033-06-01
1221,2024-12-31,1221-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_6,BBB,47621882.120285966,JPY,23510210.461699467,Commodity,95.4367207046022,98.38772645642591,2024-08-01,2030-07-01
1221,2024-12-31,1221-STRUCT-003,Structured Product 3,Capital protected notes,Issuer_93,BB,45388954.69349378,USD,47572539.69520857,Credit Index,81.74833615742168,143.64933313102256,2024-11-01,2032-08-01
1221,2024-12-31,1221-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_20,A,42149067.86841871,GBP,41982914.28700801,Mixed,84.01822679371045,130.5119208754665,2023-04-01,2031-06-01
2001,2024-12-31,2001-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_86,BBB,43255973.06082666,AUD,17879216.053799246,Commodity,99.04520156724648,54.98601463991643,2020-03-01,2025-10-01
2001,2024-12-31,2001-STRUCT-002,Structured Product 2,Structured bonds,Issuer_72,AAA,11745916.396121286,AUD,29803894.626472685,Equity Index,91.5158494224462,114.51500833009034,2021-10-01,2033-10-01
2001,2024-12-31,2001-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_73,BB,5763610.81919599,USD,50097605.18186225,Mixed,80.89176185468288,64.30619527234023,2024-01-01,2026-11-01
2001,2024-12-31,2001-STRUCT-004,Structured Product 4,Reverse convertibles,Issuer_24,AAA,5630653.288672565,EUR,31209204.798116546,Credit Index,98.64533767841945,116.59471660804643,2021-12-01,2034-08-01
2001,2024-12-31,2001-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_69,BB,42019586.081619225,EUR,4637497.766011843,Mixed,90.84030596959452,95.95629775055218,2024-01-01,2032-01-01
2001,2024-12-31,2001-STRUCT-006,Structured Product 6,Structured bonds,Issuer_56,AA,27453557.48993569,JPY,7466232.896089021,Equity Index,93.68870722138615,100.32204148586345,2024-06-01,2031-05-01
0510,2024-12-31,0510-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_13,BB,39431698.243756875,USD,27293950.434962336,Commodity,82.98763272452864,114.8256954077822,2021-03-01,2029-02-01
0510,2024-12-31,0510-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_40,BBB,12757386.294732481,AUD,45874939.041031115,Credit Index,92.26232478138483,65.72038835569542,2020-10-01,2030-03-01
2623,2024-12-31,2623-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_39,BBB,48305212.586654305,GBP,28881542.240095392,Commodity,81.4579690374331,112.68329044150673,2021-07-01,2030-05-01
2623,2024-12-31,2623-STRUCT-002,Structured Product 2,Capital protected notes,Issuer_16,AAA,16393950.81557646,USD,42577285.69011052,Credit Index,96.35644147132382,147.89473558546618,2024-10-01,2028-08-01
0609,2024-12-31,0609-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_50,AAA,27584128.896102667,EUR,25837930.226931382,Equity Index,95.06951210892962,63.24706563419266,2022-08-01,2033-07-01
0609,2024-12-31,0609-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_62,AAA,29611198.120690588,JPY,30219884.806280844,Credit Index,81.78946245620774,91.79840855069136,2020-05-01,2033-10-01
0609,2024-12-31,0609-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_32,BB,43397815.93552409,AUD,45095373.85574369,Credit Index,81.98475329839361,59.072088274783084,2022-10-01,2031-08-01
0609,2024-12-31,0609-STRUCT-004,Structured Product 4,Credit-linked notes,Issuer_82,BB,16821296.465087086,USD,45988771.002591684,Credit Index,82.57805170146997,121.99968026274462,2022-09-01,2027-04-01
0609,2024-12-31,0609-STRUCT-005,Structured Product 5,Reverse convertibles,Issuer_55,BB,9552452.882589646,JPY,33910616.97989562,Equity Index,87.12134598238289,128.89139629658672,2020-08-01,2034-05-01
0609,2024-12-31,0609-STRUCT-006,Structured Product 6,Equity-linked notes,Issuer_1,AAA,15516070.197141362,JPY,34681687.810718074,Commodity,84.7136506915177,121.36602831121537,2024-05-01,2035-07-01
1003,2024-12-31,1003-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_75,BB,44315511.555233695,EUR,10086486.358084481,Equity Index,97.33191377191007,109.3575254414298,2021-12-01,2033-10-01
1003,2024-12-31,1003-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_39,AAA,10719972.08901608,JPY,24522009.057266176,Equity Index,83.21720586970196,120.03478888665695,2021-12-01,2033-05-01
1003,2024-12-31,1003-STRUCT-003,Structured Product 3,Capital protected notes,Issuer_27,BB,39149066.04880773,CHF,9078232.97309435,Commodity,90.12279705389288,131.4625056025917,2022-11-01,2029-12-01
1003,2024-12-31,1003-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_35,AA,47127336.869794846,AUD,28648857.60360496,Commodity,99.00558447222814,103.56889704560298,2022-04-01,2032-10-01
0099,2024-12-31,0099-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_89,AA,22738572.256995857,AUD,44713750.170538984,Equity Index,89.85965420916179,97.1902510564523,2024-08-01,2025-01-01
0099,2024-12-31,0099-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_53,BB,27064062.023442272,AUD,44645680.08974778,Mixed,96.63883083376103,90.35199924402113,2023-09-01,2026-11-01
0099,2024-12-31,0099-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_69,AAA,19998493.694173627,CAD,27612545.153878205,Mixed,91.45545019474218,73.8337210627997,2020-06-01,2031-10-01
0099,2024-12-31,0099-STRUCT-004,Structured Product 4,Structured bonds,Issuer_50,AA,40727978.812201574,CAD,27351172.755156297,Equity Index,86.68091096839919,60.68209929639906,2020-08-01,2030-04-01
5000,2024-12-31,5000-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_29,AAA,15748032.218162311,CAD,49565496.244287215,Commodity,86.10199373639053,66.88592893670354,2022-04-01,2026-10-01
5000,2024-12-31,5000-STRUCT-002,Structured Product 2,Structured bonds,Issuer_92,AA,25730275.624474693,USD,18740211.681291938,Mixed,80.70318500542388,82.31452172794172,2022-01-01,2029-08-01
5000,2024-12-31,5000-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_27,AAA,29484888.077276085,USD,30482193.85695841,Mixed,87.13117842353778,94.73027562526006,2020-05-01,2034-09-01
5000,2024-12-31,5000-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_22,BB,48448306.320564486,USD,22112726.907054957,Credit Index,85.16453626519966,74.34670440667601,2020-10-01,2027-12-01
5000,2024-12-31,5000-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_17,A,25599407.571686037,CHF,40456967.13841332,Credit Index,84.11976368376946,120.92961271407681,2024-12-01,2029-04-01
