Syndicate,Reporting_Date,Transaction_ID,Transaction_Type,Security_Type,Security_Value,Collateral_Received,Collateral_Type,Counterparty,Counterparty_Rating,Start_Date,End_Date,Fee_Rate,Income_Generated
6104,2024-12-31,6104-SECLEND-001,Repo,Equities,5951742.050723733,25946648.899197303,Cash,SecLend_CP_22,BBB,2024-08-12,2025-09-25,1.574143623885295,104982.98058257844
6104,2024-12-31,6104-SECLEND-002,Securities lending,Loans and mortgages,20242983.009849414,33186855.072269972,Government bonds,SecLend_CP_2,A,2024-07-18,2025-08-11,0.48946054236923053,105596.35675051817
6104,2024-12-31,6104-SECLEND-003,Securities lending,Investment funds,38389792.60067776,7613955.163437981,Government bonds,SecLend_CP_11,AAA,2024-10-26,2025-01-24,1.7198310252634508,162798.79652402023
6104,2024-12-31,6104-SECLEND-004,Securities lending,Loans and mortgages,13918837.388975067,48719901.58541654,Equities,SecLend_CP_3,AA,2024-04-06,2025-06-10,0.7698055584709829,126229.1317117617
6104,2024-12-31,6104-SECLEND-005,Securities lending,Loans and mortgages,37520760.8513519,20961264.88930942,Cash,SecLend_CP_1,BBB,2024-07-26,2025-01-19,1.8212321753458303,331373.1778726323
6104,2024-12-31,6104-SECLEND-006,Reverse repo,Equities,10698670.648326846,13925989.463629935,Corporate bonds,SecLend_CP_8,AAA,2024-08-08,2025-06-27,1.0367572378017242,98155.93222278467
6104,2024-12-31,6104-SECLEND-007,Securities lending,Cash and deposits,8687229.756716575,14799009.235088097,Corporate bonds,SecLend_CP_17,AA,2024-02-25,2025-10-20,1.8931561262028274,271701.5941615525
6104,2024-12-31,6104-SECLEND-008,Repo,Cash and deposits,48942034.75165492,23812966.466521095,Cash,SecLend_CP_21,BBB,2024-10-04,2025-02-02,1.8542434399264778,300843.9471743587
6104,2024-12-31,6104-SECLEND-009,Securities lending,Investment funds,29517110.40530443,18487123.293688353,Corporate bonds,SecLend_CP_29,AAA,2024-03-02,2025-08-02,1.4345575700531374,600936.6844990761
3000,2024-12-31,3000-SECLEND-001,Reverse repo,Loans and mortgages,34650581.295868576,54456265.95543667,Equities,SecLend_CP_3,AAA,2024-11-02,2025-09-02,0.6035898460776382,174193.99083248485
3000,2024-12-31,3000-SECLEND-002,Repo,Cash and deposits,35242677.6197781,7601187.751472345,Equities,SecLend_CP_13,AAA,2024-10-25,2025-07-08,0.3159274735237669,78091.43303454929
3000,2024-12-31,3000-SECLEND-003,Reverse repo,Cash and deposits,5176326.872799197,54973034.05298366,Cash,SecLend_CP_15,BBB,2024-08-26,2025-07-20,1.6243200245802079,75556.9243010796
3000,2024-12-31,3000-SECLEND-004,Reverse repo,Government bonds,40402535.66300934,30486303.764408983,Corporate bonds,SecLend_CP_21,AAA,2024-08-17,2025-06-19,0.6701274575203359,226983.66140754812
3000,2024-12-31,3000-SECLEND-005,Securities lending,Government bonds,11806892.800820418,19233736.942323186,Cash,SecLend_CP_1,AAA,2024-10-26,2025-04-19,0.8143453216653642,46098.77767826578
3000,2024-12-31,3000-SECLEND-006,Securities lending,Loans and mortgages,39033954.364113234,31983089.44515762,Corporate bonds,SecLend_CP_12,BBB,2024-08-24,2025-10-15,0.24721889045541712,110247.15562435899
3000,2024-12-31,3000-SECLEND-007,Securities lending,Corporate bonds,5811305.403151051,10116608.976703158,Government bonds,SecLend_CP_26,AAA,2024-01-05,2025-05-19,0.8799475560250207,70049.91762764062
0001,2024-12-31,0001-SECLEND-001,Reverse repo,Loans and mortgages,46993681.26720583,36870124.06046108,Corporate bonds,SecLend_CP_10,AA,2024-03-16,2025-05-20,1.6234692097634786,898791.8266855176
0001,2024-12-31,0001-SECLEND-002,Repo,Equities,25986856.752704684,23083304.159752138,Corporate bonds,SecLend_CP_1,AA,2024-01-08,2025-09-27,0.30596070816158316,136800.02892135122
0001,2024-12-31,0001-SECLEND-003,Reverse repo,Cash and deposits,44416985.99837922,44158001.45139514,Cash,SecLend_CP_14,A,2024-04-07,2025-11-07,0.4194243854356777,295521.0773973809
0001,2024-12-31,0001-SECLEND-004,Securities lending,Equities,28051725.374431722,29368740.396062244,Government bonds,SecLend_CP_22,BBB,2024-12-23,2025-08-20,1.2876739501044043,237511.0752009103
0001,2024-12-31,0001-SECLEND-005,Reverse repo,Equities,47578410.229606755,33988572.08812398,Corporate bonds,SecLend_CP_20,A,2024-07-11,2025-03-04,1.1264128068793753,346518.6746522514
0001,2024-12-31,0001-SECLEND-006,Repo,Cash and deposits,7264531.982059877,8145373.800901197,Cash,SecLend_CP_16,AA,2024-01-21,2025-04-23,0.45595890352089885,41562.91071251222
0001,2024-12-31,0001-SECLEND-007,Securities lending,Investment funds,6461184.726128672,42167644.77850062,Government bonds,SecLend_CP_8,BBB,2024-12-25,2025-06-26,1.47432757758853,47760.00594765558
0001,2024-12-31,0001-SECLEND-008,Reverse repo,Investment funds,11122530.549423933,46803945.03976405,Government bonds,SecLend_CP_13,AA,2024-01-12,2025-01-03,0.39409346620761276,42872.43924242321
0001,2024-12-31,0001-SECLEND-009,Repo,Government bonds,18552901.414881147,17448844.95806825,Cash,SecLend_CP_5,A,2024-08-07,2025-11-19,0.8073834872887907,192473.82543238663
3210,2024-12-31,3210-SECLEND-001,Securities lending,Government bonds,16459869.465048283,29447546.321922604,Government bonds,SecLend_CP_7,A,2024-03-08,2025-05-24,0.8740749745739023,174222.59487657834
3210,2024-12-31,3210-SECLEND-002,Securities lending,Equities,49395627.08506969,7796317.506411283,Government bonds,SecLend_CP_6,AA,2024-01-06,2025-05-04,0.3701446151359681,242444.5556814415
3210,2024-12-31,3210-SECLEND-003,Securities lending,Cash and deposits,7377165.225887112,36292059.74911879,Government bonds,SecLend_CP_13,AAA,2024-06-07,2025-05-15,0.2035676270860672,14071.210704719073
3210,2024-12-31,3210-SECLEND-004,Securities lending,Equities,42639788.18192555,30596931.53409639,Corporate bonds,SecLend_CP_22,AA,2024-09-26,2025-10-14,1.101314486704914,492756.42998690734
3210,2024-12-31,3210-SECLEND-005,Reverse repo,Government bonds,30271752.84704874,13540685.315310536,Cash,SecLend_CP_5,AA,2024-04-07,2025-09-13,0.47561157591752634,206694.25601485634
3210,2024-12-31,3210-SECLEND-006,Reverse repo,Equities,19346779.52928521,34674820.791092575,Corporate bonds,SecLend_CP_20,BBB,2024-11-08,2025-01-25,0.49922377428640763,20639.80929199858
3210,2024-12-31,3210-SECLEND-007,Reverse repo,Property,10234927.720996756,53505844.32092161,Government bonds,SecLend_CP_28,A,2024-03-11,2025-04-02,0.14176544813828354,15384.141849770627
3210,2024-12-31,3210-SECLEND-008,Reverse repo,Cash and deposits,41121383.24012097,44401757.4787511,Corporate bonds,SecLend_CP_28,AA,2024-09-19,2025-08-07,0.6647068163056823,241135.33487319955
6117,2024-12-31,6117-SECLEND-001,Repo,Cash and deposits,11103197.720329102,12281432.33527117,Cash,SecLend_CP_6,BBB,2024-11-25,2025-09-12,1.4251200727506657,126153.60201099965
6117,2024-12-31,6117-SECLEND-002,Repo,Property,33926296.59887782,44137283.71256934,Equities,SecLend_CP_6,A,2024-12-12,2025-09-23,1.8812142275582988,498341.0980081898
6117,2024-12-31,6117-SECLEND-003,Repo,Loans and mortgages,36136731.346996635,12792576.827572173,Equities,SecLend_CP_16,A,2024-10-13,2025-11-26,0.5625409718542803,227789.37853081638
6117,2024-12-31,6117-SECLEND-004,Reverse repo,Loans and mortgages,42898717.889290154,15465303.791710429,Cash,SecLend_CP_7,AA,2024-04-15,2025-04-13,0.2377924022135147,101450.9334765761
2121,2024-12-31,2121-SECLEND-001,Repo,Investment funds,36647602.431901276,25126317.7745071,Equities,SecLend_CP_19,AA,2024-06-09,2025-09-03,1.8480760998372168,836852.8420548106
2121,2024-12-31,2121-SECLEND-002,Securities lending,Cash and deposits,34261478.19921477,9520948.889583036,Cash,SecLend_CP_10,BBB,2024-09-12,2025-04-19,1.9009274777819554,390771.5120298887
2121,2024-12-31,2121-SECLEND-003,Securities lending,Investment funds,16635076.863811065,21860624.520314287,Corporate bonds,SecLend_CP_14,BBB,2024-08-14,2025-07-12,0.8642947859987298,130777.16673322085
2121,2024-12-31,2121-SECLEND-004,Repo,Equities,7305093.338194096,29825771.111530244,Corporate bonds,SecLend_CP_13,AAA,2024-03-15,2025-04-09,0.33430513304305526,26093.99392119442
2121,2024-12-31,2121-SECLEND-005,Reverse repo,Government bonds,23043664.700975828,22535489.399604216,Corporate bonds,SecLend_CP_29,AAA,2024-05-27,2025-09-17,1.5683961585103563,473306.3699511054
2121,2024-12-31,2121-SECLEND-006,Reverse repo,Loans and mortgages,41142673.0234729,12670644.1194544,Cash,SecLend_CP_26,A,2024-04-04,2025-02-03,0.7964472560205298,273814.5357710393
2623,2024-12-31,2623-SECLEND-001,Securities lending,Property,21800892.246432427,12570522.196804252,Government bonds,SecLend_CP_11,AA,2024-11-11,2025-05-10,1.617061659597262,173852.31943586518
2623,2024-12-31,2623-SECLEND-002,Reverse repo,Cash and deposits,36825274.77509405,14519089.314851737,Corporate bonds,SecLend_CP_7,AA,2024-12-24,2025-09-09,0.7967716263282182,208202.89109004426
2623,2024-12-31,2623-SECLEND-003,Securities lending,Cash and deposits,9761226.11854314,36410329.854652196,Corporate bonds,SecLend_CP_10,A,2024-07-13,2025-10-25,0.3306066566423774,41466.36300289488
2623,2024-12-31,2623-SECLEND-004,Reverse repo,Government bonds,49367037.5881213,44034103.73439312,Equities,SecLend_CP_21,AA,2024-07-08,2025-04-24,0.8414532442095906,330044.264145398
2623,2024-12-31,2623-SECLEND-005,Reverse repo,Corporate bonds,31035376.95257095,50567090.81082044,Equities,SecLend_CP_8,BBB,2024-12-27,2025-08-11,1.1527886327520698,222504.96319042615
2623,2024-12-31,2623-SECLEND-006,Securities lending,Equities,12852431.887907982,23935167.779057965,Government bonds,SecLend_CP_14,BBB,2024-04-15,2025-08-28,1.7019752435565163,299650.97113309207
2623,2024-12-31,2623-SECLEND-007,Reverse repo,Government bonds,33989585.7195328,37536219.21669002,Corporate bonds,SecLend_CP_5,AA,2024-05-24,2025-01-16,1.7469608228081295,385553.38324970094
2623,2024-12-31,2623-SECLEND-008,Reverse repo,Cash and deposits,45228787.58581271,50989628.588971816,Corporate bonds,SecLend_CP_11,AA,2024-07-14,2025-11-25,0.2802134671809966,173265.314452627
0886,2024-12-31,0886-SECLEND-001,Reverse repo,Property,29485670.08833954,42025476.06091593,Corporate bonds,SecLend_CP_11,AAA,2024-10-26,2025-01-05,1.5381610057413262,88222.2812334424
0886,2024-12-31,0886-SECLEND-002,Securities lending,Equities,32302229.088650174,13339366.759183709,Equities,SecLend_CP_13,AA,2024-07-03,2025-09-13,1.6150990524891622,624626.2444585828
0886,2024-12-31,0886-SECLEND-003,Securities lending,Investment funds,37405010.00817256,9306788.577451814,Cash,SecLend_CP_11,BBB,2024-11-10,2025-02-06,0.9812386668813148,88490.00848353232
0886,2024-12-31,0886-SECLEND-004,Securities lending,Loans and mortgages,12828982.978481162,21873852.285648596,Government bonds,SecLend_CP_2,BBB,2024-01-06,2025-04-03,0.13435407519080234,21391.853235663253
0886,2024-12-31,0886-SECLEND-005,Repo,Equities,23014844.07848412,32493846.057810523,Government bonds,SecLend_CP_8,A,2024-11-17,2025-02-15,1.277206926371465,72480.12723221724
0886,2024-12-31,0886-SECLEND-006,Securities lending,Equities,34857065.53079195,46814565.655122995,Cash,SecLend_CP_6,A,2024-07-13,2025-03-04,0.5093795238238871,113829.62338141487
0886,2024-12-31,0886-SECLEND-007,Securities lending,Property,10421682.009731058,47576858.59489628,Equities,SecLend_CP_16,AAA,2024-07-28,2025-04-05,0.3975643482960348,28492.208035702934
0886,2024-12-31,0886-SECLEND-008,Securities lending,Equities,48864203.66012879,47126911.46993185,Equities,SecLend_CP_27,BBB,2024-03-20,2025-10-10,1.0516655511902384,801102.110012989
0886,2024-12-31,0886-SECLEND-009,Reverse repo,Corporate bonds,49163964.121491134,9868836.45540021,Equities,SecLend_CP_9,AA,2024-01-05,2025-08-03,0.6758249462326931,524337.2724268452
5000,2024-12-31,5000-SECLEND-001,Reverse repo,Cash and deposits,33720098.67682752,22500343.423658937,Government bonds,SecLend_CP_17,A,2024-10-16,2025-08-15,1.8639078487635046,521750.69712876884
5000,2024-12-31,5000-SECLEND-002,Reverse repo,Government bonds,7953173.96800179,32470591.603048228,Cash,SecLend_CP_10,BBB,2024-06-23,2025-12-26,1.2226459080507175,146791.1643836733
5000,2024-12-31,5000-SECLEND-003,Repo,Investment funds,34372765.569975086,17783311.16659072,Government bonds,SecLend_CP_14,AA,2024-03-20,2025-12-14,0.7926762122877424,473267.5143486232
5000,2024-12-31,5000-SECLEND-004,Repo,Investment funds,42965623.834924,14747138.44850799,Government bonds,SecLend_CP_23,AAA,2024-07-23,2025-01-08,1.671048909629388,332432.9958216837
5000,2024-12-31,5000-SECLEND-005,Securities lending,Equities,30319494.030623406,43109375.5597041,Corporate bonds,SecLend_CP_22,AAA,2024-12-24,2025-12-07,1.455853995900596,420848.85685704765
5000,2024-12-31,5000-SECLEND-006,Repo,Investment funds,14338017.292319555,33440636.821693644,Cash,SecLend_CP_12,AAA,2024-02-17,2025-06-14,1.7486739903296755,331781.5383968374
5000,2024-12-31,5000-SECLEND-007,Repo,Corporate bonds,24445230.65608682,53329538.511165835,Corporate bonds,SecLend_CP_7,AAA,2024-08-01,2025-02-21,0.9592086901932643,131052.26976810528
5000,2024-12-31,5000-SECLEND-008,Reverse repo,Loans and mortgages,11425353.65005481,24471734.003883664,Equities,SecLend_CP_13,A,2024-12-13,2025-04-13,1.9082345721420206,72275.96807978129
