Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Gross_Claims_Reported,Gross_Claims_Paid,Gross_Claims_Outstanding,Reins_Claims_Reported,Reins_Claims_Paid,Reins_Claims_Outstanding,Net_Claims_Reported,Net_Claims_Paid,Net_Claims_Outstanding,Gross_Ultimate_Estimate,Net_Ultimate_Estimate
1729,2024-12-31,General liability insurance,2015,0,10982491.614747204,3284366.6717362995,7698124.943010904,4239995.543724949,1195705.7044919597,3044289.8392329887,6742496.071022255,2088660.9672443399,4653835.103777915,,
1729,2024-12-31,General liability insurance,2015,1,10653820.4315844,4261528.17263376,6392292.2589506395,3603637.9899014966,1802991.9837233769,1800646.0061781197,7050182.441682903,2458536.188910383,4591646.25277252,,
1729,2024-12-31,General liability insurance,2015,2,11547759.104712494,5773879.552356247,5773879.552356247,3559209.582205475,2133204.229819407,1426005.3523860676,7988549.522507019,3640675.3225368396,4347874.19997018,,
1729,2024-12-31,General liability insurance,2015,3,12764223.43910567,7658534.063463404,5105689.375642267,5580751.189437403,3750829.0881718113,1829922.101265592,7183472.249668268,3907704.9752915925,3275767.274376675,,
1729,2024-12-31,General liability insurance,2015,4,14108913.65536657,9876239.558756597,4232674.096609972,6522454.670562375,3072221.230429508,3450233.4401328675,7586458.984804194,6804018.32832709,782440.6564771049,,
1729,2024-12-31,General liability insurance,2015,5,15692738.109389082,12554190.487511266,3138547.6218778156,4929246.167496743,6111462.764708173,-1182216.5972114308,10763491.941892339,6442727.722803093,4320764.219089246,,
1729,2024-12-31,General liability insurance,2015,6,17239121.84185538,15515209.657669844,1723912.1841855366,7440232.289575394,7211147.9167214,229084.37285399437,9798889.552279986,8304061.740948444,1494827.8113315422,,
1729,2024-12-31,General liability insurance,2015,7,18474962.088288944,17551213.983874496,923748.1044144481,9122730.827177687,7771529.938854852,1351200.8883228349,9352231.261111258,9779684.045019645,-427452.78390838765,,
1729,2024-12-31,General liability insurance,2015,8,20065108.14648738,19061852.73916301,1003255.40732437,8094793.911784431,6164848.742000269,1929945.1697841622,11970314.23470295,12897003.997162743,-926689.7624597922,,
1729,2024-12-31,General liability insurance,2015,9,21052513.605196975,19999887.924937125,1052625.6802598499,6849952.469344709,8369927.0134379715,-1519974.5440932624,14202561.135852266,11629960.911499154,2572600.2243531123,29825958.551290777,17895575.130774464
1729,2024-12-31,General liability insurance,2016,0,8668507.724567844,26127.699864718335,8642380.024703125,2938347.5787649774,10405.776771296018,2927941.8019936816,5730160.145802867,15721.923093422318,5714438.222709444,,
1729,2024-12-31,General liability insurance,2016,1,9576722.835913505,3830689.134365402,5746033.701548103,3607760.342140474,1474334.2021360784,2133426.1400043955,5968962.493773032,2356354.932229324,3612607.561543708,,
1729,2024-12-31,General liability insurance,2016,2,10589803.279253446,5294901.639626723,5294901.639626723,4455750.287995636,1905027.4043446106,2550722.8836510256,6134052.991257809,3389874.235282112,2744178.755975697,,
1729,2024-12-31,General liability insurance,2016,3,11548332.98432451,6928999.790594706,4619333.193729803,3967313.84886211,3417412.434783053,549901.414079057,7581019.1354624,3511587.355811653,4069431.7796507464,,
1729,2024-12-31,General liability insurance,2016,4,12525853.19524141,8768097.236668987,3757755.958572423,4689270.553786338,2675740.895184825,2013529.6586015131,7836582.641455072,6092356.341484162,1744226.29997091,,
1729,2024-12-31,General liability insurance,2016,5,13800942.201764032,11040753.761411227,2760188.440352805,6294530.074715109,3756451.3689426132,2538078.7057724954,7506412.127048924,7284302.3924686145,222109.73458030913,,
1729,2024-12-31,General liability insurance,2016,6,14889424.245823044,13400481.821240742,1488942.4245823026,5879694.209643891,4046863.0561385415,1832831.1535053495,9009730.036179153,9353618.7651022,-343888.72892304696,,
1729,2024-12-31,General liability insurance,2016,7,16095241.317136584,15290479.251279755,804762.0658568293,7428359.048056646,6946383.209882167,481975.8381744791,8666882.269079939,8344096.041397587,322786.22768235113,,
1729,2024-12-31,General liability insurance,2016,8,17962721.880733676,17064585.786696993,898136.0940366834,8458701.187831841,7450997.33726528,1007703.8505665613,9504020.692901835,9613588.449431714,-109567.75652987882,26712187.723744832,16027312.634246899
1729,2024-12-31,General liability insurance,2017,0,2622562.6788106747,665221.5291124218,1957341.1496982528,1205897.4062042984,267216.6990115694,938680.707192729,1416665.2726063763,398004.8301008524,1018660.4425055239,,
1729,2024-12-31,General liability insurance,2017,1,2478532.571939857,991413.028775943,1487119.5431639142,1162595.3473382846,441607.645356322,720987.7019819627,1315937.2246015726,549805.383419621,766131.8411819516,,
1729,2024-12-31,General liability insurance,2017,2,2974521.2897971976,1487260.6448985988,1487260.6448985988,984978.5762769299,513302.6041337342,471675.97214319574,1989542.7135202675,973958.0407648645,1015584.672755403,,
1729,2024-12-31,General liability insurance,2017,3,3135824.1286430485,1881494.4771858293,1254329.6514572192,1437800.3038361429,634781.3523590751,803018.9514770678,1698023.8248069056,1246713.1248267542,451310.6999801514,,
1729,2024-12-31,General liability insurance,2017,4,3434773.4876283356,2404341.4413398346,1030432.046288501,1716398.0831375173,733236.2423891635,983161.8407483539,1718375.4044908183,1671105.1989506711,47270.205540147144,,
1729,2024-12-31,General liability insurance,2017,5,3935335.140159594,3148268.112127675,787067.0280319187,1468168.7361685594,1474406.656564143,-6237.920395583613,2467166.4039910343,1673861.4555635322,793304.9484275021,,
1729,2024-12-31,General liability insurance,2017,6,4204389.766046205,3783950.7894415846,420438.97660462,2019478.7526138832,1836118.9732562525,183359.77935763076,2184911.013432321,1947831.8161853321,237079.197246989,,
1729,2024-12-31,General liability insurance,2017,7,4414994.654970606,4194244.9222220755,220749.73274853034,1391087.2672767544,1468286.6427139288,-77199.37543717446,3023907.3876938513,2725958.2795081465,297949.1081857048,7354978.578529827,4412987.147117896
1729,2024-12-31,General liability insurance,2018,0,13262919.419253008,1830051.911263746,11432867.507989263,5588922.931935596,618008.476555414,4970914.455380183,7673996.487317412,1212043.434708332,6461953.05260908,,
1729,2024-12-31,General liability insurance,2018,1,12437427.518710995,4974971.007484398,7462456.511226597,6137442.909967374,1759745.6830235932,4377697.226943781,6299984.608743621,3215225.3244608045,3084759.2842828166,,
1729,2024-12-31,General liability insurance,2018,2,13691034.3049352,6845517.1524676,6845517.1524676,4343114.016110631,2819171.060218407,1523942.9558922239,9347920.28882457,4026346.092249193,5321574.196575376,,
1729,2024-12-31,General liability insurance,2018,3,15279781.842319567,9167869.10539174,6111912.736927826,5025326.146288116,3560921.767174066,1464404.3791140504,10254455.696031451,5606947.338217675,4647508.3578137765,,
1729,2024-12-31,General liability insurance,2018,4,16682429.66755166,11677700.767286163,5004728.900265498,6745810.275392647,4871129.44662612,1874680.8287665267,9936619.392159015,6806571.320660043,3130048.0714989724,,
1729,2024-12-31,General liability insurance,2018,5,17919739.54167263,14335791.633338103,3583947.9083345253,8103327.663323907,6345062.353945838,1758265.309378069,9816411.878348721,7990729.279392265,1825682.5989564564,,
1729,2024-12-31,General liability insurance,2018,6,19877063.000483766,17889356.700435393,1987706.3000483736,6173561.085403319,8067858.507926698,-1894297.4225233784,13703501.915080447,9821498.192508694,3882003.722571753,35119193.73635757,21071516.24181454
1729,2024-12-31,General liability insurance,2019,0,11901209.593749871,1155100.271046437,10746109.322703434,4007882.0228761337,479813.8958043521,3528068.1270717815,7893327.570873737,675286.375242085,7218041.195631652,,
1729,2024-12-31,General liability insurance,2019,1,16057243.22517179,6422897.290068716,9634345.935103074,5961071.524650029,2822237.786688816,3138833.737961213,10096171.70052176,3600659.5033799,6495512.19714186,,
1729,2024-12-31,General liability insurance,2019,2,18799860.21036227,9399930.105181135,9399930.105181135,7093046.500289345,3610042.40829856,3483004.091990785,11706813.710072925,5789887.696882576,5916926.01319035,,
1729,2024-12-31,General liability insurance,2019,3,20961961.541326985,12577176.924796192,8384784.616530793,6313175.7024823,3970639.5786155625,2342536.1238667374,14648785.838844685,8606537.346180629,6042248.492664056,,
1729,2024-12-31,General liability insurance,2019,4,23580599.29517192,16506419.506620344,7074179.788551576,7441466.435606534,7285285.185553801,156181.25005273242,16139132.859565387,9221134.321066543,6917998.538498843,,
1729,2024-12-31,General liability insurance,2019,5,25795652.419005476,20636521.935204383,5159130.483801093,9135187.760119857,7720087.514098127,1415100.24602173,16660464.658885619,12916434.421106257,3744030.237779362,47982882.22151596,28789729.332909577
1729,2024-12-31,General liability insurance,2020,0,11516609.58121515,3254267.6732530314,8262341.907962119,5158435.112187111,1032657.0794987772,4125778.0326883337,6358174.46902804,2221610.5937542543,4136563.8752737856,,
1729,2024-12-31,General liability insurance,2020,1,10712795.766030787,4285118.306412315,6427677.459618472,4092938.7247020616,1688937.3858768388,2404001.338825223,6619857.0413287245,2596180.920535476,4023676.1207932485,,
1729,2024-12-31,General liability insurance,2020,2,11520669.103477111,5760334.551738556,5760334.551738556,3896433.4681654987,2638824.9349406795,1257608.5332248192,7624235.635311613,3121509.616797876,4502726.018513737,,
