Syndicate,Reporting_Date,Goodwill,Deferred_Acquisition_Costs,Intangible_Assets,Deferred_Tax_Assets,Pension_Benefit_Surplus,Property_Plant_Equipment,Investments,Holdings_Related_Undertakings,Equities,Bonds,Government_Bonds,Corporate_Bonds,Collective_Investments,Derivatives,Deposits_Other_Than_Cash,Reinsurance_Recoverables,Insurance_Receivables,Reinsurance_Receivables,Receivables_Trade,Cash_and_Cash_Equivalents,Other_Assets,Total_Assets,Technical_Provisions_NonLife,Technical_Provisions_Life,Best_Estimate,Risk_Margin,Deposits_From_Reinsurers,Deferred_Tax_Liabilities,Derivatives_Liabilities,Debts_Owed_Credit_Institutions,Insurance_Payables,Reinsurance_Payables,Payables_Trade,Other_Liabilities,Total_Liabilities,Excess_Assets_Over_Liabilities
2791,2025-09-30,0,0,0,1872700.5942368126,1901428.6128198323,7587945.476302646,339463393.67881465,7800932.022121826,24039506.83025824,64520903.04204987,177249944.78173897,68089200.9394567,36863266.00082205,205844.94295802448,29247746.304049857,128217543.30405483,24863737.74747933,11363873.852248522,6117876.667508375,25212112.147976886,8821833.611219093,963439790.5561165,257986254.66052896,0,219288316.46144962,38697938.19907934,12280728.504951049,1835558.6841671383,697469.3032602092,5842892.970704363,23387197.41833505,13577469.668557754,12207287.498109177,6394454.296692116,334209313.0053058,629230477.5508106
0218,2025-09-30,0,0,0,2571172.192068058,1184829.137724085,1418053.7144799796,343017940.76057535,8526206.184364576,15854643.368675157,287221384.3133333,194157445.6226751,84671787.8493169,18707619.61280168,976721.1400638387,22105825.66280392,77219824.18614817,18542676.439134516,22331191.853894457,3584604.858958713,55466020.1039391,5364139.76080022,1162922086.7617571,315630571.0884955,0,268285985.42522117,47344585.663274325,12792776.902235273,1560204.0635334325,2733551.396716398,3697089.1105105407,48722554.36611146,20277789.290583406,14213486.240334459,18212064.95727003,437840087.4157905,725081999.3459666
0001,2025-09-30,0,0,0,2989499.8940554257,1843748.4700462336,1796432.5184672754,178393144.96765807,2261364.4455269035,39279729.76869379,147169322.4223705,76129335.4015623,86299000.73215434,21053899.70121152,2809345.0968738077,18567402.07895621,38320149.246719144,66153788.652782775,7609272.528791979,19777077.922208793,48612238.46483287,4583303.859944241,763648056.1728563,151380529.2809006,0,128673449.8887655,22707079.392135087,25386535.711370856,2120572.031542851,3645035.8402049365,15425406.933718914,11109875.372831795,11527780.299429726,3506297.773826686,17672758.23988509,241774791.48371142,521873264.6891449
3456,2025-09-30,0,0,0,3116490.6341377897,661796.0497052984,1572025.1525742128,224392928.68626487,16259166.101337353,75664556.05042577,209389367.8388033,180826166.2379755,57777194.01295594,10381741.067223577,7132447.87222995,24019626.215422437,92966035.68403451,63967702.59681927,22282845.872753676,11886458.099493898,31377050.91792748,2330448.6476732376,1036004047.7377578,176972856.74832612,0,150426928.2360772,26545928.51224892,5785729.642168356,1909231.233791341,1571779.9053816334,10171413.823294055,46117791.90489591,9235136.812126374,7334977.999463187,15844369.355231827,274943287.4246788,761060760.313079
0886,2025-09-30,0,0,0,1143990.8274581123,153959.819657586,3607763.076223912,164488514.90160176,46484882.617128655,82730834.16079752,208350939.12760586,178148300.331912,84293766.15192915,13395652.649871612,8925589.984899778,18483556.047891267,124967220.17132813,72726390.99464452,16130121.624015236,4870882.716970505,21396758.127097085,7552401.252141332,1057851524.583174,354503691.48062325,0,301328137.7585297,53175553.722093485,26518264.581408586,20856.39159357211,2553736.5128878285,8348220.06297558,17328528.03977067,6517172.7140073385,6388997.228247164,19029464.966512825,441208931.97802675,616642592.6051472
0727,2025-09-30,0,0,0,1616014.6601037763,1037581.2434867322,7327170.630056601,245451840.9517176,48589104.136048034,96620256.54479001,112945573.95634103,114532246.00170553,44070264.785341576,17817822.246986043,368869.47354532796,20239108.349497423,85348273.019752,13603512.587499255,14752626.2482814,18440520.061433114,21978094.53334862,3883633.3371859,868622512.7671199,272363190.0693908,0,231508711.55898216,40854478.51040862,29641261.352765016,726165.8145345013,3360677.7370293927,15232392.306574352,17980776.847680785,19292543.320849054,6781180.7253502915,13749199.120090852,379127387.29426503,489495125.47285485
4242,2025-09-30,0,0,0,3167648.5538044735,1071549.3681495169,1812607.9304896747,434120998.2356952,16039003.248586792,26786665.93598688,60193785.38869098,130451800.34200111,74205148.9473826,5746452.301753527,5120930.58299281,10662394.379948448,103872462.75322849,22205650.030349404,29182820.83358631,9574500.887109136,56836499.43683673,3787772.2738979124,994838691.4304899,235266587.76256463,0,199976599.59817994,35289988.16438469,7836838.031014727,2774080.854835688,4386696.766904905,5158832.554303112,35719329.933435515,21161666.204225533,9217610.55079301,12004059.83205211,333525702.49012923,661312988.9403607
0308,2025-09-30,0,0,0,1209261.4545022584,186205.53561179843,9074941.82157994,460167222.8653322,31655072.863663398,40512681.19438306,137302393.65316522,153412465.4079407,91768820.79620616,44918889.09193028,7798755.458576239,21050791.153857194,30938195.449356347,21314009.986622963,36449396.59844777,13309294.01421303,10459852.580831483,3319130.0572584174,1114847379.9834783,315875442.27701396,0,268494125.9354619,47381316.34155209,5126539.596155467,482424.15425249597,2743668.9468329307,13837903.953853864,35382372.89910922,8709655.498671755,11258329.877517967,7033234.487445601,400449571.69085324,714397808.2926251
6117,2025-09-30,0,0,0,1626998.4907963385,1492982.8102360482,6846696.091424932,439689364.1976712,32880644.61501717,61147774.300192446,73418691.95702311,92511686.5201037,41216189.41453804,15979533.95205876,9730105.547524456,14827443.11666901,135966052.1730247,54179703.8198084,32818395.623957694,11544830.582788266,38845194.23131795,8402730.01964523,1073125017.4637976,198810746.9495111,0,168989134.90708444,29821612.042426664,23061302.881537635,842317.0873225674,121579.8321572692,12909445.918143356,15438648.535096057,23749630.2714112,14401071.501033636,18552694.633747622,307887437.6099605,765237579.853837
2121,2025-09-30,0,0,0,1850793.501277222,30913.23305773486,9354867.063289529,271273659.32692575,48332740.95218348,96725797.93803276,263252363.86684,80056311.65182957,50807818.28815402,43301150.21825856,3169220.051562777,9237318.667152312,92384164.11958551,75530834.19125468,29361042.883624054,12691039.891519204,14858824.688538427,9995093.947089206,1112213954.4801748,397513462.5260658,0,337886443.14715594,59627019.37890987,8502100.380913101,1554988.9570912102,4386865.359639777,14815372.35508409,37274661.12180126,18752165.763729297,6673384.965856818,7991061.352496387,497464062.78267765,614749891.6974971
0099,2025-09-30,0,0,0,4046805.777392568,1620226.7893583614,8803650.867220934,465296221.0225885,25567119.94304689,55136466.52184796,249573794.7416938,140493868.23222008,76157350.18061626,40810670.12462455,8900053.418175664,13449878.921288395,68825783.84319273,16578735.78886083,25239804.93486609,3611018.654544615,33279900.90662301,9054380.251198497,1246445730.91936,221635313.0320711,0,188390016.07726043,33245296.954810664,19770831.514225267,91500.74981714829,186740.9437460721,16452011.213193165,23128006.93927304,6668270.76568958,8789162.380712457,16089890.402676385,312811727.9414042,933634002.9779557
2488,2025-09-30,0,0,0,1079105.137484216,1245780.9516380006,1768127.184943912,120672688.46744308,26567731.5784074,58657160.94490959,209357475.37455162,153435526.73285246,98068166.35700276,28233515.673553787,3229564.72941246,24879654.869217593,55208192.664069645,40727999.449394524,7745973.346979309,3430962.638062778,58132420.733896255,12867741.566658676,905307788.4004781,323993551.5234245,0,275394518.79491085,48599032.72851367,15223823.610356746,519882.9602125373,782185.2133554303,5004857.963291907,31067519.91765706,19006514.37670131,10582565.897330506,7758876.248081028,413939777.710411,491368010.6900671
1729,2025-09-30,0,0,0,4774326.403315971,1475793.833391537,5989186.472602606,344688298.4937409,20980003.121389497,32295789.05510417,138993169.6628154,158833838.77894276,21151479.09038047,10223268.822811231,460026.4202175275,6018220.057974254,131209875.92143095,59256050.15660166,21596084.01805638,4663180.731067025,34580793.75584161,8155133.020147353,1005344517.8158313,193300467.4775038,0,164305397.35587823,28995070.12162557,15846291.230949325,1195514.2031921204,3079250.4902610825,12701873.017352875,9902768.41042587,11866864.907155896,10136178.904285073,11553316.395861492,269582525.03698754,735761992.7788438
0033,2025-09-30,0,0,0,4282449.205941611,1317387.26323789,2466409.8437328674,128227498.96017194,32120963.91031578,12386017.948745962,196443895.3183658,189839141.0422428,66037934.230070315,22467646.679293487,6432882.184423531,16456322.262287917,90930182.61107154,75902536.61435676,18513592.323027097,19340239.585006543,55267532.09780319,4545284.752260854,942977916.8323562,167340325.21879137,0,142239276.43597266,25101048.782818705,7519450.034435666,54665.47695464918,472214.803779642,13660135.468327137,10989923.235329617,10698488.236168988,12983379.04260291,3395622.9075090396,227114204.42389897,715863712.4084573
6104,2025-09-30,0,0,0,4072342.4129446787,563709.5495467999,2063483.4485949064,378694866.1456603,31447142.3389942,88972481.21743476,233767760.95097145,166591758.16542426,42562765.80570452,12984779.470087528,7506147.516408583,25170868.4816816,148765668.46008754,38883237.38379985,18020633.00274741,16199020.332613947,27040177.012650892,14099845.232846342,1257406686.9281993,364603187.96075296,0,309912709.76664,54690478.19411294,15724850.68437546,2252613.203374492,3772714.370423412,2062477.3767186522,45907222.0805418,14610299.821405001,12743947.05940064,8440843.2175204,470118155.7745128,787288531.1536865
