Syndicate,Reporting_Date,Asset_Class,Solvency_II_Value,Accrued_Interest,Country
3456,2025-09-30,Government bonds,20186042.012392804,479036.7400596901,DE
3456,2025-09-30,Corporate bonds,32595556.347656336,163465.80816903955,US
3456,2025-09-30,Equities,16166603.774933351,152802.10774510744,IT
3456,2025-09-30,Investment funds,70748807.13711503,498167.16881362366,US
3456,2025-09-30,Property,32623214.788013626,224305.31547727127,FR
3456,2025-09-30,Loans and mortgages,59155320.36520528,443097.89023253723,CA
3456,2025-09-30,Cash and deposits,49478325.06400881,195762.84908891466,US
2121,2025-09-30,Government bonds,35946638.06364678,347809.07324840344,IT
2121,2025-09-30,Corporate bonds,5241369.770320901,309794.66872992035,FR
2121,2025-09-30,Equities,31661975.783101805,397098.66563854215,IT
2121,2025-09-30,Investment funds,11974297.986734912,294101.13347419526,IT
2121,2025-09-30,Property,41072966.74145928,321162.7629526137,GB
2121,2025-09-30,Loans and mortgages,9864019.586222626,289991.89371406566,IT
2121,2025-09-30,Cash and deposits,47111344.09696428,280330.0472080855,US
0033,2025-09-30,Government bonds,50261574.99473411,338233.9686131811,CA
0033,2025-09-30,Corporate bonds,65374174.97605773,134910.36006410717,IT
0033,2025-09-30,Equities,66878705.763504654,249127.8411317268,IT
0033,2025-09-30,Investment funds,10779370.935074836,29275.4646219896,NL
0033,2025-09-30,Property,30067873.90220456,392448.48855573375,AU
0033,2025-09-30,Loans and mortgages,58076070.105568685,394307.4823362032,JP
0033,2025-09-30,Cash and deposits,43795179.2331207,220099.49897774527,FR
6129,2025-09-30,Government bonds,16058939.502971295,164096.37680465577,AU
6129,2025-09-30,Corporate bonds,37551452.46304065,44300.214839808614,FR
6129,2025-09-30,Equities,21545896.453340843,299112.6470318694,JP
6129,2025-09-30,Investment funds,60174733.56793924,499173.7556964748,CA
6129,2025-09-30,Property,74983499.85076682,321282.59976759576,DE
6129,2025-09-30,Loans and mortgages,36593603.9970554,318088.68235411635,JP
6129,2025-09-30,Cash and deposits,63923871.356017396,59168.09546169366,CH
1183,2025-09-30,Government bonds,35742866.72722162,419901.1428178086,AU
1183,2025-09-30,Corporate bonds,33787471.3949783,285936.1356135933,US
1183,2025-09-30,Equities,49082702.06466486,92238.12656681967,GB
1183,2025-09-30,Investment funds,32167658.12392163,167255.64437096607,CH
1183,2025-09-30,Property,6964753.1399048595,12095.881945677622,IT
1183,2025-09-30,Loans and mortgages,67377278.27568302,136535.4049864062,IT
1183,2025-09-30,Cash and deposits,43855907.467911154,149362.7867943865,US
6104,2025-09-30,Government bonds,75550943.38365054,129648.37943288687,US
6104,2025-09-30,Corporate bonds,37224260.95542014,436365.1252423009,NL
6104,2025-09-30,Equities,68145017.50938565,93050.70892313866,FR
6104,2025-09-30,Investment funds,65198248.23467828,229093.44336894632,NL
6104,2025-09-30,Property,41222665.40640164,66739.98620797189,JP
6104,2025-09-30,Loans and mortgages,11045113.531784348,363969.65348688257,DE
6104,2025-09-30,Cash and deposits,42234586.426647484,218425.35130758976,AU
4242,2025-09-30,Government bonds,59713117.14892975,382756.4494955549,US
4242,2025-09-30,Corporate bonds,16918112.57520152,305112.57473882067,FR
4242,2025-09-30,Equities,15151556.170826415,375687.5430145228,AU
4242,2025-09-30,Investment funds,54271636.72003546,478307.310541729,JP
4242,2025-09-30,Property,10171851.226731587,28527.360575627157,DE
4242,2025-09-30,Loans and mortgages,26164030.60199001,130852.84186795299,CH
4242,2025-09-30,Cash and deposits,23523409.930399988,453127.2902605183,NL
2488,2025-09-30,Government bonds,23715964.98871296,135974.8630643155,JP
2488,2025-09-30,Corporate bonds,61954869.68134728,224869.92122527,IT
2488,2025-09-30,Equities,63253291.77163859,32683.07878219262,NL
2488,2025-09-30,Investment funds,41567839.52550382,16806.800091641315,GB
2488,2025-09-30,Property,9698990.25915159,453218.7266722055,NL
2488,2025-09-30,Loans and mortgages,15443402.833819637,266210.3411376086,JP
2488,2025-09-30,Cash and deposits,35832170.195053,173671.66312942133,US
2001,2025-09-30,Government bonds,72487500.92654544,10911.698387744751,DE
2001,2025-09-30,Corporate bonds,54784226.46316918,481697.2171067752,JP
2001,2025-09-30,Equities,47012613.759638146,468411.2310165459,US
2001,2025-09-30,Investment funds,8919340.946451783,209396.6595370807,US
2001,2025-09-30,Property,24511834.322153836,365410.48249036487,NL
2001,2025-09-30,Loans and mortgages,78597281.7872935,128265.0312221239,DE
2001,2025-09-30,Cash and deposits,54063095.11055558,99048.81637987007,JP
2003,2025-09-30,Government bonds,47399769.09287074,231966.2433441681,JP
2003,2025-09-30,Corporate bonds,77900399.72236528,304263.63634823327,IT
2003,2025-09-30,Equities,31212977.906511407,57047.89244396669,FR
2003,2025-09-30,Investment funds,16343512.155120092,112658.46497561755,AU
2003,2025-09-30,Property,23822499.60052235,425308.0289205689,FR
2003,2025-09-30,Loans and mortgages,47091709.12118937,261695.45568718322,JP
2003,2025-09-30,Cash and deposits,13607665.390191311,430069.8466747175,NL
2791,2025-09-30,Government bonds,59211072.74063628,33834.180950000795,CH
2791,2025-09-30,Corporate bonds,58087632.29223265,271769.10867132305,JP
2791,2025-09-30,Equities,11129400.931008369,229150.32076432824,GB
2791,2025-09-30,Investment funds,41352221.534753524,82887.27008163788,US
2791,2025-09-30,Property,75927361.02502118,424987.68574033096,CA
2791,2025-09-30,Loans and mortgages,55176675.299683124,231147.7805003036,JP
2791,2025-09-30,Cash and deposits,35882415.61883814,325486.7335754771,GB
0510,2025-09-30,Government bonds,45907390.20551791,31136.55294094281,GB
0510,2025-09-30,Corporate bonds,43437698.65777488,403201.80861641973,AU
0510,2025-09-30,Equities,39442990.819771856,25978.288777134207,DE
0510,2025-09-30,Investment funds,63970864.95380248,100681.89106798719,JP
0510,2025-09-30,Property,24396562.61660291,82353.17671614795,DE
0510,2025-09-30,Loans and mortgages,29766129.865362316,378375.7528443175,CH
0510,2025-09-30,Cash and deposits,43953939.4627953,102440.63707535628,NL
5820,2025-09-30,Government bonds,70837255.86140306,439790.9274757646,CA
5820,2025-09-30,Corporate bonds,70293381.87845051,119398.10569076965,NL
5820,2025-09-30,Equities,38842950.813574106,492494.82807043754,GB
