Syndicate,Reporting_Date,Members_Contributions_FIS,Subordinated_Liabilities,Reconciliation_Reserve,Deductions_Own_Funds,Tier_1_Unrestricted,Tier_1_Restricted,Tier_2,Tier_3,Total_Own_Funds,Eligible_Own_Funds_SCR,Eligible_Own_Funds_MCR
0099,2025-09-30,184328484.27443007,11676050.362024894,20867012.118423868,4526909.8820963185,205195496.39285395,0,11676050.362024894,0,212344636.87278253,212344636.87278253,216871546.75487885
0609,2025-09-30,63693001.51792003,9579409.127712445,96004957.3640644,4753035.734687781,159697958.8819844,0,9579409.127712445,0,164524332.2750091,164524332.2750091,169277368.00969687
0727,2025-09-30,136015683.21849293,18955116.365093976,55875641.758265585,1466053.8584903227,191891324.9767585,0,18955116.365093976,0,209380387.48336217,209380387.48336217,210846441.3418525
2003,2025-09-30,99299681.8054874,20175553.68231115,80189962.3550144,3957895.218629243,179489644.16050178,0,20175553.68231115,0,195707302.62418368,195707302.62418368,199665197.84281293
2623,2025-09-30,168442721.41918308,2736183.091460711,59553624.37620652,287793.8000832214,227996345.7953896,0,2736183.091460711,0,230444735.08676708,230444735.08676708,230732528.8868503
0001,2025-09-30,132429332.34856033,13245915.04120131,91016334.62066399,1754575.0627603934,223445666.96922433,0,13245915.04120131,0,234937006.94766527,234937006.94766527,236691582.01042566
2121,2025-09-30,67560052.46414088,4289750.461585076,80920850.53739777,3091090.316581305,148480903.00153863,0,4289750.461585076,0,149679563.1465424,149679563.1465424,152770653.4631237
6117,2025-09-30,65168401.418418534,2523204.183449923,76077530.5167296,363815.0318209676,141245931.93514812,0,2523204.183449923,0,143405321.0867771,143405321.0867771,143769136.11859804
2791,2025-09-30,173279008.89355344,21187266.814694885,26507902.45135198,424188.5704259596,199786911.3449054,0,21187266.814694885,0,220549989.58917433,220549989.58917433,220974178.1596003
3456,2025-09-30,197995936.77517632,11228123.872683609,49651371.76535127,4063997.836287513,247647308.54052758,0,11228123.872683609,0,254811434.5769237,254811434.5769237,258875432.4132112
1729,2025-09-30,192087286.6075788,29580031.91468613,80270254.82071534,1881297.9276545788,272357541.4282942,0,29580031.91468613,0,300056275.41532576,300056275.41532576,301937573.3429803
6104,2025-09-30,62525107.50480031,23314407.477823105,64672339.9788644,2121110.0462348815,127197447.48366472,0,23314407.477823105,0,148390744.91525295,148390744.91525295,150511854.96148783
1955,2025-09-30,185953157.7642104,3335924.46918454,59410008.34326873,56768.22383709534,245363166.10747913,0,3335924.46918454,0,248642322.35282657,248642322.35282657,248699090.57666367
0886,2025-09-30,120299096.29911894,1689098.2704551206,29505433.301445752,587631.2338855244,149804529.6005647,0,1689098.2704551206,0,150905996.63713428,150905996.63713428,151493627.8710198
4242,2025-09-30,147381545.31740952,22381346.377962697,66669501.20777277,4810862.742372709,214051046.52518228,0,22381346.377962697,0,231621530.16077226,231621530.16077226,236432392.903145
