Syndicate,Reporting_Date,Line_of_Business,Premiums_Written_Gross,Premiums_Written_Reinsurers_Share,Premiums_Written_Net,Premiums_Earned_Gross,Premiums_Earned_Reinsurers_Share,Premiums_Earned_Net,Claims_Incurred_Gross,Claims_Incurred_Reinsurers_Share,Claims_Incurred_Net,Changes_Other_Technical_Provisions_Gross,Changes_Other_Technical_Provisions_Reinsurers,Changes_Other_Technical_Provisions_Net,Expenses_Incurred,Loss_Ratio,Expense_Ratio,Combined_Ratio
4242,2025-09-30,Miscellaneous financial loss,93588449.31302084,13658649.859149031,79929799.45387182,44715396.54600953,22200029.954633962,22515366.59137557,38228640.57160881,7042886.812919675,31185753.758689135,-475604.83867306635,-1077428.9388606003,601824.100187534,8527739.730124466,138.50875415297358,37.875198236350215,176.38395238932378
4242,2025-09-30,General liability insurance,59869421.81915838,15473136.237613698,44396285.58154468,88443134.38224371,13197453.578799196,75245680.8034445,45674124.31612652,14380757.182551546,31293367.13357497,-4869055.434116663,490612.11605013185,-5359667.550166795,8560719.33739503,41.588257026099576,11.37702423047669,52.96528125657627
4242,2025-09-30,Income protection insurance,96885625.39755641,8716568.193827823,88169057.20372859,49926057.52698083,6548392.033887452,43377665.49309338,69818706.60706495,12039510.185962366,57779196.42110258,953850.1732004378,-1298770.5678347177,2252620.7410351555,19999209.407983556,133.20033654255144,46.104854147044506,179.30519068959595
4242,2025-09-30,Credit and suretyship insurance,36792447.44764686,27451357.236017846,9341090.21162901,33795752.317114554,9076505.295927998,24719247.021186557,14119880.735189503,11497205.011979986,2622675.723209517,648411.332626164,-1302874.0817149428,1951285.4143411068,20510552.333900213,10.609852804018077,82.97401743799428,93.58387024201235
4242,2025-09-30,Workers compensation insurance,56263106.77984221,18109756.7331895,38153350.04665271,51938731.514243565,14118313.461007824,37820418.05323574,44459139.21587664,5794324.426752825,38664814.78912381,-3180718.6950472887,1085356.863040552,-4266075.558087841,23922309.242672656,102.23264781129468,63.25236598125328,165.48501379254796
4242,2025-09-30,Legal expenses insurance,49864745.302380234,11768616.828588843,38096128.47379139,67587964.8294042,14309620.106354313,53278344.723049894,13472408.628300002,5810746.7525914265,7661661.875708575,2159722.288473975,476771.8257304542,1682950.4627435207,5541919.85006967,14.38044277752101,10.40182437888702,24.782267156408032
4242,2025-09-30,"Marine, aviation and transport insurance",37757772.954635955,10776869.914701786,26980903.03993417,69735741.25710209,4973052.90610474,64762688.35099734,18038297.755105283,17398489.536717407,639808.2183878757,-3214553.379456664,458238.3235556241,-3672791.703012288,9763655.620934531,0.9879272072837333,15.076050530851953,16.063977738135687
4242,2025-09-30,Motor vehicle liability insurance,27955311.42074761,11079304.774986353,16876006.64576126,73614553.75288576,25036715.234550856,48577838.5183349,60152752.14488551,10149303.533132188,50003448.61175332,1680851.3657064615,-885047.113752537,2565898.4794589984,10862954.605220266,102.93469231423367,22.361955444189274,125.29664775842295
2003,2025-09-30,Credit and suretyship insurance,91706865.48168959,5325048.087768401,86381817.39392118,24584156.875794042,9489270.123504655,15094886.752289386,13538867.824681543,6265837.831616351,7273029.993065191,830415.6096969219,-235726.34822250623,1066141.9579194281,22853434.221539497,48.182077231961465,151.39851392441483,199.5805911563763
2003,2025-09-30,Workers compensation insurance,85395484.93907526,13545433.7924469,71850051.14662836,37975604.37420952,13612617.796014406,24362986.578195117,46237106.66585885,7825145.534811772,38411961.13104708,1241489.0784913404,-271765.04342627875,1513254.1219176191,16040943.617039604,157.66523947201858,65.84144996162439,223.50668943364298
2003,2025-09-30,Other motor insurance,54890122.33082534,12361643.988547942,42528478.34227739,91030904.63608606,22826539.05983426,68204365.5762518,20126564.19445425,18632423.56616243,1494140.6282918192,-125688.01750486344,1183656.680682274,-1309344.6981871375,20997105.118946306,2.190681807048531,30.785573535570464,32.976255342619
2003,2025-09-30,Miscellaneous financial loss,54017080.35753868,5561732.708002935,48455347.649535745,38688156.672640845,17499221.151860803,21188935.52078004,48741736.74991654,7641978.337797641,41099758.4121189,-3606439.2592717586,1004790.7103978973,-4611229.969669656,24688043.61407104,193.96801869453168,116.51384558634112,310.4818642808728
2003,2025-09-30,Fire and other damage to property insurance,62055214.584214866,9291982.146207588,52763232.43800728,38967664.14199141,4941376.237139202,34026287.904852204,65029330.78050894,5119519.49202254,59909811.288486406,765164.755142536,-677834.3379383819,1442999.0930809178,16083560.050315868,176.06919525283618,47.26804197769198,223.33723723052816
2003,2025-09-30,Income protection insurance,72113631.06814913,25743545.09268004,46370085.9754691,33894437.92556645,4763899.887803531,29130538.037762918,19939366.54399082,19200335.553265892,739030.9907249287,3738900.7756251525,292239.3065109248,3446661.4691142277,17010337.208673067,2.5369630652441,58.39348791506007,60.93045098030417
2003,2025-09-30,Legal expenses insurance,73202933.96370044,9384281.96558624,63818651.998114206,88409719.8362219,14550492.597409755,73859227.23881215,34222034.63847085,12340518.695091076,21881515.943379775,-4530340.33224945,-1001149.8937317617,-3529190.438517688,19760672.32852741,29.625974656665914,26.75450727995623,56.38048193662215
2003,2025-09-30,General liability insurance,26623893.43401012,20078802.736659706,6545090.697350413,36891881.44546171,13843094.737007437,23048786.708454274,28744236.732700594,9402108.896369085,19342127.83633151,2190459.051842455,-608634.8531304749,2799093.9049729295,16328092.805937944,83.91820394275607,70.8414417317195,154.75964567447556
0001,2025-09-30,Miscellaneous financial loss,58084032.175927974,21591779.1340662,36492253.04186177,90135889.92800637,22081730.333046008,68054159.59496036,24466541.958263893,3561296.4311031243,20905245.527160767,-2377359.557001749,285233.7921007646,-2662593.349102514,6028516.269685007,30.718541896017875,8.858409692464173,39.576951588482046
0001,2025-09-30,Other motor insurance,59709299.77609891,19921071.22292223,39788228.55317668,43736779.59290598,23001892.889899727,20734886.703006256,18182698.681758765,4352480.071244557,13830218.610514209,2281887.5620360337,-13526.051381404512,2295413.613417438,18768047.92855472,66.7002371829166,90.51435002938129,157.2145872122979
0001,2025-09-30,Fire and other damage to property insurance,54786187.0882997,11160050.83097767,43626136.25732203,81070878.46091338,23685981.0952555,57384897.36565787,52292395.30955675,7898612.470139328,44393782.83941743,902306.6686908705,-417078.30917991954,1319384.97787079,6831641.466532683,77.36143981671559,11.904946737120236,89.26638655383583
