Syndicate,Reporting_Date,Market_Risk,Interest_Rate_Risk,Equity_Risk,Property_Risk,Spread_Risk,Currency_Risk,Concentration_Risk,Counterparty_Default_Risk,Life_Underwriting_Risk,Health_Underwriting_Risk,Non_Life_Underwriting_Risk,Premium_Reserve_Risk,Lapse_Risk,CAT_Risk,Operational_Risk,Loss_Absorbing_Capacity_DT,Diversification,BSCR,SCR
3000,2025-09-30,21844692.745002277,8283881.020420188,17305960.50139604,2667712.6799150663,18118661.89451742,10036035.354415352,3020827.094306553,34112418.611997604,0,5342087.834200798,98808273.92773734,51735599.93419949,3173356.366269707,14978646.85887355,18228916.374569662,-6580082.496635079,-42837285.80461899,117270187.31431904,128919021.19225362
0218,2025-09-30,15567338.398909157,9717068.20366059,15547992.442453526,7754828.978953268,18244128.848284833,2794065.846430295,3925985.961361449,13060122.49063472,0,8865416.425257312,86429763.53962421,44743656.52420494,3551213.9931165576,19430503.395512454,12067518.483992219,-3426904.818316227,-25794121.039081007,98128519.8153444,106769133.48102039
1221,2025-09-30,31100921.93964488,8930549.367003597,21564985.048744366,4681664.378966982,6780185.490171901,9120140.203307807,4303912.850832327,10717211.9201354,0,3918992.9020475578,35647899.232074544,34136777.637019165,2251754.8945270632,32464790.108899195,14767213.773225112,-5032571.460172551,-18679898.96028538,62705127.033617005,72439769.34666957
4242,2025-09-30,52865139.888814196,8655446.008777976,24582098.76030309,7073137.106365895,6020235.865032043,8761775.620754339,2300416.061726796,26530834.31052463,0,2557129.185299246,38116107.78819695,62065549.239818245,1135897.7851175745,35111233.7572882,9189141.326816157,-4856944.719530338,-19351540.99255122,100717670.1802838,105049866.78756961
2121,2025-09-30,38069463.891527385,6663728.120360775,9252887.527421921,2265514.8364994098,8863142.41985158,8531627.905312829,4753219.27379393,31522521.021102406,0,8128518.212282421,84133550.7439974,51574169.69117974,1301434.287830015,37215850.9211749,15060984.678587511,-5516474.95215648,-44963397.05488079,116890656.8140288,126435166.54045983
1729,2025-09-30,35117499.47128914,8524299.254423115,22291272.1904534,6373185.761502308,10086408.783526555,11768003.285106594,1442882.3733052628,19408807.564422503,0,2336197.4013712425,80492809.05751978,65494210.370953284,1400186.647752447,35750250.30397363,9383273.456928466,-2713838.706848678,-20494459.32207607,116860854.17252661,123530288.9226064
2623,2025-09-30,51220804.95786474,3216078.667205454,24256207.14148052,7813367.936562586,8876017.526178133,10293946.64858847,2126084.7936597196,31564353.668285456,0,2900643.123295496,77776448.30955967,44738416.21547007,482672.35097720404,17256814.84776517,5186060.544159722,-6249856.276283953,-39189575.54001309,124272674.51899229,123208878.78686807
0308,2025-09-30,41926086.79339915,6566853.692503406,10998382.230139695,7945545.589852827,4770285.375653655,11028949.951919872,4409055.497564726,26030726.447112978,0,6745772.560859075,91922687.36047392,25193159.874079295,394845.81095414306,17185305.097286142,16918674.180502854,-9722637.866188133,-30565512.32927816,136059760.83256695,143255797.14688167
0727,2025-09-30,59794688.22860894,13268353.126050472,15428913.78087179,2509127.2742931386,17301976.23017136,7989785.081772106,1459731.9882382674,10534146.690230617,0,9277014.55549274,75190019.72035588,60610773.96242155,4394894.5014113365,27153170.561449666,12761695.276325619,-6556580.717432078,-36626356.249323085,118169512.94536512,124374627.50425865
0510,2025-09-30,34556818.23864203,12286555.868761877,17038468.620302632,9140186.31963877,11094080.230067004,8070895.78718754,3525230.2123679547,23975823.38227079,0,7621070.18468413,42807510.12811047,43180007.765018485,521124.01404173835,21535339.829344377,12315006.029318966,-4782205.92363622,-11974161.584967058,96987060.34874035,104519860.4544231
2791,2025-09-30,42029297.99467601,11923126.994118717,15125321.189904055,7072832.251010651,5134915.458140375,4543915.8084184695,2447412.3728205548,20757320.585175864,0,2365189.96401907,35501807.31649883,30224786.92852182,4857663.454505254,19940410.213091522,12230615.871681238,-8431218.298092857,-17900640.228264984,82752975.63210478,86552373.20569317
5820,2025-09-30,27630744.698218845,5483910.941261122,15331452.56891958,2044046.3932833665,4122624.522387605,4190688.0910185776,1146885.4500032845,10916695.361528667,0,4710885.1947100125,85193925.96848597,46462675.385311544,2563338.629782082,18804664.69624365,18976305.791492246,-6823879.670102467,-36298222.9748527,92154028.24809077,104306454.36948057
0001,2025-09-30,42767993.22530106,4366060.721719217,11904462.856033843,6059295.50974247,17987560.394962814,6935465.803401187,3809035.064126657,34806054.6529749,0,3051912.959183853,45604864.41396396,36701684.15787055,2109140.8926941566,22330632.257966373,18614165.038348325,-4287738.844265148,-22521972.205564536,103708853.04585925,118035279.23994242
3456,2025-09-30,28921772.303825192,12885484.610655537,24101210.22969978,8569586.260401811,4025041.6830635667,8364013.7018340705,1204541.525768403,14955394.949010491,0,2476197.6027821735,70284658.97120407,52762445.24209338,572438.1903295256,21515166.491349384,11843547.63433313,-7047575.825912667,-32168183.76999996,84469840.05682197,89265811.86524244
1183,2025-09-30,33852650.558436394,12014136.573701017,6420153.29066511,2641440.1126552275,9676340.669375747,11417257.11618925,3674290.5868916563,26324088.83015925,0,4895359.92670292,69524559.34064038,15557215.121525886,3180480.232047711,37398608.4272871,14188602.025172288,-3010411.25226924,-20890126.752248283,113706531.90369064,124884722.67659369
