syndicate_number,date,us_trust_funds,other_trust_funds,other_restricted_assets,restricted_assets_total,reinsurance_recoverables,reinsurer_urp_unearned,other_illiquid_assets,illiquid_assets_total,closing_free_funds,other_liquid_assets,liquid_assets_total
2001,2024-12-31,66808672,17377085,6385057,90570814,71163783,29845865,11870931,112880579,41355817,44171148,85526965
2001,2025-03-31,62799136,17216204,6433451,86448791,72273343,32603696,12596422,117473461,49335619,44288594,93624213
2001,2025-06-30,62601835,16972285,6491946,86066066,64524827,32655950,12294530,109475307,43402375,42693436,86095811
2001,2025-09-30,62612048,17528059,6706542,86846649,72488077,32165330,11901068,116554475,47084700,46152738,93237438
2001,2025-12-31,63393374,16709264,6324760,86427398,66285725,30593372,12362587,109241684,43885132,45295542,89180674
2002,2024-12-31,55999098,18248924,6629702,80877724,48038075,30100778,7530567,85669420,41712060,21599085,63311145
2002,2025-03-31,52583800,17988119,6612542,77184461,44717773,28437841,7243367,80398981,41022642,21320072,62342714
2002,2025-06-30,54604675,18675719,6561080,79841474,46569448,30942204,7480445,84992097,41894120,22547739,64441859
2002,2025-09-30,51122258,18584036,6595332,76301626,46500490,28787693,7700245,82988428,42224137,21819342,64043479
2002,2025-12-31,53016629,18970438,6825613,78812680,50903098,30879936,7735465,89518499,37980384,22942277,60922661
2003,2024-12-31,63392118,28295096,8871441,100558655,73895773,29209125,12482027,115586925,56823886,30017252,86841138
2003,2025-03-31,61506220,26988864,8552630,97047714,72399760,28770466,11895877,113066103,60889431,29816621,90706052
2003,2025-06-30,64850813,29117794,9373123,103341730,64845196,29922858,12537738,107305792,59342622,31386883,90729505
2003,2025-09-30,62048814,29155361,8923595,100127770,66071227,31051581,13002615,110125423,58847196,31389173,90236369
2003,2025-12-31,60421866,29046414,9407581,98875861,72374430,30337117,11949062,114660609,58909116,31562584,90471700
2004,2024-12-31,37963393,15239880,4134901,57338174,26028335,18460174,6991920,51480429,28900170,15236746,44136916
2004,2025-03-31,35712788,16710376,4268989,56692153,25420555,18111921,6949447,50481923,30807317,15604124,46411441
2004,2025-06-30,39083140,16017842,4269136,59370118,24910877,18459794,7065815,50436486,29192021,15911417,45103438
2004,2025-09-30,38849500,16079244,4237641,59166385,22726525,18157613,6823811,47707949,30962025,15373558,46335583
2004,2025-12-31,36508857,16310816,4143302,56962975,26078688,17362014,7238214,50678916,28924491,16291931,45216422
2005,2024-12-31,33847321,8141652,2733943,44722916,25280394,13210103,4078158,42568655,31978294,7485663,39463957
2005,2025-03-31,32217144,8591745,2709259,43518148,30646267,12052917,4104871,46804055,26911937,7609332,34521269
2005,2025-06-30,33766148,8673720,2870636,45310504,25454109,12657285,4007759,42119153,28306346,7351617,35657963
2005,2025-09-30,32369399,8536008,2692062,43597469,30205132,13180313,4077417,47462862,32269906,7284503,39554409
2005,2025-12-31,32581150,8856682,2896834,44334666,28168863,12618564,4060007,44847434,31913794,7491709,39405503
