syndicate_number,date,opening_free_funds,premium_income,reinsurance_recoveries,reinsurance_deposits,trust_fund_flows,claims_paid,acquisition_costs,reinsurance_premium,operating_expenses,total_operating_cashflow,investment_income,deposits_to_from_fal,member_transactions,total_non_operating_cashflow,total_movements,closing_free_funds
2001,2024-12-31,73160718,85238977,32926085,12652033,-4936453,-38806366,-9675202,-21824702,-9494948,46079424,8439343,9858857,-2577585,15720615,61800039,134960757
2001,2025-03-31,134960757,57622953,31270517,-10768703,3625162,-33343726,-23795416,-31206796,-7785860,-14381869,6047694,9460707,3722198,19230599,4848730,139809487
2001,2025-06-30,139809487,77779541,38125473,-12774426,-1697848,-35202439,-21939279,-28079953,-8975107,7235962,6569847,-5668651,-3145657,-2244461,4991501,144800988
2001,2025-09-30,144800988,77806488,34115416,11612533,-333310,-35370017,-19692144,-30966221,-11047832,26124913,12934417,-186070,409055,13157402,39282315,184083303
2001,2025-12-31,184083303,64218060,15757350,-11759359,-5620986,-58619038,-13710795,-25671475,-14163403,-49569646,8240898,-2687621,4598396,10151673,-39417973,144665330
2002,2024-12-31,48528111,69633616,33181707,-8926585,83814,-52231175,-18635582,-18609816,-6799989,-2304010,10563823,7909894,-2320579,16153138,13849128,62377239
2002,2025-03-31,62377239,42022350,36815343,-2617744,181467,-57670863,-16301357,-25931365,-6714352,-30216521,9262708,5003646,-4162455,10103899,-20112622,42264617
2002,2025-06-30,42264617,45042350,37879663,425162,-2444988,-63748693,-20003651,-22766246,-11878625,-37495028,6558216,-5651367,3072317,3979166,-33515862,8748755
2002,2025-09-30,8748755,70792466,34663476,-2440478,3964084,-58177593,-19623053,-26828085,-10240569,-7889752,9563553,-3264059,6749074,13048568,5158816,13907571
2002,2025-12-31,13907571,75661164,20034608,-4974300,-147067,-42747436,-20374713,-15925737,-5249969,6276550,8898105,-8208303,-2047588,-1357786,4918764,18826335
2003,2024-12-31,68224460,64090494,28313758,8433070,1695845,-58038734,-19730151,-31748316,-8520805,-15504839,8839597,-11478492,1327829,-1311066,-16815905,51408555
2003,2025-03-31,51408555,43930516,27298316,1205601,-2413867,-53325965,-8912401,-14874552,-12630873,-19723225,8709051,-10543331,377302,-1456978,-21180203,30228352
2003,2025-06-30,30228352,75058942,20236898,3474223,-4689038,-30462523,-15992201,-24834411,-11060391,11731499,11812352,13452762,276495,25541609,37273108,67501460
2003,2025-09-30,67501460,56101737,36616067,-6478776,-690132,-31597938,-8839611,-33185895,-12744349,-818897,11556921,-2573981,-5541756,3441184,2622287,70123747
2003,2025-12-31,70123747,49040258,21210035,1391681,2426727,-56267443,-12438257,-33031870,-11912479,-39581348,10355803,3158445,-1363786,12150462,-27430886,42692861
2004,2024-12-31,24907047,34417713,23748326,776278,-495355,-29981614,-9514380,-16378623,-3856272,-1283927,4450118,1303359,3564399,9317876,8033949,32940996
2004,2025-03-31,32940996,37911090,11951943,2910240,1552877,-21964648,-7910783,-14143503,-5646991,4660225,5127826,-3274659,-3883816,-2030649,2629576,35570572
2004,2025-06-30,35570572,25571181,23602056,5617455,-939167,-39406324,-10330318,-13556672,-5629827,-15071616,3640702,-6607026,994616,-1971708,-17043324,18527248
2004,2025-09-30,18527248,37712935,11533332,7220301,1820768,-18936076,-12386714,-19126649,-8071226,-233329,3507622,3835699,445804,7789125,7555796,26083044
2004,2025-12-31,26083044,41405539,23765663,3042693,2181094,-37223406,-11638717,-12917474,-4316908,4298484,5161971,6341659,-3431175,8072455,12370939,38453983
2005,2024-12-31,22800103,29223416,7107342,5836046,2392563,-25185359,-6988179,-8816529,-5463831,-1894531,4987504,-4150516,3033157,3870145,1975614,24775717
2005,2025-03-31,24775717,33631521,17835566,2776821,558097,-20019982,-9427880,-13609120,-2627302,9117721,2557728,-1519758,2292272,3330242,12447963,37223680
2005,2025-06-30,37223680,36671470,8001486,1158004,-586116,-30200047,-8870537,-13370279,-4190189,-11386208,3991361,-2787566,-3274504,-2070709,-13456917,23766763
2005,2025-09-30,23766763,34409969,16151424,6147571,2443868,-22551543,-8420702,-14286858,-5596148,8297581,3373287,-608410,-2737268,27609,8325190,32091953
2005,2025-12-31,32091953,36058363,13608258,-3338260,844910,-23708490,-5893701,-7128941,-4938943,5503196,4380679,3350084,148831,7879594,13382790,45474743
