syndicate_number,date,stress_scenario_impact,cumulative_stress_impact
2001,2024-12-31,-59821416,-59821416
2001,2025-03-31,-155540278,-215361694
2001,2025-06-30,-74776770,-290138464
2001,2025-09-30,-44866062,-335004526
2001,2025-12-31,-29910708,-364915234
2002,2024-12-31,-44015599,-44015599
2002,2025-03-31,-172062283,-216077882
2002,2025-06-30,-55019499,-271097381
2002,2025-09-30,-33011699,-304109080
2002,2025-12-31,-22007799,-326116879
2003,2024-12-31,-48738747,-48738747
2003,2025-03-31,-148229736,-196968483
2003,2025-06-30,-60923434,-257891917
2003,2025-09-30,-36554060,-294445977
2003,2025-12-31,-24369373,-318815350
2004,2024-12-31,-34536389,-34536389
2004,2025-03-31,-97738675,-132275064
2004,2025-06-30,-43170487,-175445551
2004,2025-09-30,-25902292,-201347843
2004,2025-12-31,-17268194,-218616037
2005,2024-12-31,-25141861,-25141861
2005,2025-03-31,-86810234,-111952095
2005,2025-06-30,-31427327,-143379422
2005,2025-09-30,-18856396,-162235818
2005,2025-12-31,-12570930,-174806748
