reporting_period,Syndicate_Number,Claim_Type,Origin_Year,Development_Year,Cumulative_Paid,Cumulative_Incurred
2025-11-30,2987,Net,2015,0,809938,1214907
2025-11-30,2987,Net,2015,1,1292818,1586640
2025-11-30,2987,Net,2015,2,11605999,13312763
2025-11-30,2987,Net,2015,3,13291593,14736332
2025-11-30,2987,Net,2015,4,2432095,2641758
2025-11-30,2987,Net,2015,5,5516791,5910847
2025-11-30,2987,Net,2015,6,11975453,12705663
2025-11-30,2987,Net,2015,7,10633904,11199537
2025-11-30,2987,Net,2015,8,22591789,22591789
2025-11-30,2987,Net,2015,9,26313576,26313576
2025-11-30,2987,Net,2016,0,2611239,3916858
2025-11-30,2987,Net,2016,1,2979028,3656079
2025-11-30,2987,Net,2016,2,7595379,8712346
2025-11-30,2987,Net,2016,3,2877055,3189778
2025-11-30,2987,Net,2016,4,6515735,7077437
2025-11-30,2987,Net,2016,5,14911902,15977038
2025-11-30,2987,Net,2016,6,2953025,3133088
2025-11-30,2987,Net,2016,7,20530100,21622126
2025-11-30,2987,Net,2016,8,15958232,15958232
2025-11-30,2987,Net,2017,0,2487456,3731184
2025-11-30,2987,Net,2017,1,3717983,4562979
2025-11-30,2987,Net,2017,2,7946237,9114801
2025-11-30,2987,Net,2017,3,13619627,15100021
2025-11-30,2987,Net,2017,4,20063476,21793087
2025-11-30,2987,Net,2017,5,18453382,19771481
2025-11-30,2987,Net,2017,6,8832849,9371437
2025-11-30,2987,Net,2017,7,11675440,12296474
2025-11-30,2987,Net,2018,0,1743820,2615731
2025-11-30,2987,Net,2018,1,3019887,3706225
2025-11-30,2987,Net,2018,2,2124089,2436455
2025-11-30,2987,Net,2018,3,14125538,15660922
2025-11-30,2987,Net,2018,4,16802758,18251271
2025-11-30,2987,Net,2018,5,4454488,4772666
2025-11-30,2987,Net,2018,6,14950209,15861808
2025-11-30,2987,Net,2019,0,618540,927811
2025-11-30,2987,Net,2019,1,1288209,1580984
2025-11-30,2987,Net,2019,2,10520431,12067553
2025-11-30,2987,Net,2019,3,11912948,13207834
2025-11-30,2987,Net,2019,4,15730761,17086861
2025-11-30,2987,Net,2019,5,19915202,21337717
2025-11-30,2987,Net,2020,0,1089559,1634338
2025-11-30,2987,Net,2020,1,1357836,1666436
2025-11-30,2987,Net,2020,2,9300990,10668783
2025-11-30,2987,Net,2020,3,3341132,3704299
2025-11-30,2987,Net,2020,4,7093023,7704491
2025-11-30,2987,Net,2021,0,671887,1007830
2025-11-30,2987,Net,2021,1,6919548,8492172
2025-11-30,2987,Net,2021,2,2275464,2610091
2025-11-30,2987,Net,2021,3,6692533,7419982
2025-11-30,2987,Net,2022,0,2246784,3370176
2025-11-30,2987,Net,2022,1,2008999,2465590
