Syndicate_Number,Claim_Type,Origin_Year,Development_Year,Cumulative_Paid,Cumulative_Incurred
2987,Reinsurance,2015,0,1179129,1768693
2987,Reinsurance,2015,1,2425829,2977153
2987,Reinsurance,2015,2,1671555,1917372
2987,Reinsurance,2015,3,6791632,7529852
2987,Reinsurance,2015,4,1860152,2020510
2987,Reinsurance,2015,5,5049362,5410031
2987,Reinsurance,2015,6,9739483,10333354
2987,Reinsurance,2015,7,13973234,14716491
2987,Reinsurance,2015,8,14242782,14242782
2987,Reinsurance,2015,9,13967366,13967366
2987,Reinsurance,2016,0,824823,1237234
2987,Reinsurance,2016,1,743629,912635
2987,Reinsurance,2016,2,2117699,2429126
2987,Reinsurance,2016,3,3564801,3952280
2987,Reinsurance,2016,4,3493115,3794246
2987,Reinsurance,2016,5,3856310,4131761
2987,Reinsurance,2016,6,3662634,3885965
2987,Reinsurance,2016,7,1872243,1971830
2987,Reinsurance,2016,8,2430405,2430405
2987,Reinsurance,2017,0,642933,964399
2987,Reinsurance,2017,1,2434466,2987754
2987,Reinsurance,2017,2,4694233,5384562
2987,Reinsurance,2017,3,1364463,1512775
2987,Reinsurance,2017,4,6187868,6721305
2987,Reinsurance,2017,5,6890659,7382849
2987,Reinsurance,2017,6,11626658,12335600
2987,Reinsurance,2017,7,12304398,12958888
2987,Reinsurance,2018,0,541449,812174
2987,Reinsurance,2018,1,2030711,2492236
2987,Reinsurance,2018,2,3894063,4466719
2987,Reinsurance,2018,3,4391194,4868498
2987,Reinsurance,2018,4,3718992,4039594
2987,Reinsurance,2018,5,3129702,3353252
2987,Reinsurance,2018,6,12060717,12796127
2987,Reinsurance,2019,0,161163,241744
2987,Reinsurance,2019,1,802094,984389
2987,Reinsurance,2019,2,3420169,3923136
2987,Reinsurance,2019,3,2716692,3011985
2987,Reinsurance,2019,4,2923818,3175871
2987,Reinsurance,2019,5,8349506,8945900
2987,Reinsurance,2020,0,1085262,1627893
2987,Reinsurance,2020,1,552426,677977
2987,Reinsurance,2020,2,4325500,4961603
2987,Reinsurance,2020,3,2997830,3323682
2987,Reinsurance,2020,4,2287097,2484260
2987,Reinsurance,2021,0,1068979,1603468
2987,Reinsurance,2021,1,920583,1129807
2987,Reinsurance,2021,2,3690531,4233256
2987,Reinsurance,2021,3,6872452,7619458
2987,Reinsurance,2022,0,1219309,1828964
2987,Reinsurance,2022,1,2805583,3443216
