LOB_Code,Development_Year,Paid_Development_Factor,Incurred_Development_Factor
A1,0,1.1396,1.2216
A1,1,2.0377,1.3062
A1,2,1.8723,1.4733
A1,3,1.7964,1.4255
A1,4,2.1189,1.3308
A1,5,1.1406,1.0271
A1,6,1.0503,1.0121
A1,7,1.0385,1.012
A1,8,1.1072,1.0762
A1,9,1.037,1.0216
A2,0,1.7263,1.7246
A2,1,2.4649,1.5246
A2,2,1.4245,1.1005
A2,3,1.2912,1.2275
A2,4,1.2692,1.0141
A2,5,1.1068,1.0274
A2,6,1.1949,1.0553
A2,7,1.1395,1.0126
A2,8,1.1737,1.0491
A2,9,1.1745,1.0574
D1,0,1.7041,1.4405
D1,1,1.2765,1.0514
D1,2,2.4116,1.4777
D1,3,2.2332,1.4007
D1,4,1.1111,1.6294
D1,5,1.0107,1.0149
D1,6,1.1126,1.0304
D1,7,1.1988,1.0118
D1,8,1.1529,1.0606
D1,9,1.1581,1.0226
D2,0,1.7839,1.4505
D2,1,1.6641,1.8602
D2,2,2.485,1.3054
D2,3,1.9315,1.6096
D2,4,2.1101,1.9476
D2,5,1.0416,1.0211
D2,6,1.1321,1.0157
D2,7,1.0348,1.0075
D2,8,1.0005,1.0451
D2,9,1.1188,1.0291
E1,0,1.3472,1.707
E1,1,2.0545,1.454
E1,2,2.0311,1.9239
E1,3,2.1817,1.6251
E1,4,1.9918,1.9337
E1,5,1.085,1.0545
E1,6,1.1295,1.0908
E1,7,1.1653,1.0071
E1,8,1.0332,1.0308
E1,9,1.1498,1.0569
