Syndicate_Number,Total_Claims,Open_Claims,Closed_Claims,Total_Outstanding,Total_Paid,Total_Incurred
2987,243,26,751,76756250,44675382,84639208
33,528,123,477,14740436,30489981,107118203
1183,843,76,782,81757508,68852097,111233340
2791,619,96,254,98263548,79926784,63623286
623,400,44,562,27172371,39715663,165063916
4242,881,66,776,55047826,16985619,74660722
5000,463,77,394,66434872,49468633,114772742
1910,366,169,381,72244897,20808361,141308699
2010,154,182,677,87888306,14558414,141760505
2525,299,148,202,61226775,76113720,95089262
