Claim_Reference,Syndicate_Number,Year_of_Account,Risk_Code,Currency,Status,Outstanding_Amount,Paid_Amount,Incurred_Amount
CLM126225,33,2022,4,USD,Open,396123,58736,724570
CLM191161,2010,2024,1,GBP,Open,124629,126981,544903
CLM127824,2525,2026,4,JPY,Reopened,377696,290706,454898
CLM571029,2791,2022,1,CHF,Open,376026,226571,371778
CLM263032,623,2021,6,GBP,Open,209191,55707,391417
CLM733052,4242,2022,1,JPY,Closed,291137,70444,411922
CLM678856,33,2022,6,AUD,Open,379398,41466,63050
CLM910620,2791,2022,2,CHF,Open,464286,57953,413591
CLM575435,623,2023,3,EUR,Closed,119842,144973,750911
CLM738720,33,2020,9,JPY,Open,95669,247357,412887
CLM771088,623,2026,4,JPY,Closed,451897,34327,255174
CLM944151,2987,2023,7,EUR,Open,120615,169981,237955
CLM514850,1910,2025,3,EUR,Open,139303,299318,580158
CLM883300,623,2024,7,EUR,Open,82525,272138,532488
CLM892495,33,2018,2,USD,Reopened,93876,226333,640380
CLM503457,33,2024,8,AUD,Closed,300049,11019,728328
CLM814825,33,2026,5,CHF,Reopened,188349,63485,322757
CLM265840,5000,2025,1,JPY,Reopened,148091,267451,202330
CLM211579,2010,2022,9,AUD,Open,90131,201038,184396
CLM916449,2010,2026,1,AUD,Closed,266170,15211,132301
CLM972064,4242,2022,4,GBP,Open,470329,46291,104814
CLM955662,1910,2019,9,CHF,Open,77314,254184,591510
CLM377932,1183,2026,7,USD,Reopened,405976,110461,762581
CLM518373,623,2023,8,AUD,Closed,73441,134973,250612
CLM454508,33,2018,9,USD,Reopened,125457,8770,89441
CLM340062,2987,2019,1,CHF,Closed,47149,274565,264565
CLM801474,623,2025,4,AUD,Open,389245,252815,269801
CLM946721,1910,2024,4,GBP,Open,355496,230994,386507
CLM531071,5000,2025,1,JPY,Reopened,348784,56599,78556
CLM863587,5000,2023,2,USD,Open,109724,286168,485405
CLM542374,1183,2020,5,CAD,Open,468482,44523,479656
CLM202664,2010,2018,9,CHF,Open,58896,128930,189389
CLM609231,5000,2025,4,CHF,Closed,483139,35741,187634
CLM102260,5000,2024,5,CHF,Closed,159552,226777,745429
CLM794022,2010,2025,3,USD,Closed,124137,35662,622314
CLM163918,2010,2023,1,GBP,Reopened,259974,268638,571926
CLM159642,1183,2026,2,CHF,Open,45924,40631,723011
CLM523389,2791,2019,4,AUD,Reopened,30836,47982,454589
CLM692683,2525,2026,6,EUR,Open,361129,169722,265280
CLM515011,623,2020,5,CAD,Closed,497073,43033,24767
CLM751332,1910,2019,2,AUD,Open,275229,144041,153890
CLM172132,4242,2021,6,EUR,Open,239734,289802,752715
CLM741390,623,2026,1,JPY,Reopened,166960,59309,155814
CLM221035,623,2019,9,USD,Closed,157721,115430,767470
CLM313487,4242,2022,9,CAD,Closed,484657,31633,111781
CLM969634,5000,2022,1,GBP,Closed,414288,73587,683061
CLM269430,623,2025,9,JPY,Closed,304076,10069,132308
CLM824586,33,2020,9,GBP,Closed,315402,294682,170287
CLM233636,5000,2018,5,EUR,Open,481295,192595,235281
CLM799330,2791,2019,6,CHF,Reopened,473541,218058,665810
CLM348237,1183,2020,3,CAD,Open,104036,179160,446712
CLM379766,2791,2020,2,CAD,Open,460150,251777,248238
CLM956253,2791,2025,6,EUR,Open,126876,17406,707094
CLM517821,2791,2023,5,CHF,Open,415445,151341,383203
CLM519093,2010,2026,6,GBP,Open,469820,141951,202241
CLM378361,2525,2018,2,AUD,Closed,191239,169457,472592
CLM636265,2525,2019,7,AUD,Open,143547,28271,758215
CLM101773,5000,2026,9,JPY,Reopened,398995,108303,396913
CLM173372,5000,2023,6,JPY,Open,387358,162455,546756
CLM799287,623,2024,6,CAD,Reopened,165008,295671,148470
CLM540869,2791,2024,3,AUD,Reopened,167784,217900,589553
CLM418635,2987,2022,4,CAD,Reopened,328065,173951,502575
CLM563638,1910,2021,9,CAD,Reopened,98967,49457,312571
CLM796101,2010,2023,2,CHF,Open,362738,167749,250552
CLM254511,2791,2018,1,USD,Closed,330483,43182,492538
CLM760356,5000,2021,7,CAD,Closed,137918,82369,702926
CLM887443,2987,2019,7,USD,Open,431585,276559,502115
