Syndicate_Number,LOB_Code,Protected_Liabilities,Eligible_Premium,Levy_Rate
2987,A1,5679214,15257007,0.00351
2987,A2,16165337,45024332,0.001254
2987,D1,14805018,44989395,0.004984
2987,D2,19754131,21872115,0.004884
2987,E1,2385239,12687437,0.003727
33,A1,10953167,48014218,0.002361
33,A2,11848230,34176602,0.001633
33,D1,2108894,22675739,0.004888
33,D2,7994562,39069940,0.004651
33,E1,12014145,47879174,0.003031
1183,A1,8674349,15256869,0.002496
1183,A2,7420686,41197113,0.004814
1183,D1,19795716,5038379,0.003396
1183,D2,18394887,6307062,0.001447
1183,E1,14179613,25636923,0.001958
2791,A1,10082309,43074679,0.004788
2791,A2,4874052,37614267,0.004264
2791,D1,19874652,13439645,0.001514
2791,D2,17947830,41896694,0.001661
2791,E1,19705794,45707828,0.002693
623,A1,9106768,41191547,0.004021
623,A2,8749509,25918926,0.002596
623,D1,14529912,34400398,0.004598
623,D2,17149361,13120454,0.001992
623,E1,4148352,27688538,0.001084
4242,A1,9721369,44489547,0.001881
4242,A2,4382132,47352602,0.001235
4242,D1,4261579,7108087,0.004439
4242,D2,4377578,39504433,0.001952
4242,E1,18287807,19377188,0.003157
5000,A1,17860207,21307268,0.004138
5000,A2,15658665,17778193,0.001377
5000,D1,16463677,28776507,0.002694
5000,D2,17670747,8635366,0.003693
5000,E1,5302355,9067647,0.00261
1910,A1,13385106,12332920,0.001995
1910,A2,8382351,40989527,0.002794
1910,D1,16155998,17313673,0.002114
1910,D2,10382113,10058994,0.002773
1910,E1,5285271,8394925,0.003609
2010,A1,2495191,11258758,0.004705
2010,A2,9931579,16160949,0.002626
2010,D1,18151708,19344338,0.004459
2010,D2,3967477,16048610,0.002516
2010,E1,15100380,22797475,0.004706
2525,A1,17267547,24142751,0.002692
2525,A2,18329982,15388239,0.00176
2525,D1,9304829,8924747,0.003317
2525,D2,4045396,26045662,0.001229
2525,E1,17998367,38745717,0.004678
