Syndicate_Number,Risk_Type,Exposure,Shock_Factor,SCR_Contribution
2987,Interest_Rate,167489440,0.0852,39759556
2987,Equity,299403322,0.06,21723413
2987,Property,115153902,0.1413,36181679
2987,Spread,408403064,0.1562,42508841
2987,Currency,369681028,0.1135,34700599
33,Interest_Rate,378915210,0.213,38875089
33,Equity,279104699,0.2161,41767064
33,Property,289398044,0.2294,36854862
33,Spread,291629363,0.1018,21591977
33,Currency,392341877,0.1055,39983838
1183,Interest_Rate,310166043,0.1753,23427922
1183,Equity,286154802,0.0655,24174891
1183,Property,175892782,0.1043,26455345
1183,Spread,339992016,0.0661,15122074
1183,Currency,174157563,0.1266,15254587
2791,Interest_Rate,429255889,0.0928,32841313
2791,Equity,268828247,0.1162,36267650
2791,Property,273217093,0.0625,33195354
2791,Spread,259098769,0.231,44196905
2791,Currency,423406061,0.0539,43633925
623,Interest_Rate,254215510,0.1454,28606133
623,Equity,210316447,0.2007,33120042
623,Property,338954965,0.1995,41650318
623,Spread,479425952,0.1707,19800101
623,Currency,312116207,0.0939,34248457
4242,Interest_Rate,310727063,0.0558,27557271
4242,Equity,409098790,0.1858,32133232
4242,Property,438791919,0.083,36366021
4242,Spread,118519648,0.2461,40844430
4242,Currency,64477503,0.2314,44721251
5000,Interest_Rate,353005638,0.1826,10633618
5000,Equity,395073591,0.1357,35984058
5000,Property,147565028,0.0601,30441229
5000,Spread,225746125,0.0923,26934250
5000,Currency,231194227,0.2022,30442729
1910,Interest_Rate,199387883,0.2004,33290736
1910,Equity,185437245,0.217,36561757
1910,Property,60406320,0.1998,8495405
1910,Spread,237883528,0.0948,9604900
1910,Currency,469421299,0.2415,7701677
2010,Interest_Rate,454925869,0.0562,21594901
2010,Equity,157030950,0.2178,46697130
2010,Property,131809649,0.0977,36780144
2010,Spread,409412982,0.0729,19627352
2010,Currency,299663219,0.1899,29756136
2525,Interest_Rate,140081110,0.1712,12686170
2525,Equity,467573836,0.2139,25873468
2525,Property,108035074,0.1657,25935096
2525,Spread,359128512,0.1855,30186423
2525,Currency,262952228,0.2383,18309686
