Syndicate_Number,LOB_Code,Net_Earned_Premium,Volume_Measure,Premium_Risk_Factor,Premium_Risk_SCR
2987,A1,83197857,91517642,0.0587,7670191
2987,A2,13999315,15399246,0.0594,1025675
2987,D1,90801586,99881744,0.0527,6345556
2987,D2,97226012,106948613,0.1201,8940124
2987,E1,70291817,77320998,0.1089,9204224
33,A1,10872248,11959472,0.1259,717197
33,A2,66722344,73394578,0.084,4373512
33,D1,55176955,60694650,0.0602,4855170
33,D2,58181396,63999535,0.1347,6421632
33,E1,15831819,17415000,0.123,1640537
1183,A1,60806024,66886626,0.0579,4823001
1183,A2,94374605,103812065,0.1119,12851055
1183,D1,87490893,96239982,0.0692,4983088
1183,D2,98753260,108628586,0.0728,7795463
1183,E1,20709497,22780446,0.1355,2829918
2791,A1,61019678,67121645,0.0778,6929909
2791,A2,58966946,64863640,0.0663,5043270
2791,D1,99949389,109944327,0.0767,14359274
2791,D2,96977837,106675620,0.0571,11006773
2791,E1,81691040,89860144,0.1229,5419403
623,A1,60929647,67022611,0.077,8684858
623,A2,84752529,93227781,0.072,6986004
623,D1,17507864,19258650,0.0729,931593
623,D2,52339391,57573330,0.0901,2963396
623,E1,86125617,94738178,0.1376,7016463
4242,A1,97971488,107768636,0.0999,13565946
4242,A2,96282117,105910328,0.0959,7364428
4242,D1,43101783,47411961,0.1245,4478177
4242,D2,88461803,97307983,0.0928,9585127
4242,E1,58586340,64444974,0.0719,8773524
5000,A1,78387461,86226207,0.0994,9843757
5000,A2,24716857,27188542,0.0653,1631268
5000,D1,66661351,73327486,0.1096,5897978
5000,D2,89978790,98976669,0.1496,9259846
5000,E1,84252722,92677994,0.1361,4309366
1910,A1,25374874,27912361,0.1182,2631299
1910,A2,45812670,50393937,0.1269,3849068
1910,D1,49392920,54332212,0.0935,4710719
1910,D2,45351479,49886626,0.1472,5723185
1910,E1,78139880,85953868,0.1413,10709215
2010,A1,50056581,55062239,0.1342,5044015
2010,A2,36697396,40367135,0.0653,4633085
2010,D1,82394227,90633649,0.1453,11720035
2010,D2,10076758,11084433,0.1099,996194
2010,E1,25014631,27516094,0.1429,3448821
2525,A1,51273847,56401231,0.0739,3798733
2525,A2,86149359,94764294,0.1447,5045366
2525,D1,75228535,82751388,0.1316,11118660
2525,D2,81498611,89648472,0.1266,5121303
2525,E1,73791320,81170452,0.1447,4908059
