Syndicate_Number,Premium_Risk_SCR,Reserve_Risk_SCR,Cat_Risk_SCR,Market_Risk_SCR,Credit_Risk_SCR,Operational_Risk_SCR,Diversification,Total_SCR
2987,50328965,62911206,37746723,50328965,20131586,17615137,-30197379,251644825
33,21977041,27471301,16482781,21977041,8790816,7691964,-13186224,109885207
1183,17342754,21678443,13007065,17342754,6937101,6069964,-10405652,86713773
2791,55811689,69764611,41858767,55811689,22324675,19534091,-33487013,279058447
623,30765524,38456905,23074143,30765524,12306209,10767933,-18459314,153827621
4242,29147531,36434414,21860648,29147531,11659012,10201635,-17488518,145737657
5000,27983535,34979419,20987651,27983535,11193414,9794237,-16790121,139917677
1910,23491385,29364231,17618538,23491385,9396554,8221984,-14094831,117456926
2010,55538997,69423746,41654247,55538997,22215598,19438649,-33323398,277694986
2525,21502667,26878334,16127000,21502667,8601067,7525933,-12901600,107513338
