reporting_period,Syndicate_Number,Quarter,Total_Assets,Total_Liabilities,Net_Assets
2025-11-30,2987,2024-Q1,1873158606,1404868954,468289651
2025-11-30,2987,2024-Q2,739081663,554311247,184770415
2025-11-30,2987,2024-Q3,553710184,415282638,138427546
2025-11-30,2987,2024-Q4,1090620971,817965728,272655242
2025-11-30,33,2024-Q1,1025901256,769425942,256475314
2025-11-30,33,2024-Q2,979341423,734506067,244835355
2025-11-30,33,2024-Q3,799655412,599741559,199913853
2025-11-30,33,2024-Q4,720106707,540080030,180026676
2025-11-30,1183,2024-Q1,1953201078,1464900808,488300269
2025-11-30,1183,2024-Q2,1671165722,1253374291,417791430
2025-11-30,1183,2024-Q3,686699713,515024784,171674928
2025-11-30,1183,2024-Q4,1768073012,1326054759,442018253
2025-11-30,2791,2024-Q1,1406070220,1054552665,351517555
2025-11-30,2791,2024-Q2,568252793,426189594,142063198
2025-11-30,2791,2024-Q3,563989047,422991785,140997261
2025-11-30,2791,2024-Q4,701209005,525906753,175302251
2025-11-30,623,2024-Q1,969521477,727141107,242380369
2025-11-30,623,2024-Q2,999635468,749726601,249908867
2025-11-30,623,2024-Q3,1585242216,1188931662,396310554
2025-11-30,623,2024-Q4,1792825378,1344619033,448206344
2025-11-30,4242,2024-Q1,556985561,417739170,139246390
2025-11-30,4242,2024-Q2,1705264595,1278948446,426316148
2025-11-30,4242,2024-Q3,927000596,695250447,231750149
2025-11-30,4242,2024-Q4,1895616196,1421712147,473904049
2025-11-30,5000,2024-Q1,1670252923,1252689692,417563230
2025-11-30,5000,2024-Q2,1400911954,1050683965,350227988
2025-11-30,5000,2024-Q3,973392624,730044468,243348156
2025-11-30,5000,2024-Q4,1464669077,1098501807,366167269
2025-11-30,1910,2024-Q1,1765438422,1324078816,441359605
2025-11-30,1910,2024-Q2,1097409992,823057494,274352498
2025-11-30,1910,2024-Q3,513955983,385466987,128488995
2025-11-30,1910,2024-Q4,842865762,632149321,210716440
2025-11-30,2010,2024-Q1,1999242941,1499432205,499810735
2025-11-30,2010,2024-Q2,1407557512,1055668134,351889378
2025-11-30,2010,2024-Q3,1230682427,923011820,307670606
2025-11-30,2010,2024-Q4,1096724164,822543123,274181041
2025-11-30,2525,2024-Q1,833889688,625417266,208472422
2025-11-30,2525,2024-Q2,962382781,721787085,240595695
2025-11-30,2525,2024-Q3,1222831292,917123469,305707823
2025-11-30,2525,2024-Q4,719494902,539621176,179873725
