Syndicate_Number,Quarter,Net_Earned_Premium,Claims_Incurred,Operating_Expenses,Investment_Return,Profit_Before_Tax
2987,2024-Q1,32448136,18689654,9276855,983784,523395
2987,2024-Q2,25831819,16685969,7843129,1270756,1152966
2987,2024-Q3,94093639,52564061,29438510,4381334,3802206
2987,2024-Q4,45808537,29359349,11662049,1229361,1023682
33,2024-Q1,30709497,20608023,10338302,964394,1945525
33,2024-Q2,68966946,36727024,19691930,2765936,8652253
33,2024-Q3,29583482,18395784,7902158,1238772,-270670
33,2024-Q4,70929647,39294284,24296178,2882925,347824
1183,2024-Q1,63524491,42470593,20810622,1706994,-2666436
1183,2024-Q2,62339391,36171369,15997463,2954518,5722445
1183,2024-Q3,62235350,33764252,18665820,2896463,6890260
1183,2024-Q4,39175900,21663333,10760160,1443281,614489
2791,2024-Q1,98461803,57667774,30361021,3038520,19626533
2791,2024-Q2,38566572,23213422,9992249,825844,-871130
2791,2024-Q3,41472420,27306099,12118904,908487,1883047
2791,2024-Q4,82820592,50174608,28747676,3795120,-3903313
623,2024-Q1,35374874,22510520,10743244,990664,3899742
623,2024-Q2,34972279,19539013,9296183,702850,4564687
623,2024-Q3,55351479,38434828,18055443,1950057,-1295074
623,2024-Q4,60056581,40137847,18062994,1559509,2611167
4242,2024-Q1,41682744,25337931,13666214,1496852,-2078177
4242,2024-Q2,63507489,37959768,16587316,1961709,12468447
4242,2024-Q3,61273847,33571356,16794374,2268401,-1857255
4242,2024-Q4,85228535,56523960,29642352,3066623,-1581830
5000,2024-Q1,83791320,57763200,22331450,3002260,8517260
5000,2024-Q2,48427073,33210448,15764296,1970789,6210154
5000,2024-Q3,73551839,51414932,23167932,2437728,5839571
5000,2024-Q4,36240908,19917318,9292262,747687,3206609
1910,2024-Q1,98979095,53848930,25447456,3853561,716157
1910,2024-Q2,24216175,16271503,6225633,657230,2839211
1910,2024-Q3,48754377,29635191,15715254,2265688,4585491
1910,2024-Q4,52614537,34563746,17402242,1352840,-1355734
2010,2024-Q1,77854710,44444101,22664302,3574706,-2838364
2010,2024-Q2,33209423,17007293,10720711,1461804,-753280
2010,2024-Q3,45714784,24596463,13479523,1492882,897668
2010,2024-Q4,53528453,36126202,13785636,2368134,8778223
2525,2024-Q1,33141087,16905853,11597002,1494027,6371342
2525,2024-Q2,51726318,27583691,15443622,1366217,2599768
2525,2024-Q3,27869910,14852639,6973484,883828,5061998
2525,2024-Q4,81070189,45160136,25914827,3398069,11823307
