LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Reinsurance_Recoveries,Net_Claims_Incurred,Gross_Claims_Paid,Reinsurance_Recoveries_Paid,Net_Claims_Paid,Acquisition_Costs,Administrative_Expenses,Other_Expenses,Total_Expenses,Combined_Ratio,Loss_Ratio,Expense_Ratio
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Medical expense insurance,12825286.21,12061959.550998129,2318544.740571199,10429094.702020675,8270874.640188249,8191314.16029919,1595369.203569067,6204059.442987535,6705311.369104577,1531881.6712983374,4283006.4368139,3049161.6016308125,1118857.3167301612,356169.68023505504,4665015.372450867,100.24,63.87,36.37
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Income protection insurance,44993663.59,42979616.2632929,12645396.987883486,34202899.57735191,27778968.756447617,37546223.502220154,8699108.650963504,27203654.547734164,28232911.17567662,7828876.341404984,23427677.045758888,7113706.155879122,3977070.1945140595,2744412.1692211507,17066957.894933496,121.38,83.45,37.93
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Workers' compensation insurance,8425888.68,7688423.348215351,2262195.7113413014,6866561.645080036,5641653.541532571,6723205.485497438,1920169.2060528083,5130790.014304883,5065301.026005396,1558402.0401475744,4701917.493435243,1818687.4879973656,895059.9851734466,606981.2370058106,2732279.5975362537,112.22,79.79,32.43
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Motor vehicle liability insurance,36876333.95,34605426.62771767,10093874.046166578,29521103.101509877,23295555.33579246,29241261.03106892,9537743.515534682,24105580.50480406,20639928.209280863,6546314.5781708965,15562709.873992026,6767245.5707601495,4073863.5324589787,1093220.815746682,13077112.06866667,114.76,79.3,35.46
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Other motor insurance,41808516.09,35571946.57315485,8671405.09535738,32334095.25715327,33289497.276269034,33080861.35386481,9142316.340826666,23221465.128896337,27351293.90006493,5987563.35731062,22989920.02554363,6718547.589471538,4283366.643136561,2193943.4696135647,13634599.959314367,111.74,79.12,32.61
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,"Marine, aviation and transport insurance",48334640.17,46940845.74855995,8241150.188770811,40477636.448029466,35650525.87509807,29950813.930366438,4898977.11652342,21270849.813426882,25207635.842795268,3297662.192940061,19334526.74730706,8922009.335372077,4886685.076263064,1099348.288098307,16670292.777744038,96.45,61.97,34.49
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Medical expense insurance,44219156.28,41895649.133445725,7783334.198442805,35448403.334431544,26748936.30826701,37175979.442719,5740889.855776236,26570492.008678775,29656343.450164996,8013695.493313012,24938533.43986659,8604617.587894838,4213746.39008691,3529903.371785443,17481233.264866386,123.61,84.07,39.53
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Income protection insurance,24178158.6,23049648.882441133,6981115.564589168,16783363.63241345,14905259.557306735,15908876.772478733,4551527.423964689,12423277.552951977,12005664.169119181,3859963.363140164,8555228.73270256,4672029.728790748,2267144.0456903204,1092457.190243535,6637958.054926533,93.25,65.8,27.45
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Workers' compensation insurance,33733667.64,32988730.23639055,7821717.610556264,27959133.040820118,21791643.033483416,21561144.86674098,4153128.009064903,14149001.45765485,17902937.972074416,3347991.969309857,15439710.793759268,6656360.717628839,3390480.195791424,1050180.7179281213,9820959.584679807,93.03,63.92,29.11
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Motor vehicle liability insurance,44088042.56,42316665.234974906,13323618.004375199,34178993.302404545,27610091.48660862,34027543.56424553,5325488.732560238,28384741.3682776,28015899.583223894,7468385.461810246,21110027.480435576,7130395.226761057,3526759.607358521,2695274.744860571,16120275.904565101,113.74,77.18,36.56
