reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Claims_Paid_Death,Claims_Paid_Maturity,Claims_Paid_Surrender,Claims_Paid_Annuity,Claims_Paid_Other,Total_Claims_Paid,Change_In_TP,Acquisition_Costs,Administrative_Expenses,Investment_Management_Expenses,Claims_Management_Expenses,Other_Expenses,Total_Expenses,Investment_Income,Realised_Gains,Unrealised_Gains,Total_Investment_Return,Technical_Result,Non_Technical_Result,Total_Result
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,47997301.05,46795183.42133713,3808916.8284229734,44303332.66299893,42108611.39864068,10216007.911941934,13996287.689938193,3631702.379195276,10214648.812571483,2436942.2254420263,29478545.993824866,3782908.949119705,7185263.722267489,3862264.079566943,2285667.0911195283,976769.3244953718,585053.8989623988,10306036.066296771,12223654.368117938,-291488.2947302435,-4796460.938486559,20170891.59896835,5700921.77764953,1534015.6381228704,-547296.0889045156
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,20832721.86,19264691.47715212,3304160.8992341557,19568617.173954677,17594908.00197721,3497211.9512860742,6301451.795474564,1768347.90339789,3254565.6952768564,1193294.9217681629,14452567.932867087,-1392019.982388129,1718518.6453527168,2491658.5572974775,562105.3860568417,241970.30918987188,366552.0153652506,3887861.590931169,5165530.126319326,2301606.546088422,49443.02642140144,5322014.465613477,1773226.1762050504,325460.9660578416,3086003.3331072014
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,87943210.75,80968764.37675804,14660744.083146663,76432327.41584896,81639976.20330182,19566028.655981008,34946801.77272071,11033085.773300895,12073787.839154115,4599755.202810489,65819084.6395502,13829877.413630906,7634849.868252796,8745604.034335187,2670605.5655340394,897853.3833416544,2298768.583210226,19339437.7243231,31194979.82102015,1536026.8277297942,13038206.110399714,8812725.706337405,1016960.3392265731,-274245.18627945037,327192.10401898535
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,16136795.78,15057223.147196705,2151558.282236663,13614681.743593657,13597012.862712452,3332732.949661241,6054218.935483903,2267702.2956871106,2806891.474990679,642395.464347684,9219921.908929275,3001780.6901958524,1358974.5561216588,1143058.3110085758,467030.91811602266,316475.4614628197,267410.4873691094,5053034.972910007,2914700.112507949,1242232.0306233312,-1014136.1656651392,2012056.2906673707,2128215.8464571494,-107971.08042081927,2241199.7975373776
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Health insurance (SLT),59016778.4,54617074.99553222,11408960.048017183,49399650.58986489,53643111.979389936,10346910.16546355,21882747.24832461,3028911.1119726794,10432222.909221781,3904936.9000747846,43492952.10103698,10195776.457991462,8107355.622805559,6620112.364183066,1533054.689558931,1093317.0321433751,1272327.4399936395,14405946.521431943,14655646.47106553,3476741.2643370084,-3071001.270427487,20179980.75173896,-972991.45652221,101602.91668031142,3881496.927291563
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Life reinsurance,81679650.54,79373249.69572148,11993035.623476291,67252246.2551497,70412498.3201121,13323337.53719402,22500508.58948294,7461571.09565972,8655732.723213533,2976348.1438095635,60535230.702012815,15199748.391323378,8548828.589899452,4330410.6555994535,2072445.3725342513,1777882.8744966441,3913369.086161338,16662962.425469728,27842874.404143214,-2308552.1598150725,15876667.749313954,19077570.85463633,8580194.71776259,325197.3837493414,7707605.6174681075
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,27281447.63,25377788.35495805,5202834.536081348,25580370.027244277,24911244.763750404,6651626.63201552,9866434.901058136,1552415.139388329,4098174.2200157656,1059125.4747657827,18473061.108920943,185168.24362920513,2466119.4094278347,2503146.3511639694,1212156.1210734288,585560.9393690706,417153.7572618647,5822870.1616529105,5711939.232744464,272255.7140286989,2532769.2528520096,8466276.730715264,2433940.876427766,146641.5708737283,3806292.8395115174
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,28367889.5,27029857.066761468,4826535.6473437855,23460919.691702258,22594441.51060867,8015420.797244168,7619216.055885028,3358389.6885770615,2944651.9107107953,1741868.2228130857,17395764.640353907,-2362413.8374387324,3480368.232470078,1896571.1981879473,896544.9430098247,352256.1223629218,450667.3288208866,6543227.609310467,4891755.3233664315,3749249.291063829,-2785326.394146552,7640921.5777660115,-719140.4203079809,43616.65882397399,4623787.235568934
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,24552509.79,24248261.530776795,1985540.757863959,22373104.202709604,21164302.47095425,6940302.361254925,7630886.923866919,2540102.535667002,3175098.649136844,735931.0781495282,18004302.15553849,-40475.80295957147,2603689.5077363243,2533515.9363565636,740619.2018780361,946790.774153864,970244.2488062361,6913077.60780975,9089923.231809665,-984035.5794214965,-561790.6990142087,6451484.18103261,-113046.92700111572,787481.5617847509,3963213.2722434388
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,48139310.79,45441067.85657241,9350223.969708351,41723682.05993589,41080030.357287064,9760123.99258962,18384869.482180253,5145878.023037965,10317514.97828657,3307575.170766199,29767896.388923727,1449392.781987903,6710284.114328016,3631045.89843168,2109370.919890164,1840354.763922443,1681429.8213669055,14734318.443968495,16910104.04863545,5728959.718121591,891347.5439145528,5677656.736705349,1462243.8045383485,1307605.0221592467,2579332.613164535
