LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Prior_Year_Claims_Development,Current_Year_Claims,Reinsurance_Recoveries,Net_Claims_Incurred,Claims_Paid,Change_In_Claims_Reserves,Acquisition_Costs,Reinsurance_Commissions,Administrative_Expenses,Other_Operating_Expenses,Total_Expenses,Net_Loss_Ratio,Net_Expense_Ratio,Net_Combined_Ratio,Investment_Income_Allocated,Policy_Count,Average_Premium,Average_Claim_Size,Claim_Frequency,Retention_Rate,New_Business_Rate
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,48268881.19,47189861.86785175,16456467.56975718,39099121.957002744,31527541.97625547,29444194.378779653,-3336056.8903395967,26893762.628059834,5987739.271362678,22118041.866356786,23391409.566727333,5901000.170362109,12541815.91934912,2007045.8396973696,6183552.7963933945,1569383.8922986228,14897592.322194487,61.0,30.86,91.86,1653855.405816201,48029,2056.53,16663.38,6.63,89.0313,5.1966
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,73193736.37,70018924.91839293,15430624.978862654,59457131.38570936,48649072.316286966,43829418.00591181,-628571.8811459074,43627965.08873399,12648470.775175868,37144278.80360867,28764819.965796914,5777211.239274217,16780297.047806453,5482643.229232261,6656629.965766251,3664951.3909612843,25911068.006384265,59.88,35.4,95.28,5107371.321156465,33016,4192.8,84940.73,2.01,80.4933,14.4887
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,63390957.62,59392921.51957286,17517741.45254888,47780907.01138296,38748129.27115202,42712448.219458394,-2709496.303938104,40508500.66498999,9057048.931477696,29315804.994159453,31010655.90821746,554553.9836355381,11635663.430074522,3032567.9483956713,5662707.782485012,3620246.770300758,24300929.41164599,67.38,38.34,105.71,5752041.41271885,28759,3313.35,92651.73,0.56,89.1524,7.1243
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,120864043.08,107737795.69944303,33694670.274518624,98729601.61323349,87870304.44662765,89727918.33341105,2831261.969087596,84494330.75319575,22947149.19417824,58940059.704465754,68169956.46346873,-6414960.729967449,24964697.409199513,4539569.561523311,14283707.35539972,3062290.370570105,44135281.14460882,74.24,36.52,110.76,9477558.547647063,9573,2827.03,39967.89,2.87,90.9002,8.2671
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,33560701.36,31306057.404336397,8170426.552836789,22530720.58249529,24932322.9510602,18245431.178324834,1976051.904670878,18530738.157896545,5021342.298063803,12134228.794683289,11459941.762991963,-1509660.812057659,6157459.00584437,944387.6663257331,3295773.732071563,1188126.7637698525,12805727.763925081,54.37,38.16,92.52,3222122.4930682927,29956,903.29,5063.96,287.45,87.2075,21.6995
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",112345695.09,101954829.18592416,31212057.32511873,80685823.79413597,92065937.50946595,59964620.26464464,-4250235.742229858,54317517.761802055,20156174.7188246,39272561.645152085,46422944.80888075,9226410.529476302,29067113.506382372,8815357.602401996,16659982.908915447,2540256.409881032,40488047.21024948,53.38,36.04,89.41,9833478.550387878,8331,18942.12,45393.35,135.94,87.9262,17.9468
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Fire and other damage to property insurance,36685490.46,35628282.74820902,8724768.302529968,24138670.99757667,24935295.437646978,25498475.757556934,1915806.1859933753,25251135.960454896,6167283.976943555,16855010.274102334,18020376.671641994,1635949.7935244252,9931210.537663845,2144823.297420113,3735159.0438535707,1504572.1363588278,14577800.91566449,69.51,39.74,109.24,1270193.7093459552,25196,936.45,5511.99,4.5,94.4514,12.2012
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,General liability insurance,82122756.14,77706458.4078567,24067261.354817115,57783923.70220236,54976838.13793857,49814447.82301265,-4924064.281992213,48873054.107559286,7868661.558085429,38334034.188492164,40719523.76326522,10550264.26721141,17112321.825026836,3905612.209679491,7012284.992452372,3845858.027267972,28938150.69125333,60.66,35.24,95.9,7184768.781686987,9352,21952.09,18976.93,85.42,79.8931,13.426
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Credit and suretyship insurance,129049113.78,120668285.37248553,24325581.166654702,86511396.80204228,103296912.7833127,98482042.59903523,6617793.500958926,98679694.1244067,15732827.72720605,80631754.67051773,69874094.3953134,1953715.6314401447,28525264.77896574,3288325.576464247,17159048.767103545,5587491.495872829,36969602.58632044,76.31,28.65,104.96,5557023.4783124635,24449,8739.02,45933.79,3.9,78.7646,8.685
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Legal expenses insurance,27410310.38,24169036.282048997,4380193.062744862,20956663.95908553,21387965.068130553,18538676.571448177,-759862.5258075038,17054152.738574483,4991896.454038958,13066848.584080303,11246526.916071126,2916689.6389718996,6340950.136382878,1503328.338949756,3615910.2829710077,1288537.6810289123,10307708.251245255,67.63,37.61,105.24,1217339.555233349,37692,991.98,13571.51,17.5,82.0496,7.5222
