reporting_period,LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Net_Written_Premium,Gross_Earned_Premium,Net_Earned_Premium,Claims_Incurred_Gross,Claims_Incurred_Net,Claims_Paid_Gross,Claims_Paid_Net,Acquisition_Costs,Administrative_Expenses,Number_Of_Policies,Number_Of_Claims,Sum_Insured
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Insurance with profit participation,5352910.08,4926810.069014603,5017216.128806441,4833325.169617343,4162990.58152868,3671173.0876042657,2837350.789260815,2707135.621504956,844965.3565822148,316737.16709610034,6313,458,128546698.60125944
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Index-linked and unit-linked insurance,2960341.24,2589217.801442139,2755601.043127879,2312313.3578493944,1898354.02356044,1652193.9525849049,1645337.2529933555,1086796.1428022482,385937.2485039441,185861.3513184039,4732,224,69892554.32074027
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Other life insurance,19847329.14,17535242.08951338,19285266.388733312,16017857.86758889,14712361.61483158,11078615.790904948,10341373.93167359,9905077.33329947,1624222.8201711108,1900969.1567729993,5081,500,481868882.9212536
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Annuities stemming from non-life contracts,10675719.27,8677962.771083603,9889617.821847394,9682322.635356007,7711283.731505797,5143301.627274915,5222356.811161641,5191293.630982789,1746090.4369502994,566413.7907605293,5026,334,198029222.27332225
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Insurance with profit participation,26912971.73,21567378.212948043,25139351.376795746,24572461.188678987,18929251.09014525,13871425.80171642,11215921.049409302,9594044.037651986,2811719.4793325225,3006286.792509456,666,314,571596662.253448
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Index-linked and unit-linked insurance,22169334.34,20789132.667313553,21029006.572026454,17347884.393334728,15059173.962594014,15009103.16978246,13325845.066390079,8094929.894625545,3308934.5431709886,1995967.8338527142,3630,93,634307833.4649342
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Other life insurance,5429479.67,4778514.468953575,5329373.033446238,4450566.440936221,3640459.220218481,2538907.0557317934,2549335.6782892877,2305555.403021803,947510.685712098,378905.5516201548,4454,418,118976356.48027782
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Annuities stemming from non-life contracts,20796523.86,17143146.644096352,19840943.70094979,18208430.503520373,15944981.90322069,12614439.724015862,11797106.392726444,7882822.518667588,3630608.257921088,1232821.7905936467,7158,300,553605421.2269632
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Insurance with profit participation,9414857.01,8850332.501019549,9136150.577330438,8267640.971877649,5693774.053271912,5279475.161933444,5220098.52548736,4962514.002384121,851064.8267063986,1104980.0797061948,9596,438,266942359.95926195
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Index-linked and unit-linked insurance,9569760.53,8836851.198913602,9151396.195032287,7928614.562257565,6015633.065269957,5696324.800879224,5574120.229469103,4253897.969209894,1367728.5421969204,946946.0298693719,4437,403,245625390.39742145
