reporting_period,LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Reinsurance_Recoveries,Net_Claims_Incurred,Gross_Claims_Paid,Net_Claims_Paid,Acquisition_Costs,Administrative_Expenses,Other_Expenses,Policy_Count,Claim_Count,Average_Premium,Average_Claim
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Medical expense insurance,17360924.0,15671423.289385315,4602384.488712786,12754858.382103225,12383270.21630468,9718056.706120212,1789439.1048624858,7605168.969203362,7902088.9806227805,5360362.503800862,3713446.9455460734,2574397.827333841,578633.861253156,17362,1739,32329.47,6961.36
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Income protection insurance,25016714.76,23530759.434530895,4200965.715238921,21060248.4486361,18948805.11088119,13298097.416570796,4090919.7409761036,10516412.996965725,9939426.992723787,7845645.506652466,6544085.873877755,3676919.1284983302,999704.1188985378,18279,996,1781.69,82596.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Workers' compensation insurance,37466796.82,34987934.29575496,9025621.965767333,25921686.340632323,22510738.1227441,26382863.875935696,5231754.763057216,19838452.929523617,18335826.25025544,15557896.882120142,10396446.71025913,3915994.6076469193,1427009.7889790216,6646,1111,3032.77,19911.6
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Motor vehicle liability insurance,7940075.4,7602947.353174181,2097264.7979165823,6369059.71342618,5025828.063019136,4103313.5040469477,1084775.5693663438,2875308.6956634857,2695940.385689002,2061115.721845764,1325550.2824677685,807098.8806886232,195922.5548700242,16834,1330,529.9,2554.99
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Other motor insurance,39476762.3,35254027.57059656,7493339.373328704,30300019.624635816,24242268.193062216,24002717.3463298,7740560.13307067,20217487.280977573,15882282.55635165,14162060.57534626,6035107.885051217,4928662.551131527,1443153.6701407218,2191,466,4267.76,20445.24
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,"Marine, aviation and transport insurance",12992163.25,12282821.119421005,3030336.410420429,8911738.67499111,9764961.840421561,7436623.1525512505,1955939.397461821,6110929.145985804,4680379.888893674,4886852.864716907,3086381.693472886,1143969.9206764258,620932.2390791018,4793,1949,1307.32,7852.82
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Fire and other damage to property insurance,19337249.69,17290617.131783646,5386713.410954656,14046501.001642909,15672825.936299598,16064317.208040556,3469811.858932677,13533178.117863016,13259028.992485046,8900863.015973609,4920564.890229057,2894637.268188128,582177.296216444,16383,298,13382.18,11988.3
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,General liability insurance,19160755.26,17426574.959969167,2932610.4603081443,13298059.433727518,12684920.356720658,13068847.154512776,3119794.4120398974,8941973.07806192,10694415.221361628,8376898.747492448,3086339.003812255,2404798.7854866013,884197.1759408823,8341,1503,3368.04,19050.8
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Medical expense insurance,38380183.42,34726130.69953168,12878788.94378755,32102213.351997774,29112482.619989343,19230671.26885819,5829829.2296915995,12851792.062887391,14008947.074222488,10506034.909816615,6661201.140877545,5247385.920832925,974915.2065797776,18549,78,2063.89,21729.57
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Income protection insurance,20340110.57,18277281.757364944,7029515.46061371,17265857.384260505,14690355.50138235,16851830.09512155,3101217.8241450074,12019078.734592492,11899468.330288388,9468450.902198782,3793077.219693372,3011477.030542976,531580.5132874093,3554,510,4823.36,16936.51
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Workers' compensation insurance,30133132.62,28313641.849884745,10040016.29510173,21321807.451626107,19309784.91171705,15070893.467129134,4224913.372728039,11943988.732418012,11634844.7435922,8497924.869776204,5507924.18907546,4426988.567724527,1715538.9136271428,4349,1376,5434.29,14084.95
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Motor vehicle liability insurance,19920714.57,18431289.51072626,4678933.68463301,13573030.457355484,13821177.677305093,15860232.552491117,4083746.407641823,10380535.932410501,11277073.41691158,10408614.54226214,4749217.625353175,2479351.841360938,1123174.0544196626,10063,1092,2106.01,17622.48
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Other motor insurance,3667184.36,3515857.5750752087,947112.9837913403,2621226.774939265,2310234.9230962214,2548570.8485509693,834689.1014988645,1896525.3135247617,2088627.207307419,1572902.5524344617,871487.9361391575,499830.9236684538,170033.4833585958,16310,1017,432.15,2587.38
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,"Marine, aviation and transport insurance",17728029.11,17024307.06061092,3984021.0327120777,12899344.618261505,11010024.841863414,12051012.208754227,4011985.4702719077,8052573.88425975,9183501.503067305,7021388.446105584,3594012.5730437613,2261540.3606360154,402138.1680064419,18563,346,1356.49,27388.66
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Fire and other damage to property insurance,24967113.97,24038868.52535626,4596597.428968573,20709816.82093018,18584324.71834754,19229948.941092048,6276096.899811532,14365851.49413496,14143787.752302358,13149586.298980134,6665925.832611478,2780618.9697609027,773393.9373542276,17154,1578,5020.53,10571.71
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,General liability insurance,17547306.08,15945003.436353616,3574665.616815171,14427615.932110645,10798079.119229896,11155129.815866018,3185037.6125805825,7636400.402069185,7653829.8803050285,5714869.014940284,3247946.2171263625,2347644.8677250985,972131.5130128511,2787,615,1244.84,14953.26
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Medical expense insurance,11196504.62,10379522.603162602,3635673.6823713547,8985864.626931114,7981730.490092414,7414792.743348736,2106909.2064382276,6076207.704130089,4466557.987781178,4304865.587393858,3000009.493804562,1475944.6485063352,467047.1306263446,17137,597,19172.1,11788.22
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Income protection insurance,22596847.5,21061438.111931592,6351445.9674675455,16578688.030802416,17108382.642947208,14048901.501219658,4527208.571274385,9566416.414968824,10015275.81241454,8170897.565206381,5409016.979034782,2202982.9905351484,1030643.0414764822,10283,1765,1145.19,11357.24
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Workers' compensation insurance,35467101.94,34442158.37721034,12364993.205373043,23806171.771105517,23098719.82265421,22924021.595975492,7795908.428866989,19294358.95356818,14314373.880347788,11530775.987298293,6062852.914158347,5310166.239723293,964704.6288596859,16544,1822,6605.9,23780.11
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Motor vehicle liability insurance,21594261.45,19047005.847520225,5849837.842806716,15232701.936738856,17053283.71147396,17209464.69617426,3557062.6326255696,13549891.717130715,13226418.558222322,9367089.429993194,3336829.4101270344,2346161.8766236054,681681.7303240227,18148,1041,1828.63,23574.61
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Other motor insurance,32932176.74,30485394.888002083,8934580.070862988,25385831.116461653,25752132.07790892,25691295.588702336,6037466.86773558,18114658.54654144,17117049.959040485,15600742.662234996,6862712.150327975,3649163.5903914687,778697.573140622,18585,1612,1798.88,31254.62
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,"Marine, aviation and transport insurance",29588338.41,26620490.866969366,6880817.333882136,20580336.497351218,21553590.165248875,17007608.914124474,3814681.977385751,12581928.797145732,12488556.784101402,9196134.970362742,5037346.885782759,4190582.5572060263,1105093.3160325745,15420,1960,2679.13,9293.78
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Fire and other damage to property insurance,18247463.56,16966448.376320697,4759557.894230412,13900336.999716789,13786813.745560773,9351172.775038922,1734608.5769422182,6549978.724985769,7506023.828612672,6447017.604628014,3059575.155045463,2095456.032603894,521276.2058913183,6681,1478,2191.89,7658.62
