LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Assumption_Type,Assumption_Code,Unit,Best_Estimate_Value,Upper_Bound,Lower_Bound,Year_1,Year_2,Year_5,Year_10,Year_20,Ultimate,Source,Last_Review_Date
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Mortality,qx,Per mille,4.4613,7.896,0.1974,4.0942,1.4479,2.9551,1.3093,2.0633,4.6911,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Longevity,qx,Per mille,1.1574,6.934,0.2779,1.0433,1.9669,3.0334,1.3423,4.1028,4.8747,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Morbidity,i,Per mille,1.4664,5.642,0.2365,3.8649,1.7672,0.5895,2.9355,4.8047,2.2607,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Lapse,lapse_rate,Percentage,2.3906,7.9098,0.3084,3.7363,3.0322,4.8857,3.5999,4.5276,3.6472,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Expense,expense_per_policy,GBP,3.808,5.9422,0.191,4.0234,1.8352,3.0325,1.6221,4.1764,0.9973,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Expense_Inflation,inflation_rate,Percentage,4.2325,6.8479,0.1561,2.9392,1.7712,1.9556,2.0819,0.7849,4.9368,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Insurance with profit participation,Discount_Rate,rate,Percentage,0.6419,7.0212,0.2114,3.407,2.1031,3.5319,3.7816,3.6075,1.0128,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Mortality,qx,Per mille,3.456,5.912,0.1086,2.3667,2.4509,2.6023,3.6717,1.8898,1.9188,Internal Experience,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Longevity,qx,Per mille,0.7725,7.0918,0.2703,2.0724,3.6734,2.9181,2.6116,2.801,3.3636,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Morbidity,i,Per mille,3.47,5.938,0.1422,1.2049,3.3773,4.4279,2.3427,1.2628,3.9047,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Lapse,lapse_rate,Percentage,4.2462,7.6537,0.282,4.3733,0.5694,0.9826,0.9166,3.7067,0.8131,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Expense,expense_per_policy,GBP,2.7336,6.4709,0.1932,4.4168,1.2669,2.0861,3.9838,0.6369,3.5283,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Expense_Inflation,inflation_rate,Percentage,4.1738,7.8036,0.3629,1.9372,3.1386,0.8478,1.6604,0.924,1.9183,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Index-linked and unit-linked insurance,Discount_Rate,rate,Percentage,4.4383,6.1068,0.2686,2.4502,2.5651,4.8631,1.8327,3.323,2.3903,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Mortality,qx,Per mille,0.7752,6.5191,0.344,0.9444,0.8132,1.1913,3.9398,3.758,3.0426,Internal Experience,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Longevity,qx,Per mille,2.607,7.6761,0.33,4.1537,4.1597,3.3922,2.5611,4.391,4.667,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Morbidity,i,Per mille,0.6071,5.2495,0.3876,1.7472,4.4302,2.2496,1.036,0.862,1.2043,Internal Experience,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Lapse,lapse_rate,Percentage,1.6245,6.5167,0.3104,4.9388,2.4868,2.8318,2.8482,2.9275,2.8298,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Expense,expense_per_policy,GBP,0.5395,5.105,0.1293,0.957,3.672,1.4221,4.5262,4.6787,4.8915,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Expense_Inflation,inflation_rate,Percentage,4.7259,5.8885,0.2529,1.2895,4.1279,4.4979,4.3308,2.4502,3.914,Internal Experience,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other life insurance,Discount_Rate,rate,Percentage,0.9391,5.2167,0.326,2.4141,4.98,0.9376,4.3503,2.6599,4.2222,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Mortality,qx,Per mille,4.1771,7.7564,0.1894,4.7741,1.1825,0.8689,2.4423,4.2275,2.6304,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Longevity,qx,Per mille,4.2318,7.2161,0.1628,4.77,0.7735,4.5423,1.87,2.7507,2.4006,Regulatory Prescribed,2024-06-30
