reporting_period,LEI,Undertaking_Name,Reporting_Date,Product_Type,Number_Of_Policies,Sum_Insured,Annual_Premium,Best_Estimate,Risk_Margin,Technical_Provisions,Average_Age,Average_Duration,Average_Premium,Persistency_Rate,Claim_Rate,New_Business_Strain
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Term Assurance,59554,1703157130.8540063,13393587.899136553,189607011.26,10911055.294093756,196345105.19965285,43.7,9.2,189.99,90.1553,0.645,-8876608.761293076
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Whole of Life,35995,1534618566.277401,16702290.15502949,138222920.83,8710714.757441575,143159515.6880417,43.7,7.6,312.69,95.9586,3.7598,-4125580.94455246
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Endowment,40576,1194347646.860945,8910359.30538899,81435663.29,5705201.771935795,84956090.50954895,41.3,20.7,105.29,93.9163,3.4368,428633.2083252184
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Pure Endowment,95749,1500681735.0484898,9351225.962653477,121444101.7,5785405.523204256,130380181.98122486,44.3,15.9,159.61,94.1343,4.9996,-785848.6118752497
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Immediate Annuity,2498,1303072214.508269,12670784.704351552,97056717.79,6459492.810529276,102216396.73319863,44.7,17.2,275.09,96.3909,4.4305,-3799786.563681643
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Deferred Annuity,86679,936774454.0041192,14348096.052402811,97103051.09,6204875.328350965,101993386.10578093,35.8,16.3,201.76,86.249,4.1888,2452033.2398542236
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Unit-Linked,91802,956080291.7119459,14377451.007191025,102891648.78,4570747.227344012,107259501.96741493,63.2,21.2,321.82,95.6681,1.0564,-3670186.3568106415
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,With-Profits,9142,181941047.41787717,3145379.871650925,24685318.97,1036830.8157123735,26325785.894980695,42.6,12.9,27.88,97.7811,1.2996,-305183.0499203274
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Term Assurance,16495,452315480.13865054,7344588.13572921,74195692.48,3630731.5744851325,78999444.68074402,59.5,15.9,119.67,85.4186,3.1327,-3298809.2669123695
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Whole of Life,41213,1551727255.0749512,9136858.069712285,130944138.25,9292752.916141434,140837525.26881757,59.4,11.1,596.99,92.6264,4.5826,-2348290.2882576743
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Endowment,54138,853905834.5601245,8441370.965443576,167605008.01,11394724.186120152,179014279.65538058,58.7,23.6,184.33,86.5328,1.2367,6766631.851308864
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Pure Endowment,66866,613606730.0317023,5348362.193484122,51902515.6,1772973.5235303356,54199886.15120169,50.6,22.0,55.68,94.198,3.1472,-20590.299170263323
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Immediate Annuity,41760,456774349.0102933,6705628.19814118,73763117.09,2318074.1629804564,76754417.61632624,48.0,13.4,80.64,85.5758,2.9864,366486.5582031781
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Deferred Annuity,16389,491523652.8797765,2041424.3039334903,34058774.72,2477493.430597742,35081065.41607583,61.5,5.4,40.2,94.8516,1.8723,811337.2330362182
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Unit-Linked,39671,527028721.45108837,11700878.670179477,92314136.98,3098305.617047466,99339798.70126906,36.5,14.6,187.73,94.3994,2.0269,-2610334.7759832637
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,With-Profits,81560,2011672644.854266,22284578.224304006,156636373.05,7645148.119793837,165300336.01859668,45.9,10.1,523.05,94.7634,1.7643,-1125441.0807936613
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Term Assurance,29721,1123667151.4493399,13137472.682689762,92661258.37,5868960.534428324,97625967.96007416,58.4,17.8,500.68,85.7879,0.5688,-4281719.743359222
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Whole of Life,63676,1355379377.838709,8311900.332754405,102226938.72,5030384.136382956,109942399.91281837,60.1,18.3,484.99,88.4684,0.6735,-4947182.507796467
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Endowment,60634,311188590.09925944,4129529.845846844,39261921.07,1303495.9419748841,40707206.91609402,40.4,17.6,39.66,93.0053,2.7988,-979579.3370665471
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Pure Endowment,80395,517935889.176478,6305790.236648481,86801544.42,6500156.337186293,93657528.58490786,54.4,23.3,173.7,93.3556,0.2627,4311975.958689181
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Immediate Annuity,55505,447173591.22937524,2846580.157449982,37811414.3,1875410.4418950072,40166940.98260205,48.1,10.0,40.66,89.3478,1.7736,1736768.6451253705
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Deferred Annuity,72989,1569626899.8736904,11459591.565349733,163750342.87,11552718.592530183,169949787.33705127,41.3,12.3,261.11,96.4445,0.7458,-6185928.044463366
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Unit-Linked,71453,845631406.5026188,11640103.58735642,108915497.89,5726976.655583111,114551652.20820162,38.4,7.8,123.71,95.674,4.4408,-2889707.5114218784
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,With-Profits,29627,223707014.03197312,4480059.282679155,40422890.27,2658518.92875939,42389079.84235606,55.4,19.3,120.9,97.1594,0.4179,-1243845.7907000852
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Term Assurance,90173,442336430.25737995,4179538.9309324864,32334677.77,1899083.6424321376,33439979.57335722,43.2,11.0,32.36,92.2897,1.3644,-1380820.5195231554
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Whole of Life,79094,1210903893.0048785,14432012.978593728,151537214.33,5513428.741305174,162164127.47298414,52.0,23.0,1291.88,91.4411,4.713,5938261.607644524
