LEI,Undertaking_Name,Reporting_Date,Projection_Year,Calendar_Year,Annuity_Payments,Expenses,Reinsurance_Recoveries,Net_Cash_Flow,Discount_Factor,Present_Value,Number_Of_Annuitants,Cumulative_PV
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,1,2025,2527784.5,50555.69,726205.4,1865226.5,0.97531,2465373.28,194,2572477.06
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,2,2026,2453077.18,49061.54,583481.13,1833974.92,0.951229,2333439.19,188,5081439.43
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,3,2027,2380577.79,47611.56,698820.67,1667120.46,0.927743,2208565.54,182,7528455.29
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,4,2028,2310221.09,46204.42,461003.15,1768727.34,0.904837,2090374.48,177,9915054.13
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,5,2029,2241943.73,44838.87,370379.62,1813971.92,0.882497,1978508.4,172,12242727.62
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,6,2030,2175684.28,43513.69,274595.61,1791311.54,0.860708,1872628.82,167,14512930.65
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,7,2031,2111383.09,42227.66,625219.44,1775486.84,0.839457,1772415.36,162,16727082.18
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,8,2032,2048982.29,40979.65,557330.05,1540685.82,0.818731,1677564.82,157,18886566.1
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,9,2033,1988425.72,39768.51,328045.15,1557751.94,0.798516,1587790.18,152,20992732.18
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,10,2034,1929658.85,38593.18,210613.24,1677011.76,0.778801,1502819.83,148,23046896.83
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,11,2035,1872628.82,37452.58,241114.13,1611589.24,0.759572,1422396.65,143,25050343.97
