reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Claims_Provision_Gross,Claims_Provision_RI_Recoverables,Claims_Provision_Net,Premium_Provision_Gross,Premium_Provision_RI_Recoverables,Premium_Provision_Net,Best_Estimate_Claims,Best_Estimate_Premium,Best_Estimate_Total,Risk_Margin,TP_Gross,TP_RI_Recoverables,TP_Net,ENID_Adjustment,Modified_Duration
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,227590592.24,56591057.773781925,189635355.91079476,36193948.47,8807736.3294402,32178605.124672756,212967187.52035263,33803270.940148555,247392935.152134,15207823.592064368,263784540.71,46571196.08928788,202417257.57832986,9186422.741613152,4.17
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,225956295.52,35347898.03281485,149028742.1453885,82370238.87,17990273.341774534,68364153.64221275,215717863.37436354,76040515.29463689,288383612.80862457,20205924.19713107,308326534.39,84682727.55272542,266720030.40329993,9254969.69958087,3.41
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,253253896.7,64167371.631988406,210458244.7357863,56074337.07,12251676.756466456,49702098.692138955,236309899.98799753,53352630.57179747,300218000.00069416,13748375.79711094,309328233.77,81365447.3660906,226717553.67235565,13092240.22394083,3.64
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,74106077.62,21222575.08204419,57563420.90750759,49968647.04,8199209.356099747,44217504.57648596,70486425.90435575,47487805.5461555,114612170.1756145,9539462.325100549,124074724.66,18844591.06766876,98652067.28746825,5228844.402177604,2.25
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,167664521.19,50624457.789812066,127905937.11335145,27865066.38,6364280.2634382425,24637837.504640777,160777534.81764773,26848645.583141394,186330547.34136197,10827871.16786892,195529587.57,46274271.941697985,168838225.28910005,5214229.59307079,2.6
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",128762342.79,21208729.504342765,96531630.63729386,46362774.87,8073944.516606738,38864364.4581808,121264408.79487768,44359275.046942554,170342972.32726204,13698083.491647298,175125117.66,39411942.56271263,123930156.61055447,8540753.899068397,3.97
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Fire and other damage to property insurance,114069821.6,20382420.34238229,77972298.93654849,18979981.59,2027743.002186028,16803416.676296048,108645356.02273369,18258696.068823352,129016599.38548675,9534567.131977873,133049803.19,37103467.19847172,116299608.92208126,3667228.387017095,4.83
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,General liability insurance,222521185.54,63720415.513666525,175200571.6460679,11713478.08,2762964.4866280314,9440358.413852412,212528802.7253879,10784965.350297496,220162902.48933253,9952572.075170297,234234663.62,50111492.87543191,198429688.11382198,4276588.018106388,3.35
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Credit and suretyship insurance,77122418.22,19450224.392327733,51350398.45228423,16465404.45,3097195.178590134,12426450.93217174,71446431.7638461,15691527.956701942,89421708.78144641,3852025.853734493,93587822.67,20889534.048945125,79636728.48570043,3639878.159190354,1.96
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Legal expenses insurance,185892901.32,29268138.420672756,152630997.81177935,68863987.51,16247776.760153063,60432820.84210046,180219057.380656,66432944.95653175,244058608.13807955,17105671.731873117,254756888.82999998,67549082.75709158,208709510.48022348,5887196.883101943,2.82
