LEI,Undertaking_Name,Reporting_Date,Country_Of_Risk,Line_Of_Business,Claims_Provision_BE,Premium_Provision_BE,Best_Estimate_Gross,RI_Recoverables,Best_Estimate_Net,IBNR,Case_Reserves,ULAE,ENID,Binary_Events
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Medical expense insurance,9484221.998582626,2820466.280811593,13997834.5,3089972.4774446036,10698500.61076483,3454295.294064884,4349553.172474901,520302.7976298111,470973.28590504435,220175.18592687632
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Income protection insurance,28309749.629199,14991176.7621064,43457359.82,8744135.239408163,36876162.88245553,10887106.92338113,17135553.238642152,1484377.6920475822,898386.2402398363,766337.1426286898
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Workers' compensation insurance,30420519.144222733,11120889.443299124,38081690.17,8358492.697163656,27171707.86017378,15206486.67666042,15625150.939845001,1828648.442272222,845500.028740771,503277.549351857
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Motor vehicle liability insurance,31926524.41435168,11534664.74920397,47301153.4,8174063.086438642,38731716.27876839,10047193.156191181,14962600.258382648,1510787.700718089,1202662.354666351,524764.7669573511
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Other motor insurance,4052533.726634129,1751128.4839371806,5106366.6,979929.3597743128,4134772.3153277896,1612156.9512537108,1774438.592731021,155677.09421134228,126303.91094348585,57643.4957332241
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,"Marine, aviation and transport insurance",12868392.16931939,4542737.659769103,16687778.43,4142360.670069687,12155228.03602081,5118167.218556469,6067596.3008423885,685142.5163122427,557785.2393114498,275910.6913785452
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,Fire and other damage to property insurance,14817653.962081844,6703896.6214260915,19648371.87,4791263.329802742,14191262.903024195,6600707.956264727,6306751.639757084,1078389.4223465244,501029.84526165295,211752.6854900329
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,GB,General liability insurance,4015939.795400069,1905300.582400073,5679309.95,869771.8334384422,4379868.065785906,2193529.072373513,2152277.8687266866,210855.8966860752,155367.75584494733,67834.01882217052
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Medical expense insurance,7131187.552733016,3184118.846202944,10924279.49,3147514.200405951,7821288.370535045,2645757.190858517,4086181.922718201,571882.6356076921,197487.0434808443,199158.53001590076
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Income protection insurance,4416970.032368943,1586203.353858945,5583020.11,1389148.3705523952,4216036.776783514,1989781.9863826665,1860894.5777737058,122583.430365864,122075.57251645652,99408.10563465429
