reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Projection_Year,Calendar_Year,Claims_Payments,Expenses_Claims_Handling,Expenses_Administration,Total_Outflows,Premium_Receivables,RI_Recoveries,Salvage_Subrogation,Total_Inflows,Net_Cash_Flow,Discount_Factor,Present_Value
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,1,2025,24634930.48,1970794.44,739047.91,27344772.84,3695239.57,6814312.71,814014.63,5018156.42,17335640.2,0.97531,24026691.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2,2026,19185703.15,1534856.25,575571.09,21296130.5,2877855.47,3427676.92,968824.03,4814188.35,15399173.91,0.951229,18250005.37
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,3,2027,14941840.64,1195347.25,448255.22,16585443.11,0.0,2782254.34,932641.17,5149223.21,12659474.05,0.927743,13862195.33
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,4,2028,11636717.19,930937.38,349101.52,12916756.08,0.0,3490842.31,839840.09,4538271.32,8463282.97,0.904837,10529337.14
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,5,2029,9062684.46,725014.76,271880.53,10059579.75,0.0,2383409.06,701456.6,1865502.79,6865735.14,0.882497,7997790.96
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,6,2030,7058025.75,564642.06,211740.77,7834408.59,0.0,1289499.51,377410.84,2234654.04,5400474.64,0.860708,6074899.06
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,7,2031,5496795.98,439743.68,164903.88,6101443.54,0.0,1278798.44,426586.67,1858172.79,4503230.42,0.839457,4614323.98
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,8,2032,4280909.02,342472.72,128427.27,4751809.01,0.0,847504.58,198146.33,1359631.13,3021232.74,0.818731,3504911.86
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,9,2033,3333975.29,266718.02,100019.26,3700712.58,0.0,690028.0,186405.18,1150377.98,2591455.88,0.798516,2662233.35
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,10,2034,2596502.57,207720.21,77895.08,2882117.85,0.0,526499.8,101133.49,916317.37,1756721.84,0.778801,2022158.23
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,11,2035,2022158.23,161772.66,60664.75,2244595.64,0.0,380074.21,45554.5,441139.31,1412834.75,0.759572,1535975.02
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,12,2036,1574858.42,125988.67,47245.75,1748092.84,0.0,240842.14,54686.38,572845.43,1042904.97,0.740818,1166683.81
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,13,2037,1226500.97,98120.08,36795.03,1361416.07,0.0,264323.84,91725.75,487928.1,872149.51,0.722527,886180.5
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,14,2038,955199.91,76415.99,28656.0,1060271.91,0.0,275786.1,37996.7,208356.68,810784.38,0.704688,673118.0
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,15,2039,743910.44,59512.84,22317.31,825740.59,0.0,208669.39,35674.94,272713.2,583408.5,0.687289,511281.67
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,16,2040,579358.03,46348.64,17380.74,643087.42,0.0,103804.93,18541.15,183885.45,482208.17,0.67032,388355.3
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,17,2041,451204.49,36096.36,13536.13,500836.98,0.0,68357.06,30208.29,96729.98,336438.11,0.65377,294983.86
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,18,2042,351398.41,28111.87,10541.95,390052.24,0.0,86331.89,21507.54,75417.06,257828.3,0.637628,224061.52
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,19,2043,273669.36,21893.55,8210.08,303772.99,0.0,65017.16,6557.87,63976.68,214209.16,0.621885,170190.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,20,2044,213133.91,17050.71,6394.02,236578.64,0.0,48646.9,6332.15,71146.2,177442.18,0.606531,129272.25
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,1,2025,8637781.45,691022.52,259133.44,9587937.41,1295667.22,2128306.73,210926.21,1741483.51,5874822.05,0.97531,8424513.87
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,2,2026,6727110.96,538168.88,201813.33,7467093.17,1009066.64,1435807.62,458389.65,1819322.77,5214416.75,0.951229,6399025.89
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,3,2027,5239079.28,419126.34,157172.38,5815378.0,0.0,1108974.23,178442.56,1721361.21,4240997.47,0.927743,4860521.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,4,2028,4080199.05,326415.92,122405.97,4529020.94,0.0,1121540.04,288842.07,1161385.63,3299621.12,0.904837,3691916.77
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,5,2029,3177662.21,254212.98,95329.87,3527205.06,0.0,577784.05,204341.18,1388943.78,2074215.09,0.882497,2804277.06
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,6,2030,2474765.82,197981.27,74242.97,2746990.06,0.0,534684.51,145680.21,929135.84,1695752.98,0.860708,2130050.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,7,2031,1927349.56,154187.96,57820.49,2139358.01,0.0,570162.98,109696.88,464655.36,1260688.02,0.839457,1617927.12
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,8,2032,1501021.35,120081.71,45030.64,1666133.69,0.0,401507.64,37198.74,353134.38,1148230.3,0.818731,1228932.34
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,9,2033,1168996.6,93519.73,35069.9,1297586.23,0.0,281173.87,71558.05,348803.46,940784.77,0.798516,933462.74
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,10,2034,910415.47,72833.24,27312.46,1010561.17,0.0,269622.99,33016.85,342095.13,760828.5,0.778801,709032.28
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,11,2035,709032.28,56722.58,21270.97,787025.83,0.0,179344.76,43156.36,181471.95,536755.9,0.759572,538561.15
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,12,2036,552194.89,44175.59,16565.85,612936.33,0.0,129422.57,34240.38,248048.91,362642.27,0.740818,409076.04
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,13,2037,430049.82,34403.99,12901.49,477355.3,0.0,68715.47,10612.34,165889.47,291260.17,0.722527,310722.76
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,14,2038,334923.13,26793.85,10047.69,371764.68,0.0,81509.5,13222.81,105276.38,232146.15,0.704688,236016.34
