LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Accident_Year,Development_Year,Calendar_Year,Claims_Paid_Cumulative,Claims_Paid_Incremental,Case_Reserves,IBNR,Incurred_Claims,Ultimate_Claims,Reinsurance_Recoveries_Paid,Reinsurance_Recoveries_Outstanding,Net_Claims_Paid,Net_Ultimate,Claim_Count,Average_Claim_Size
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,0,2014,17871775.53,17871775.53,19296976.4,12864650.93,40384914.66,50033402.86,4458987.96,5324760.28,13238028.97,35066072.18,1618,9085.8
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,1,2015,28931544.63,4339731.7,12661114.94,8440743.29,43702845.39,50033402.86,6245869.78,3629107.76,24165058.54,41070162.79,1859,15471.41
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,2,2016,35917523.61,5387628.54,8469527.55,5646351.7,45798639.09,50033402.86,6728683.18,3851669.86,29468780.76,42118998.24,82,66268.49
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,3,2017,44644383.08,6696657.46,3233411.87,2155607.91,48416696.93,50033402.86,13234403.67,1139889.23,32927431.99,40715258.39,472,238740.02
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,4,2018,45106769.09,6766015.36,2955980.26,1970653.51,48555412.73,50033402.86,12222132.59,1133584.98,36946462.51,37093863.38,256,35629.36
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,5,2019,46818784.44,7022817.67,1928771.05,1285847.37,49069017.34,50033402.86,10983853.93,936952.65,34645415.28,42053237.01,118,48567.2
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,6,2020,48980779.97,7347116.99,631573.74,421049.16,49717615.99,50033402.86,12717081.12,282135.08,38734674.62,36855205.03,1274,34348.37
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,7,2021,46783046.11,7017456.92,1950214.05,1300142.7,49058295.84,50033402.86,13096970.62,841097.78,34244284.15,39639664.13,1490,25480.96
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,8,2022,48775540.86,7316331.13,754717.2,503144.8,49656044.26,50033402.86,8477104.89,289029.73,36202565.5,35745695.16,149,88521.85
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,9,2023,49618743.56,7442811.53,248795.58,165863.72,49909005.07,50033402.86,11834878.27,65116.42,37725821.05,36957137.4,1566,354419.6
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2014,10,2024,47685088.05,7152763.21,1408988.88,939325.92,49328908.42,50033402.86,8051597.67,401221.62,34687617.83,41052739.05,873,50300.73
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,0,2015,45767783.63,45767783.63,51476018.64,34317345.76,105823138.71,131561148.03,7874937.52,14159726.8,34082859.71,107840979.29,529,39625.79
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,1,2016,77866779.74,11680016.96,32216620.98,21477747.32,115452837.54,131561148.03,13547620.84,11308969.71,60992794.22,92676623.0,494,48849.92
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,2,2017,99930313.67,14989547.05,18978500.62,12652333.74,122071897.72,131561148.03,20911928.38,4790770.79,80052516.42,106151183.9,1818,60970.3
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,3,2018,113267752.22,16990162.83,10976037.49,7317358.32,126073129.29,131561148.03,22799612.91,4197250.05,85865299.02,105918993.49,165,337106.41
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,4,2019,122047879.47,18307181.92,5707961.14,3805307.42,128707167.46,131561148.03,19804693.18,2344678.54,98014914.3,99408304.29,1081,190105.73
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,5,2020,127632202.03,19144830.3,2357367.6,1571578.4,130382464.23,131561148.03,35284197.07,692574.87,106654566.44,100793054.92,529,74204.77
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,6,2021,127779582.94,19166937.44,2268939.05,1512626.04,130426678.5,131561148.03,34770683.84,853752.09,97095269.96,110158478.57,1926,82544.95
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,7,2022,123539518.55,18530927.78,4812977.69,3208651.79,129154659.19,131561148.03,23292821.73,1638362.05,102404361.25,110619012.89,1229,175731.89
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,8,2023,125320760.21,18798114.03,3744232.69,2496155.13,129689031.68,131561148.03,35037243.58,1177751.16,105970756.99,103882153.84,1232,98367.94
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2015,9,2024,124450939.4,18667640.91,4266125.18,2844083.45,129428085.44,131561148.03,19304765.7,1223828.16,90617205.94,107241131.58,1632,87211.59
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,0,2016,27437224.7,27437224.7,31914066.45,21276044.3,64670302.23,80627335.45,8104167.17,13053747.23,22056171.07,59073429.65,1726,38862.92
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,1,2017,50276173.09,7541425.96,18210697.41,12140464.94,71521986.74,80627335.45,12577700.12,8488031.67,42406552.55,57958649.4,535,75263.73
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,2,2018,58031044.33,8704656.65,13557774.67,9038516.45,73848448.12,80627335.45,15698045.93,6325129.15,45703173.77,60865582.16,1844,169186.72
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,3,2019,69579255.41,10436888.31,6628848.03,4419232.02,77312911.44,80627335.45,13627070.1,2052267.64,53800195.82,59053320.89,1402,62291.19
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,4,2020,74056266.63,11108439.99,3942641.29,2628427.53,78656014.8,80627335.45,21734845.96,1813402.13,62299437.2,66190958.33,502,82652.08
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,5,2021,74291575.94,11143736.39,3801455.71,2534303.81,78726607.6,80627335.45,20192954.47,1827469.76,62557620.33,64701798.16,665,121193.44
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,6,2022,74385153.53,11157773.03,3745309.15,2496872.77,78754680.87,80627335.45,11601061.9,1074154.88,62842960.83,62027780.16,174,62508.53
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,7,2023,80567360.84,12085104.13,35984.77,23989.84,80609343.07,80627335.45,17705211.15,14941.03,56688896.39,59461026.5,1992,63891.64
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2016,8,2024,78511221.8,11776683.27,1269668.19,846445.46,79992501.36,80627335.45,19203425.37,371860.8,63961735.7,60846281.89,1851,50489.53
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,0,2017,32132536.83,32132536.83,34110053.33,22740035.55,71927599.05,88982625.71,5292079.84,14324146.7,23906583.3,72904130.49,1916,78756.22
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,1,2018,52867267.49,7930090.12,21669214.93,14446143.29,78148018.24,88982625.71,13206372.67,10478719.15,37170658.29,62436218.07,1332,36713.38
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,2,2019,68540731.1,10281109.66,12265136.77,8176757.84,82850057.33,88982625.71,16926747.51,3964643.28,53061458.49,62847569.84,924,57694.22
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,3,2020,73309037.06,10996355.56,9404153.19,6269435.46,84280549.11,88982625.71,15664268.63,4311908.66,56590916.83,70114249.29,1065,502116.69
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,4,2021,84923714.28,12738557.14,2435346.86,1623564.57,87764952.28,88982625.71,16672464.52,1035448.19,70422997.61,64992229.56,755,42934.13
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,5,2022,82004671.24,12300700.69,4186772.68,2791181.79,86889239.37,88982625.71,24353052.36,2075821.33,60149154.43,63174716.78,1367,57587.55
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,6,2023,82597014.76,12389552.21,3831366.57,2554244.38,87066942.42,88982625.71,17317273.07,1380255.17,65484643.38,74293855.61,830,49787.23
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2017,7,2024,84411462.15,12661719.32,2742698.13,1828465.42,87611276.64,88982625.71,23423984.94,749770.65,59618229.19,69015527.58,1124,120244.25
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,0,2018,39485336.64,39485336.64,47115848.46,31410565.64,94453826.52,118011750.75,8247439.29,22342077.58,29069991.5,95105241.11,1476,43775.32
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,1,2019,69407658.09,10411148.71,29162455.6,19441637.07,103430522.95,118011750.75,10878818.09,11349229.99,57277144.5,89856538.79,886,195514.53
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,2,2020,89546966.8,13432045.02,17078870.37,11385913.58,109472315.56,118011750.75,25521202.5,7641490.15,65287033.28,95590414.28,664,109203.62
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,3,2021,100328977.07,15049346.56,10609664.21,7073109.47,112706918.65,118011750.75,26275659.58,3964077.04,72155970.71,92696627.26,426,62902.18
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,4,2022,108485408.81,16272811.32,5715805.17,3810536.78,115153848.17,118011750.75,24700853.97,2684860.09,90501300.59,90636631.72,1151,106462.62
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2018,5,2023,109852529.93,16477879.49,4895532.49,3263688.33,115563984.5,118011750.75,24967068.11,1859799.67,92557135.78,94103758.44,543,61404.43
