reporting_period,LEI,Undertaking_Name,Reporting_Date,GL_Subclass,Accident_Year,Development_Year,Calendar_Year,Gross_Paid_Cumulative,Gross_Paid_Incremental,Gross_Case_Reserves,Gross_IBNR,Gross_Incurred,Gross_Ultimate,RI_Paid,RI_Outstanding,Net_Paid_Cumulative,Net_Incurred,Net_Ultimate,Large_Claims_Count,Large_Claims_Amount,Large_Claims_Threshold,Total_Claim_Count,Open_Claims,Closed_Claims
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,0,2010,4540687.72,681103.16,12144425.37,12144425.37,20328440.7,28829538.46,1718300.34,8898997.53,2763823.94,15534503.19,22481799.81,13,6256722.72,1000000,2182,373,497
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,1,2011,8547491.04,1282123.66,10141023.71,10141023.71,21730821.86,28829538.46,2626832.6,5000540.3,6011767.83,16889002.6,22296433.54,11,13894430.21,1000000,2085,453,2267
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,2,2012,12944431.55,1941664.73,7942553.45,7942553.45,23269751.04,28829538.46,3651797.46,5292243.52,8845604.69,14157058.69,21448723.71,3,8196098.89,1000000,863,111,2140
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,3,2013,14855272.15,2228290.82,6987133.15,6987133.15,23938545.25,28829538.46,3032320.77,5397871.34,9662094.83,16507538.17,22778659.16,15,9809397.31,1000000,2396,484,178
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,4,2014,17633686.62,2645052.99,5597925.92,5597925.92,24910990.31,28829538.46,5473270.78,2436662.18,10915561.94,19188821.62,18966500.98,2,11635632.28,1000000,1113,482,2258
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,5,2015,21071857.55,3160778.63,3878840.46,3878840.46,26114350.14,28829538.46,5151338.78,2354953.11,12933878.92,17482055.06,20312348.49,10,7741258.7,1000000,1466,260,1701
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,6,2016,23580863.55,3537129.53,2624337.45,2624337.45,26992502.24,28829538.46,4960526.68,1558656.89,17520561.72,18516565.34,22340507.62,6,11233655.52,1000000,175,187,1531
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,7,2017,26078066.25,3911709.94,1375736.1,1375736.1,27866523.19,28829538.46,6697482.74,1066904.99,18811791.69,20873022.93,22499500.8,12,10533135.85,1000000,2660,164,1057
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,8,2018,26959300.76,4043895.11,935118.85,935118.85,28174955.27,28829538.46,8312614.3,598176.42,18575489.72,17725645.1,20489171.63,17,14219722.1,1000000,1229,425,343
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,9,2019,27589567.22,4138435.08,619985.62,619985.62,28395548.53,28829538.46,9642545.38,407531.13,18473470.28,18000592.41,18592466.88,9,5820586.57,1000000,1685,465,210
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,10,2020,27610296.55,4141544.48,609620.96,609620.96,28402803.79,28829538.46,10005295.34,309421.98,17073381.28,18948800.28,18981663.51,18,9665474.91,1000000,1247,125,711
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,11,2021,26483551.29,3972532.69,1172993.58,1172993.58,28008442.95,28829538.46,7096175.96,895019.81,17663656.62,21205293.25,20906222.42,11,8685226.65,1000000,1709,346,652
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,12,2022,29058248.82,4358737.32,-114355.18,-114355.18,28909587.09,28829538.46,9270023.46,-46136.31,17834373.53,21697452.03,19872361.09,3,9273088.44,1000000,1665,276,1021
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,13,2023,26852048.05,4027807.21,988745.21,988745.21,28137416.81,28829538.46,6215274.9,711007.65,20563390.41,20033855.07,18999402.78,14,13832707.91,1000000,1084,303,715
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2010,14,2024,29183218.12,4377482.72,-176839.83,-176839.83,28953326.34,28829538.46,10486359.77,-70968.15,20138285.9,22415370.43,19247944.97,14,12049748.22,1000000,1379,475,1438
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,0,2011,6511473.63,976721.04,17980398.73,17980398.73,29885991.99,42472271.1,1500527.9,12765391.41,4053427.22,22282482.16,33901097.83,15,20700748.34,1000000,2320,77,936
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,1,2012,13277263.18,1991589.48,14597503.96,14597503.96,32254018.33,42472271.1,4074838.34,9779303.35,9899815.25,19406607.58,26352907.84,5,16101991.42,1000000,2479,287,918
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,2,2013,17792130.27,2668819.54,12340070.41,12340070.41,33834221.81,42472271.1,6792699.6,7353017.11,11592523.24,22965459.65,32710243.93,5,20308450.35,1000000,1365,362,2235
