reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Development_Period,Mean_Claims,Std_Dev_Claims,CV,P10,P25,P50,P75,P90,P95,P99,IQR,Skewness,Kurtosis,Number_Of_Simulations,Simulation_Method,Distribution_Type,Distribution_Param1,Distribution_Param2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,0,81343385.77,27114461.92,0.3333,37960246.69,54228923.84,81343385.77,108457847.69,124726524.84,130149417.23,134487731.13,54228923.849999994,1.4219,4.2284,10000,Bootstrap,Weibull,1.7131,0.3296
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,1,94900616.73,25419808.05,0.2679,54228923.84,69480808.68,94900616.73,120320424.78,135572309.61,140656271.22,144723440.51,50839616.099999994,0.83,2.645,10000,Bootstrap,LogNormal,1.9403,0.7032
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,2,108457847.69,23725154.18,0.2188,70497601.0,84732693.51,108457847.69,132183001.87,146418094.38,151163125.22,154959149.88,47450308.36,0.1337,4.4326,10000,Bootstrap,LogNormal,0.5237,0.4386
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,3,122015078.65,22030500.31,0.1806,86766278.15,99984578.34,122015078.65,144045578.96,157263879.15,161669979.21,165194859.26,44061000.620000005,1.2913,3.158,10000,Bootstrap,Weibull,1.5019,0.4241
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,4,135572309.61,20335846.44,0.15,103034955.3,115236463.17,135572309.61,155908156.05,168109663.92,172176833.2,175430568.64,40671692.88000001,0.2847,4.3648,10000,Bootstrap,Gamma,1.8653,0.25
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,5,149129540.57,18641192.57,0.125,119303632.46,130488348.0,149129540.57,167770733.14,178955448.69,182683687.2,185666278.01,37282385.139999986,0.0538,3.7195,10000,Bootstrap,LogNormal,1.4207,0.521
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,6,162686771.53,16946538.7,0.1042,135572309.61,145740232.83,162686771.53,179633310.23,189801233.45,193190541.19,195901987.39,33893077.399999976,1.1111,4.4202,10000,Bootstrap,Weibull,1.1079,0.1366
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,7,176244002.49,15251884.83,0.0865,151840986.76,160992117.66,176244002.49,191495887.32,200647018.22,203697395.19,206137696.76,30503769.659999996,-0.111,3.7174,10000,Bootstrap,Gamma,1.8913,0.6108
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,8,189801233.45,13557230.96,0.0714,168109663.92,176244002.49,189801233.45,203358464.42,211492802.99,214204249.18,216373406.14,27114461.929999977,0.5608,4.3099,10000,Bootstrap,Gamma,0.7284,0.2322
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,9,203358464.42,11862577.09,0.0583,184378341.07,191495887.32,203358464.42,215221041.51,222338587.76,224711103.18,226609115.51,23725154.189999998,0.1908,4.9871,10000,Bootstrap,LogNormal,1.8139,0.7121
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,10,216915695.38,10167923.22,0.0469,200647018.22,206747772.16,216915695.38,227083618.6,233184372.53,235217957.17,236844824.89,20335846.439999998,0.2823,3.8867,10000,Bootstrap,Gamma,0.9553,0.7069
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,11,230472926.34,8473269.35,0.0368,216915695.38,221999656.99,230472926.34,238946195.69,244030157.3,245724811.17,247080534.26,16946538.699999988,0.3377,2.8005,10000,Bootstrap,Gamma,0.8226,0.6478
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,12,244030157.3,6778615.48,0.0278,233184372.53,237251541.82,244030157.3,250808772.78,254875942.07,256231665.16,257316243.64,13557230.960000008,0.8891,2.7401,10000,Bootstrap,Gamma,1.7125,0.8419
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,13,257587388.26,5083961.61,0.0197,249453049.68,252503426.65,257587388.26,262671349.87,265721726.84,266738519.16,267551953.02,10167923.219999999,0.9462,4.209,10000,Bootstrap,Weibull,0.8478,0.9277
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,14,271144619.22,3389307.74,0.0125,265721726.84,267755311.48,271144619.22,274533926.96,276567511.6,277245373.15,277787662.39,6778615.479999989,0.0371,2.9563,10000,Bootstrap,Gamma,1.4578,0.4277
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Medical expense insurance,15,271144619.22,1694653.87,0.0063,268433173.03,269449965.35,271144619.22,272839273.09,273856065.41,274194996.19,274466140.81,3389307.73999995,1.3661,3.6506,10000,Bootstrap,Gamma,0.7456,0.9618
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,0,53657543.53,17885847.84,0.3333,25040186.98,35771695.68,53657543.53,71543391.37,82274900.07,85852069.64,88713805.3,35771695.690000005,0.5371,3.4645,10000,Bootstrap,LogNormal,1.754,0.3589
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,1,62600467.45,16767982.35,0.2679,35771695.68,45832485.1,62600467.45,79368449.8,89429239.21,92782835.68,95465712.86,33535964.699999996,-0.4726,3.7432,10000,Bootstrap,LogNormal,1.8888,0.3459
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,2,71543391.37,15650116.86,0.2188,46503204.39,55893274.51,71543391.37,87193508.23,96583578.35,99713601.72,102217620.42,31300233.720000006,0.0326,4.3452,10000,Bootstrap,Weibull,1.6633,0.492
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,3,80486315.29,14532251.37,0.1806,57234713.09,65954063.92,80486315.29,95018566.66,103737917.48,106644367.76,108969527.98,29064502.739999995,1.1673,2.9298,10000,Bootstrap,Gamma,1.0505,0.4639
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,4,89429239.21,13414385.88,0.15,67966221.8,76014853.33,89429239.21,102843625.09,110892256.62,113575133.8,115721435.54,26828771.760000005,0.1256,3.0443,10000,Bootstrap,LogNormal,1.0072,0.1162
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,5,98372163.13,12296520.39,0.125,78697730.5,86075642.74,98372163.13,110668683.52,118046595.76,120505899.84,122473343.1,24593040.78,0.9067,4.2099,10000,Bootstrap,Weibull,1.1753,0.3906
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,6,107315087.05,11178654.9,0.1042,89429239.21,96136432.15,107315087.05,118493741.95,125200934.89,127436665.87,129225250.66,22357309.799999997,0.3682,4.8413,10000,Bootstrap,Gamma,1.4053,0.7582
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,7,116258010.97,10060789.41,0.0865,100160747.92,106197221.56,116258010.97,126318800.38,132355274.03,134367431.91,135977158.22,20121578.819999993,-0.041,2.7369,10000,Bootstrap,Gamma,0.6248,0.5248
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,8,125200934.89,8942923.92,0.0714,110892256.62,116258010.97,125200934.89,134143858.81,139509613.17,141298197.95,142729065.78,17885847.840000004,0.9334,4.4353,10000,Bootstrap,Weibull,1.5806,0.9215
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,9,134143858.81,7825058.43,0.0583,121623765.33,126318800.38,134143858.81,141968917.25,146663952.3,148228963.99,149480973.34,15650116.870000005,-0.396,4.6383,10000,Bootstrap,LogNormal,1.491,0.258
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,10,143086782.74,6707192.94,0.0469,132355274.03,136379589.8,143086782.74,149793975.68,153818291.44,155159730.03,156232880.9,13414385.879999995,0.8648,3.7794,10000,Bootstrap,Weibull,1.0386,0.3232
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,11,152029706.66,5589327.45,0.0368,143086782.74,146440379.21,152029706.66,157619034.11,160972630.58,162090496.07,162984788.46,11178654.900000006,0.4283,3.0978,10000,Bootstrap,LogNormal,0.6243,0.8615
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,12,160972630.58,4471461.96,0.0278,153818291.44,156501168.62,160972630.58,165444092.54,168126969.71,169021262.11,169736696.02,8942923.919999987,0.6857,3.4092,10000,Bootstrap,Gamma,1.17,0.8783
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,13,169915554.5,3353596.47,0.0197,164549800.15,166561958.03,169915554.5,173269150.97,175281308.85,175952028.15,176488603.58,6707192.939999998,0.1397,3.4504,10000,Bootstrap,LogNormal,1.6491,0.2805
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,14,178858478.42,2235730.98,0.0125,175281308.85,176622747.44,178858478.42,181094209.4,182435647.99,182882794.18,183240511.14,4471461.960000008,0.8185,3.5858,10000,Bootstrap,Weibull,1.2502,0.8082
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,15,178858478.42,1117865.49,0.0063,177069893.64,177740612.93,178858478.42,179976343.91,180647063.2,180870636.3,181049494.78,2235730.9799999893,1.4863,4.5788,10000,Bootstrap,LogNormal,0.7408,0.3021
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,0,45744785.78,15248261.93,0.3333,21347566.7,30496523.86,45744785.78,60993047.71,70142004.87,73191657.25,75631379.16,30496523.85,0.9385,3.7734,10000,Bootstrap,Weibull,1.8527,0.1438
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,1,53368916.75,14295245.56,0.2679,30496523.86,39073671.19,53368916.75,67664162.31,76241309.64,79100358.75,81387598.04,28590491.120000005,0.017,3.0482,10000,Bootstrap,Gamma,1.6163,0.5183
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,2,60993047.71,13342229.19,0.2188,39645481.01,47650818.52,60993047.71,74335276.9,82340614.41,85009060.25,87143816.92,26684458.380000003,-0.47,4.4336,10000,Bootstrap,Weibull,1.0427,0.3344
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,3,68617178.68,12389212.82,0.1806,48794438.17,56227965.86,68617178.68,81006391.49,88439919.18,90917761.75,92900035.8,24778425.629999995,-0.1346,4.865,10000,Bootstrap,Weibull,1.9131,0.1689
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,4,76241309.64,11436196.45,0.15,57943395.33,64805113.19,76241309.64,87677506.09,94539223.95,96826463.24,98656254.67,22872392.900000006,-0.0345,4.1153,10000,Bootstrap,Gamma,1.5056,0.4759
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,5,83865440.6,10483180.08,0.125,67092352.48,73382260.53,83865440.6,94348620.68,100638528.72,102735164.74,104412473.55,20966360.150000006,0.637,4.2566,10000,Bootstrap,Gamma,1.9258,0.7526
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,6,91489571.57,9530163.71,0.1042,76241309.64,81959407.86,91489571.57,101019735.27,106737833.5,108643866.24,110168692.43,19060327.409999996,-0.2795,4.2946,10000,Bootstrap,LogNormal,0.6016,0.5523
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,7,99113702.53,8577147.33,0.0865,85390266.8,90536555.2,99113702.53,107690849.87,112837138.27,114552567.73,115924911.31,17154294.67,0.5538,4.4457,10000,Bootstrap,LogNormal,0.5173,0.8873
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,8,106737833.5,7624130.96,0.0714,94539223.95,99113702.53,106737833.5,114361964.46,118936443.04,120461269.23,121681130.19,15248261.929999992,0.8278,2.578,10000,Bootstrap,Weibull,0.74,0.1356
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,9,114361964.46,6671114.59,0.0583,103688181.11,107690849.87,114361964.46,121033079.05,125035747.81,126369970.73,127437349.06,13342229.179999992,1.0319,2.9273,10000,Bootstrap,Weibull,0.5684,0.2242
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,10,121986095.42,5718098.22,0.0469,112837138.27,116267997.2,121986095.42,127704193.65,131135052.58,132278672.23,133193567.94,11436196.450000003,0.6191,3.7387,10000,Bootstrap,Weibull,0.8694,0.9486
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,11,129610226.39,4765081.85,0.0368,121986095.42,124845144.54,129610226.39,134375308.24,137234357.35,138187373.72,138949786.82,9530163.700000003,1.2096,3.2862,10000,Bootstrap,LogNormal,1.2119,0.5651
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,12,137234357.35,3812065.48,0.0278,131135052.58,133422291.87,137234357.35,141046422.83,143333662.12,144096075.22,144706005.7,7624130.960000008,1.0124,3.5699,10000,Bootstrap,Gamma,1.3197,0.4713
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,13,144858488.32,2859049.11,0.0197,140284009.74,141999439.2,144858488.32,147717537.43,149432966.89,150004776.72,150462224.57,5718098.230000019,1.0256,3.8898,10000,Bootstrap,LogNormal,1.7417,0.1484
