LEI,Undertaking_Name,Reporting_Date,Tier,Tier_Number,Restricted,Item_Name,Amount,Eligible_For_SCR,Eligible_For_MCR,Limit_Applied,Limit_Amount
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Unrestricted,1,False,Ordinary Share Capital,122687224.8,122687224.8,122687224.8,True,24537444.96
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Unrestricted,1,False,Share Premium,54269943.69,54269943.69,54269943.69,False,0.0
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Unrestricted,1,False,Reconciliation Reserve,198202630.21,198202630.21,198202630.21,True,39640526.04
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Unrestricted,1,False,Initial Funds,32064564.9,32064564.9,32064564.9,True,0.0
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Restricted,1,True,Preference Shares,28632490.16,28632490.16,28632490.16,True,0.0
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 1 - Restricted,1,True,Subordinated Liabilities (Tier 1),31115916.52,31115916.52,31115916.52,True,6223183.3
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 2,2,False,Subordinated Liabilities (Tier 2),53162854.55,53162854.55,53162854.55,False,10632570.91
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 2,2,False,Ancillary Own Funds (Tier 2),14774537.7,14774537.7,14774537.7,False,0.0
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 3,3,False,Deferred Tax Assets,12945490.63,12945490.63,0.0,True,0.0
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Tier 3,3,False,Subordinated Liabilities (Tier 3),12851129.51,12851129.51,0.0,False,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Unrestricted,1,False,Ordinary Share Capital,204508786.16,204508786.16,204508786.16,True,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Unrestricted,1,False,Share Premium,63913729.05,63913729.05,63913729.05,False,12782745.81
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Unrestricted,1,False,Reconciliation Reserve,235264819.88,235264819.88,235264819.88,True,47052963.98
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Unrestricted,1,False,Initial Funds,31307709.34,31307709.34,31307709.34,True,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Restricted,1,True,Preference Shares,32199110.0,32199110.0,32199110.0,True,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 1 - Restricted,1,True,Subordinated Liabilities (Tier 1),32236750.0,32236750.0,32236750.0,False,6447350.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 2,2,False,Subordinated Liabilities (Tier 2),63532450.21,63532450.21,63532450.21,True,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 2,2,False,Ancillary Own Funds (Tier 2),17126035.64,17126035.64,17126035.64,False,0.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 3,3,False,Deferred Tax Assets,12191098.48,12191098.48,0.0,True,2438219.7
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Tier 3,3,False,Subordinated Liabilities (Tier 3),14448446.19,14448446.19,0.0,False,2889689.24
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Unrestricted,1,False,Ordinary Share Capital,177788671.9,177788671.9,177788671.9,True,0.0
