reporting_period,LEI,Undertaking_Name,Reporting_Date,Item_ID,Category,Item_Name,Tier,Restricted,Issue_Date,Maturity_Date,Nominal_Amount,Solvency_II_Value,Coupon_Rate,Currency,Callable,First_Call_Date,Approved_By_PRA,Approval_Date
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_6340,Share Capital,Ordinary Shares,1,Unrestricted,2011-04-05,Perpetual,23583159.88,75400027.66,0.0,USD,True,2045-02-26,True,2011-04-05
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_4343,Share Capital,Preference Shares A,1,Restricted,2010-06-11,Perpetual,68881806.75,36306477.65,0.0,EUR,False,2040-01-17,True,2010-06-11
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_9516,Share Capital,Preference Shares B,1,Restricted,2020-02-10,Perpetual,90292373.54,59705771.08,0.0,EUR,False,,True,2020-02-10
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_4638,Subordinated,Sub Debt 2025,2,N/A,2019-10-23,2040-03-16,16211712.63,15530583.24,3.7159,USD,False,,True,2019-10-23
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_1104,Subordinated,Sub Debt 2030,2,N/A,2021-05-21,2038-03-24,29013703.13,89869360.73,6.8922,GBP,False,2038-03-24,True,2021-05-21
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_3832,Subordinated,Sub Debt 2035,3,N/A,2015-05-07,2027-09-07,28155172.51,32364311.7,6.1839,EUR,True,2027-09-07,True,2015-05-07
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_1116,Ancillary,Letter of Credit - Bank A,2,N/A,2013-02-05,2031-10-05,88437076.56,38505621.12,0.0,EUR,False,2031-10-05,True,2013-02-05
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,OF_549300AB_5009,Ancillary,Guarantee - Parent Co,2,N/A,2010-07-24,Perpetual,57294691.62,90133979.39,0.0,USD,False,,True,2010-07-24
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_1396,Share Capital,Ordinary Shares,1,Unrestricted,2012-04-23,Perpetual,79356859.05,90235851.25,0.0,EUR,True,,True,2012-04-23
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_3899,Share Capital,Preference Shares A,1,Restricted,2016-09-23,Perpetual,35026646.56,72184073.32,0.0,GBP,False,,True,2016-09-23
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_5352,Share Capital,Preference Shares B,1,Restricted,2017-06-09,Perpetual,20261133.45,65458707.22,0.0,USD,True,,True,2017-06-09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_2478,Subordinated,Sub Debt 2025,2,N/A,2012-10-02,2035-03-20,37362298.29,73133228.3,3.7094,EUR,False,,True,2012-10-02
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_1869,Subordinated,Sub Debt 2030,2,N/A,2020-09-08,2048-02-13,69902224.21,73766722.17,7.2858,EUR,True,,True,2020-09-08
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_4523,Subordinated,Sub Debt 2035,3,N/A,2011-11-16,2030-02-15,71836893.19,57057785.36,6.9208,GBP,False,2030-02-15,True,2011-11-16
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_3978,Ancillary,Letter of Credit - Bank A,2,N/A,2019-11-19,2030-01-11,35598985.92,70971983.69,0.0,GBP,True,2030-01-11,True,2019-11-19
