reporting_period,LEI,Undertaking_Name,Reporting_Date,Risk_Component,Internal_Model_SCR,Standard_Formula_SCR,Difference,Difference_Percentage,Model_Change_Impact,Validation_Status,Last_Validation_Date
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Interest Rate,68332271.04,82464480.30750291,-14132209.267502904,-17.14,1704390.12,Under Review,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Equity,19525907.35,23395120.91041554,-3869213.56041554,-16.54,-2679693.76,Under Review,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Property,56565101.53,56571792.65955916,-6691.129559159279,-0.01,-3424862.13,Minor Issues,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Spread,72969826.24,62957650.58800097,10012175.651999027,15.9,2617878.17,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Currency,12633175.17,15296650.051906608,-2663474.881906608,-17.41,-3896144.05,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Market Risk - Concentration,43161835.3,39398011.69327752,3763823.606722474,9.55,3665815.83,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Counterparty Default Risk,35111342.7,28414058.06634545,6697284.633654553,23.57,1281612.52,Minor Issues,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-Life Premium Risk,38385435.42,50509228.69599789,-12123793.275997885,-24.0,-668558.22,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-Life Reserve Risk,35835536.01,38432033.06740012,-2596497.0574001223,-6.76,3598540.18,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-Life Catastrophe Risk,49011692.11,58893304.59835511,-9881612.488355108,-16.78,2204108.86,Minor Issues,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Life Mortality Risk,75313664.18,98096978.13863517,-22783313.958635166,-23.23,4272842.62,Passed,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Life Longevity Risk,30747870.51,28561820.685525052,2186049.8244749494,7.65,-2966104.88,Minor Issues,2024-06-30
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Life Lapse Risk,69335081.91,90021532.14411673,-20686450.234116733,-22.98,1504116.11,Minor Issues,2024-06-30
