Group_LEI,Group_Name,Reporting_Date,Entity_LEI,Entity_Name,Entity_Type,Country,Regulatory_Regime,Ownership_Percentage,Total_Assets,Total_Liabilities,Own_Funds,Sectoral_Capital_Requirement,Surplus_Deficit,Contribution_To_Group_OF,Contribution_To_Group_SCR,Deduction_From_Group_OF,Treatment_In_Group_Solvency
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300ORK64MGJ78JP3H,Lloyd's Syndicate 2987 - Banking Subsidiary,Bank,GB,CRD IV/CRR,75,133538255.04,102963877.71,23929433.479005925,20331720.8,3597712.6790059246,20118961.623834,20331720.8,2107763.0,Sectoral Rules
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,5493005YRWQ2DXX60LXE,Lloyd's Syndicate 2987 - Investment Management Co,Asset Manager,GB,MIFID II,75,38476457.19,138950195.92,43766541.11925027,32096760.01,11669781.109250266,35311572.906544566,32096760.01,4864712.02,Sectoral Rules
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300QSX502UPVSF5YC,Lloyd's Syndicate 2987 - Staff Pension Trustee,Pension Trustee,GB,IORP II,100,100284679.19,107294170.39,23592048.156262573,19234661.91,4357386.246262573,19626705.11831359,19234661.91,1274923.9,Sectoral Rules
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300RZ4D4YJI359T8Z,Lloyd's Syndicate 2987 - Securitisation Vehicle,SPV,IE,Securitisation Regulation,100,58230503.26,90221600.93,70028186.36527067,48270770.82,21757415.545270674,58874121.35808565,48270770.82,2750306.29,Sectoral Rules
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300J63XVFIUD99XRO,Lloyd's Syndicate 2987 - Intermediate Holding Co,Holding,LU,None,100,85236453.18,98909779.25,4291959.66,0.0,4291959.66,3649745.880214634,0.0,2021298.03,Deduction
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,5493007U9SSBU7GE3AI6,Lloyd's Syndicate 2987 - Group Services Ltd,Service Company,GB,None,100,155965663.88,63659682.06,9327329.64,0.0,9327329.64,7891409.376834928,0.0,3295058.15,Deduction
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300CSQNBB4V57YZET,Lloyd's Syndicate 33 - Banking Subsidiary,Bank,GB,CRD IV/CRR,100,121570630.38,82351979.98,59716322.38339772,41346035.85,18370286.53339772,56367937.43447156,41346035.85,878834.17,Sectoral Rules
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300GNDC06KLI7V12J,Lloyd's Syndicate 33 - Investment Management Co,Asset Manager,GB,MIFID II,75,128543042.13,92557091.97,48962600.04339108,43346252.09,5616347.953391075,42212638.67294215,43346252.09,177314.29,Sectoral Rules
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300XHL5V32BH1A4OG,Lloyd's Syndicate 33 - Staff Pension Trustee,Pension Trustee,GB,IORP II,100,52330102.51,86193155.91,41394527.63885832,37303469.25,4091058.3888583183,40897652.82957171,37303469.25,329667.54,Sectoral Rules
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,5493003KL0N4L6BP6OJC,Lloyd's Syndicate 33 - Securitisation Vehicle,SPV,IE,Securitisation Regulation,60,140495234.86,143407234.21,38234201.26834909,31045412.13,7188789.13834909,32641228.252181243,31045412.13,4779634.93,Sectoral Rules
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300ON5ZZ679AQLO36,Lloyd's Syndicate 33 - Intermediate Holding Co,Holding,LU,None,100,129270064.85,116153134.09,8835636.71,0.0,8835636.71,8596876.60822764,0.0,4017343.16,Deduction
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,5493001QSA11PTKFTUWF,Lloyd's Syndicate 33 - Group Services Ltd,Service Company,GB,None,75,166268733.83,53892637.77,3940369.17,0.0,3940369.17,3835617.838296309,0.0,1277330.25,Deduction
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300QAIPT6UR9XRWNN,Lloyd's Syndicate 1183 - Banking Subsidiary,Bank,GB,CRD IV/CRR,75,96642421.5,119616149.35,42350355.28485535,30751738.68,11598616.604855351,41718114.49641809,30751738.68,931265.47,Sectoral Rules
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300PN4U6AVE7E51M4,Lloyd's Syndicate 1183 - Investment Management Co,Asset Manager,GB,MIFID II,60,128393635.27,57782623.52,8785586.763403807,6504919.33,2280667.4334038068,8408620.03684153,6504919.33,4130712.74,Sectoral Rules
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300SU5NKC419U772N,Lloyd's Syndicate 1183 - Staff Pension Trustee,Pension Trustee,GB,IORP II,75,135564512.9,57970184.47,27374920.7679736,19939355.61,7435565.157973602,27206007.96152471,19939355.61,1732011.26,Sectoral Rules
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300L8QQZYEKV2DY4T,Lloyd's Syndicate 1183 - Securitisation Vehicle,SPV,IE,Securitisation Regulation,100,22129944.99,22829389.27,41208466.11126053,32912781.05,8295685.061260533,34881452.82673339,32912781.05,4060840.93,Sectoral Rules
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300DZOEJFVRSCBZ95,Lloyd's Syndicate 1183 - Intermediate Holding Co,Holding,LU,None,60,125952259.57,142139920.16,4978583.66,0.0,4978583.66,4129260.897737997,0.0,4309096.85,Deduction
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,5493000JE3MKR4L2E4F4,Lloyd's Syndicate 1183 - Group Services Ltd,Service Company,GB,None,100,80746400.43,97573960.73,4413124.07,0.0,4413124.07,4323659.93953585,0.0,1742679.56,Deduction
