reporting_period,Group_LEI,Group_Name,Reporting_Date,Entity_LEI,Entity_Name,Business_Type,Ownership_Percentage,Gross_TP,Gross_BEL,Gross_Risk_Margin,RI_Recoverables_BEL,RI_Recoverables_RM,Total_RI_Recoverables,Net_TP,Net_BEL,Net_Risk_Margin,Contribution_Percentage,Contribution_To_Group_Gross_TP,Contribution_To_Group_Net_TP,Contribution_To_Group_RM,Intra_Group_RI_Ceded,Intra_Group_RI_Assumed,Net_Intra_Group
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300RAU7BWHZMJBG3K,Lloyd's Syndicate 2987 - Solo Entity,Non-Life,100,404563296.48,364574045.3008094,39989251.179190636,70532405.84824897,4521019.460720355,69701347.67413342,352745591.9700145,324758436.9490776,35358739.334434144,100,404563296.48,327424141.7806182,39989251.179190636,48084909.71,34141557.83,-3318681.07
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,54930059S7V55KCRX6SF,Lloyd's Syndicate 2987 - UK Subsidiary,Non-Life,100,239610637.18,227447280.43659025,12163356.743409753,35602419.0759158,1101066.2094244724,28182753.002082545,196620508.4293581,181722919.0310561,11057229.266401185,100,239610637.18,193669413.71684223,12163356.743409753,26889218.18,6655733.49,-7859239.47
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300JQD9C7T71AC27X,Lloyd's Syndicate 2987 - Life Subsidiary,Life,100,225739940.19,208368717.27921146,17371222.910788536,38452474.82555235,2503312.6241106866,36780300.64659514,173777083.8609043,169613287.5147132,15596806.299260251,100,225739940.19,191783504.82809407,17371222.910788536,6609267.77,7830958.42,-10157658.02
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,5493001CENAGQ39XLP0B,Lloyd's Syndicate 2987 - European Branch,Non-Life,80,380791172.56,359709027.4763315,21082145.08366853,60639282.144025035,2188893.0497787236,75197041.04205659,298875065.54026043,302531404.51217866,19951972.074803177,80,304632938.048,254531730.59231254,16865716.066934824,4461547.58,11052847.22,728324.26
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,549300N85P3EBQ3VYAR6,Lloyd's Syndicate 2987 - Reinsurance Entity,Reinsurance,100,129068306.67,121400899.20081346,7667407.469186544,24053382.309062432,1055283.4545531576,21296149.59385587,108414539.58042066,94365250.5308205,6519496.659124624,100,129068306.67,99691459.08049887,7667407.469186544,1204489.93,5520484.12,-409103.46
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,5493003X5ULZZIX2SOTH,Lloyd's Syndicate 33 - Solo Entity,Non-Life,100,357789079.0,325032169.2861724,32756909.71382761,42971662.77109438,4252915.288600007,62594456.715877645,269707585.75826544,285137948.62632453,29906421.768583465,100,357789079.0,277022875.6696481,32756909.71382761,13527955.41,19805321.94,2175399.87
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,5493004MVKQE4DWZ79HL,Lloyd's Syndicate 33 - UK Subsidiary,Non-Life,100,422075465.58,388948855.05935496,33126610.520645022,70942509.99575137,3586081.3987517077,72862015.74367121,320556929.10707027,315705091.4921553,29280227.172306396,100,422075465.58,371030124.47862756,33126610.520645022,29483357.59,18369900.83,-688507.8
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300TH11BLF1XOYC6H,Lloyd's Syndicate 33 - Life Subsidiary,Life,100,279820645.49,262104425.67846918,17716219.81153083,41509873.18046643,2502553.1658091876,61806667.32377006,219480304.89168257,212044947.77857798,16770986.263534829,100,279820645.49,229547041.2541628,17716219.81153083,18121677.95,5467822.32,-3233639.85
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,54930052MJ13M7PC59P0,Lloyd's Syndicate 33 - European Branch,Non-Life,80,352493889.89,318063015.9802125,34430873.909787476,35780798.92150893,1740055.127835478,45281560.1964306,272755917.07173836,279138830.53906965,29904033.523303892,80,281995111.91199994,235734810.19372535,27544699.12782998,6258130.73,20922619.23,-2269350.32
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,549300QVHZJKTHKG2N96,Lloyd's Syndicate 33 - Reinsurance Entity,Reinsurance,100,263467246.29,250661081.84955397,12806164.44044602,31372219.634216875,1402554.3833003624,54496178.38091094,222051930.61201286,224968790.49123183,10887936.594414797,100,263467246.29,227890397.4499725,12806164.44044602,24243650.93,65459.24,-909124.79
