Syndicate_Number,Tier_1_Unrestricted,Tier_1_Restricted,Tier_2,Tier_3,Total_Own_Funds,Eligible_Own_Funds_SCR,Eligible_Own_Funds_MCR
2987,102672449,22001239,14667492,7333746,146674928,139341181,124673688
33,291912777,62552737,41701825,20850912,417018253,396167340,354465515
1183,228562288,48977633,32651755,16325877,326517555,310191677,277539921
2791,81944238,17559479,11706319,5853159,117063198,111210038,99503718
623,81198082,17399589,11599726,5799863,115997261,110197397,98597671
4242,105211575,22545337,15030225,7515112,150302251,142787138,127756913
5000,152166258,32607055,21738036,10869018,217380369,206511350,184773313
1910,157436206,33736330,22490886,11245443,224908867,213663423,191172536
2010,259917387,55696583,37131055,18565527,371310554,352745026,315613970
2525,296244440,63480951,42320634,21160317,423206344,402046026,359725392
